gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,331,-187.1819,-32.479,-115.0773,-32.479,f6331504-fd4a-4ef8-9203-4081c08ef12e,-32.479,3.7884,1,2,165,137,2,360,360,720,-1,-1,0,0,0,0
1,1,221,-174.491,-19.5084,-107.0609,-19.5084,49b37d42-9ef5-4c5d-80db-5134c4281d15,-19.5084,47.0161,2,4,321,93,3,360,413,745,-1,-1,0,0,0,0
2,2,227,-137.4256,-19.5084,-100.7526,-39.8553,49b37d42-9ef5-4c5d-80db-5134c4281d15,-19.5084,47.0161,2,4,321,93,3,360,417,760,-1,-1,0,0,0,0
3,3,273,-142.3851,-19.5084,-94.4327,-20.5674,49b37d42-9ef5-4c5d-80db-5134c4281d15,-19.5084,47.0161,2,4,321,93,3,360,421,762,-1,-1,0,0,0,0
4,4,304,-177.5506,-5.2036,-87.9573,-5.2036,be680d61-97c8-4314-86e7-16a98b478234,-5.2036,6.0671,2,6,527,326,5,360,440,825,-1,-1,0,0,0,0
5,5,338,-217.8957,-5.2036,-82.1732,-31.7524,be680d61-97c8-4314-86e7-16a98b478234,-5.2036,6.0671,2,6,527,326,5,360,448,866,-1,-1,0,0,0,0
6,6,425,-175.7897,6.4514,-74.0238,6.4514,5b8cb0fa-8bca-4a45-baee-278a12b99abb,6.4514,0.0971,4,10,323,328,7,360,463,913,-1,-1,0,0,0,0
7,7,415,-163.4335,6.4514,-69.5789,3.2447,5b8cb0fa-8bca-4a45-baee-278a12b99abb,6.4514,0.0971,4,10,323,328,7,360,460,931,-1,-1,0,0,0,0
8,8,442,-192.3706,6.4995,-62.7303,6.4995,0ccfaaa8-0e20-4da5-9b2d-85c096c3b391,6.4995,0.0841,2,5,108,166,4,360,457,965,-1,-1,0,0,0,0
9,9,500,-126.5399,6.4995,-56.1904,5.1376,0ccfaaa8-0e20-4da5-9b2d-85c096c3b391,6.4995,0.0841,2,5,108,166,4,360,459,950,-1,-1,0,0,0,0
10,10,476,-144.0954,6.4995,-51.4819,5.6486,0ccfaaa8-0e20-4da5-9b2d-85c096c3b391,6.4995,0.0841,2,5,108,166,4,360,460,988,-1,-1,0,0,0,0
11,11,418,-169.9473,6.4995,-62.104,4.2361,0ccfaaa8-0e20-4da5-9b2d-85c096c3b391,6.4995,0.0841,2,5,108,166,4,360,500,1260,-1,-1,0,0,0,0
12,12,475,-136.2945,6.6326,-42.8321,6.6326,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,484,1070,-1,-1,0,0,0,0
13,13,501,-122.2271,6.6326,-41.4475,5.9215,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,488,1088,-1,-1,0,0,0,0
14,14,510,-148.5923,6.6326,-36.4475,6.5385,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,484,1094,-1,-1,0,0,0,0
15,15,513,-123.9608,6.6326,-33.9993,1.4118,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,485,1080,-1,-1,0,0,0,0
16,16,434,-137.3048,6.6326,-45.7287,-0.6455,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,508,1283,-1,-1,0,0,0,0
17,17,526,-122.7351,6.6326,-28.466,5.8512,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,505,1135,-1,-1,0,0,0,0
18,18,448,-120.0172,6.6326,-29.1711,5.8963,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,497,1104,-1,-1,0,0,0,0
19,19,509,-128.9045,6.6326,-25.4507,6.5078,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,504,1103,-1,-1,0,0,0,0
20,20,525,-126.5427,6.6326,-24.1239,6.411,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,505,1100,-1,-1,0,0,0,0
21,21,371,-152.2826,6.6326,-34.8268,5.0148,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,498,1221,-1,-1,0,0,0,0
22,22,479,-115.8204,6.6326,-18.0325,6.5931,ff61b0ac-f418-4e39-b969-83ad62cb4a00,6.6326,0.1465,1,2,39,21,2,360,486,1031,-1,-1,0,0,0,0
23,23,509,-120.4709,8.4802,-19.1885,8.4802,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,484,1015,-1,-1,0,0,0,0
24,24,501,-127.7571,8.4802,-16.6252,6.5231,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,468,954,-1,-1,0,0,0,0
25,25,537,-132.0167,8.4802,-12.2409,6.6223,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,472,946,-1,-1,0,0,0,0
26,26,397,-135.4424,8.4802,-33.0018,7.0508,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,491,1132,-1,-1,0,0,0,0
27,27,521,-136.4082,8.4802,-6.5334,6.622,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,473,908,-1,-1,0,0,0,0
28,28,523,-122.4376,8.4802,-7.9707,7.1058,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,459,873,-1,-1,0,0,0,0
29,29,611,-122.978,8.4802,-3.0159,7.1479,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,461,885,-1,-1,0,0,0,0
30,30,592,-123.5014,8.4802,-6.4397,7.277,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,468,882,-1,-1,0,0,0,0
31,31,524,-136.6496,8.4802,-26.4568,7.1576,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,502,1187,-1,-1,0,0,0,0
32,32,501,-116.4561,8.4802,-1.3747,7.2331,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,473,963,-1,-1,0,0,0,0
33,33,574,-123.0602,8.4802,-5.3815,7.2732,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,475,972,-1,-1,0,0,0,0
34,34,531,-116.0088,8.4802,-5.3237,7.2325,eaea2bf9-cdab-404d-a27e-34e4498d18c1,8.4802,58.4689,2,5,239,197,4,360,469,940,-1,-1,0,0,0,0
