gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,333,-193.8423,-22.7063,-113.7562,-22.7063,37b153ad-ce7c-41c8-b17a-7d05d9be24ac,-22.7063,0.2546,1,2,94,129,2,360,360,720,-1,-1,0,0,0,0
1,1,252,-194.2898,-22.7063,-104.8074,-28.6244,37b153ad-ce7c-41c8-b17a-7d05d9be24ac,-22.7063,0.2546,1,2,94,129,2,361,407,720,-1,-1,0,0,0,0
2,2,205,-206.8293,-22.7063,-100.9753,-35.7095,37b153ad-ce7c-41c8-b17a-7d05d9be24ac,-22.7063,0.2546,1,2,94,129,2,361,427,755,-1,-1,0,0,0,0
3,3,304,-138.1742,-6.3477,-92.9964,-6.3477,428b3ef5-3602-4c71-88f0-69f8330361ac,-6.3477,15.7013,1,2,186,103,2,361,447,782,-1,-1,0,0,0,0
4,4,324,-131.4414,-6.3477,-88.133,-26.3857,428b3ef5-3602-4c71-88f0-69f8330361ac,-6.3477,15.7013,1,2,186,103,2,360,457,825,-1,-1,0,0,0,0
5,5,328,-179.515,-4.1321,-83.0632,-4.1321,87beb333-0b6c-4b30-b64c-6cc259b4828e,-4.1321,0.0315,1,3,195,104,3,360,460,825,-1,-1,0,0,0,0
6,6,439,-175.5196,-4.1321,-76.2325,-21.2725,87beb333-0b6c-4b30-b64c-6cc259b4828e,-4.1321,0.0315,1,3,195,104,3,360,465,855,-1,-1,0,0,0,0
7,7,382,-162.0922,-4.1321,-70.5594,-17.8317,87beb333-0b6c-4b30-b64c-6cc259b4828e,-4.1321,0.0315,1,3,195,104,3,360,444,824,-1,-1,0,0,0,0
8,8,485,-144.7889,-4.1191,-67.1283,-4.1191,7b9bf93c-efa4-4451-ad75-91676348af1b,-4.1191,0.0199,2,5,430,158,4,360,459,899,-1,-1,0,0,0,0
9,9,479,-161.5596,-4.1191,-63.152,-16.3297,7b9bf93c-efa4-4451-ad75-91676348af1b,-4.1191,0.0199,2,5,430,158,4,360,461,908,-1,-1,0,0,0,0
10,10,429,-130.4824,-0.6417,-60.2367,-0.6417,23e0493a-f2d9-48d7-92e1-b34d1de13262,-0.6417,9.9874,3,8,533,254,6,360,455,895,-1,-1,0,0,0,0
11,11,357,-175.3363,-0.6417,-72.7704,-22.3105,23e0493a-f2d9-48d7-92e1-b34d1de13262,-0.6417,9.9874,3,8,533,254,6,360,488,1162,-1,-1,0,0,0,0
12,12,426,-176.4625,-0.6417,-55.5759,-4.1311,23e0493a-f2d9-48d7-92e1-b34d1de13262,-0.6417,9.9874,3,8,533,254,6,360,473,991,-1,-1,0,0,0,0
13,13,470,-156.1257,-0.6417,-55.2753,-4.13,23e0493a-f2d9-48d7-92e1-b34d1de13262,-0.6417,9.9874,3,8,533,254,6,360,471,978,-1,-1,0,0,0,0
14,14,467,-153.1279,-0.6417,-51.3482,-4.1117,23e0493a-f2d9-48d7-92e1-b34d1de13262,-0.6417,9.9874,3,8,533,254,6,361,464,920,-1,-1,0,0,0,0
15,15,484,-158.9071,5.8045,-49.2652,5.8045,0fec3456-a7f2-4551-b73a-964e7591bc9d,5.8045,0.3495,2,6,222,159,5,360,468,948,-1,-1,0,0,0,0
16,16,414,-141.8627,5.8045,-62.4535,5.1991,0fec3456-a7f2-4551-b73a-964e7591bc9d,5.8045,0.3495,2,6,222,159,5,361,509,1246,-1,-1,0,0,0,0
17,17,380,-151.0675,5.8045,-42.5961,4.5803,0fec3456-a7f2-4551-b73a-964e7591bc9d,5.8045,0.3495,2,6,222,159,5,360,471,1004,-1,-1,0,0,0,0
18,18,507,-133.4059,5.8045,-40.7767,5.0201,0fec3456-a7f2-4551-b73a-964e7591bc9d,5.8045,0.3495,2,6,222,159,5,360,469,1000,-1,-1,0,0,0,0
19,19,523,-157.879,5.8045,-40.4397,5.7017,0fec3456-a7f2-4551-b73a-964e7591bc9d,5.8045,0.3495,2,6,222,159,5,360,481,1012,-1,-1,0,0,0,0
20,20,477,-137.5788,6.9652,-37.0519,6.9652,4f0e1234-a659-437f-8674-875de71eafc7,6.9652,0.0464,1,4,127,143,4,360,475,1004,-1,-1,0,0,0,0
21,21,385,-157.7071,6.9652,-52.8668,-0.671,4f0e1234-a659-437f-8674-875de71eafc7,6.9652,0.0464,1,4,127,143,4,361,498,1238,-1,-1,0,0,0,0
22,22,429,-153.3926,6.9652,-35.5354,6.1425,4f0e1234-a659-437f-8674-875de71eafc7,6.9652,0.0464,1,4,127,143,4,360,486,1062,-1,-1,0,0,0,0
23,23,500,-161.5714,6.9652,-31.9552,6.2853,4f0e1234-a659-437f-8674-875de71eafc7,6.9652,0.0464,1,4,127,143,4,360,483,1101,-1,-1,0,0,0,0
24,24,475,-155.8774,6.9652,-31.2007,6.9213,4f0e1234-a659-437f-8674-875de71eafc7,6.9652,0.0464,1,4,127,143,4,360,485,1158,-1,-1,0,0,0,0
25,25,489,-148.4101,7.0649,-30.5189,7.0649,1c93c7b6-77db-4cb0-9a97-d37fc9fd01ae,7.0649,0.0498,1,4,128,143,4,360,491,1185,-1,-1,0,0,0,0
26,26,366,-145.0192,7.2479,-40.9617,7.2479,ba29b59e-d09b-4e6f-8dc3-87d35605738b,7.2479,0.0303,2,7,293,227,6,360,503,1373,-1,-1,0,0,0,0
27,27,454,-120.1121,10.6614,-20.5191,10.6614,cfc45c8a-605d-4043-8321-b2210cdc0172,10.6614,17.7425,1,2,185,102,2,360,482,1203,-1,-1,0,0,0,0
28,28,491,-122.7884,10.6614,-22.3943,7.0045,cfc45c8a-605d-4043-8321-b2210cdc0172,10.6614,17.7425,1,2,185,102,2,360,485,1196,-1,-1,0,0,0,0
29,29,531,-126.5876,10.6614,-18.6345,7.1514,cfc45c8a-605d-4043-8321-b2210cdc0172,10.6614,17.7425,1,2,185,102,2,360,488,1241,-1,-1,0,0,0,0
30,30,480,-123.6241,10.6614,-19.5121,7.7173,cfc45c8a-605d-4043-8321-b2210cdc0172,10.6614,17.7425,1,2,185,102,2,360,483,1250,-1,-1,0,0,0,0
31,31,456,-147.5832,10.6614,-38.2527,6.1671,cfc45c8a-605d-4043-8321-b2210cdc0172,10.6614,17.7425,1,2,185,102,2,360,518,1469,-1,-1,0,0,0,0
