gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,402,-178.1436,-4.1132,-112.6195,-4.1132,c3056526-ef9e-43ea-af6a-7482432f6ba4,-4.1132,5.4291,1,2,144,53,2,360,360,720,-1,-1,0,0,0,0
1,1,266,-148.683,-4.1132,-103.1746,-28.9489,c3056526-ef9e-43ea-af6a-7482432f6ba4,-4.1132,5.4291,1,2,144,53,2,360,405,717,-1,-1,0,0,0,0
2,2,292,-144.6718,-4.1132,-96.0813,-7.4052,c3056526-ef9e-43ea-af6a-7482432f6ba4,-4.1132,5.4291,1,2,144,53,2,360,427,747,-1,-1,0,0,0,0
3,3,340,-164.1983,-3.0006,-87.3749,-3.0006,302bcf97-cdb4-4107-8a30-d72e9cfe4209,-3.0006,5.7935,1,2,143,53,2,360,437,779,-1,-1,0,0,0,0
4,4,426,-149.0425,-3.0006,-76.6715,-9.9887,302bcf97-cdb4-4107-8a30-d72e9cfe4209,-3.0006,5.7935,1,2,143,53,2,360,440,765,-1,-1,0,0,0,0
5,5,411,-190.4736,-2.1705,-70.4832,-2.1705,b2da8359-c3f1-42c8-bca3-997b8fcd9e43,-2.1705,1.1141,2,5,283,207,4,360,440,777,-1,-1,0,0,0,0
6,6,435,-169.5203,-1.6699,-62.5669,-1.6699,8a24a512-315e-44ff-aaf2-09568af4b5c5,-1.6699,1.1496,2,5,282,207,4,360,445,788,-1,-1,0,0,0,0
7,7,451,-147.73,2.9698,-57.0517,2.9698,c1d07a1b-3015-48f4-bf0d-51fc864e1270,2.9698,7.6379,1,2,209,126,2,360,451,811,-1,-1,0,0,0,0
8,8,427,-145.4185,2.9698,-49.72,-3.6757,c1d07a1b-3015-48f4-bf0d-51fc864e1270,2.9698,7.6379,1,2,209,126,2,360,437,795,-1,-1,0,0,0,0
9,9,457,-127.7623,2.9698,-46.253,-0.3719,c1d07a1b-3015-48f4-bf0d-51fc864e1270,2.9698,7.6379,1,2,209,126,2,360,438,809,-1,-1,0,0,0,0
10,10,447,-152.3218,5.1787,-44.1059,5.1787,1261d368-9d9f-4bba-ae67-60d0d2f017a5,5.1787,3.1936,1,2,209,126,2,361,437,783,-1,-1,0,0,0,0
