gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,367,-185.792,-14.3293,-112.9773,-14.3293,388d7a32-4cef-488c-b528-63647abbc726,-14.3293,39.5044,1,2,251,86,2,360,360,720,-1,-1,0,0,0,0
1,1,229,-162.2024,-9.5634,-105.5689,-9.5634,8841a093-281f-4c6b-b5d0-1b159d8e8326,-9.5634,4.5282,1,2,219,53,2,360,405,735,-1,-1,0,0,0,0
2,2,288,-143.2242,-9.5634,-98.4218,-14.3693,8841a093-281f-4c6b-b5d0-1b159d8e8326,-9.5634,4.5282,1,2,219,53,2,360,427,752,-1,-1,0,0,0,0
3,3,262,-158.1673,5.7678,-91.3183,5.7678,7aa06b48-826e-42eb-bf8a-f290920c0d81,5.7678,0.4692,1,2,250,86,2,360,425,781,-1,-1,0,0,0,0
4,4,306,-126.389,6.2827,-84.3507,6.2827,53ffe454-fb21-44bf-935e-918d748c1e02,6.2827,0.2004,1,3,361,90,3,360,429,800,-1,-1,0,0,0,0
5,5,408,-136.5266,6.2827,-76.4988,0.1302,53ffe454-fb21-44bf-935e-918d748c1e02,6.2827,0.2004,1,3,361,90,3,360,442,825,-1,-1,0,0,0,0
6,6,394,-128.865,6.2827,-68.8195,5.7986,53ffe454-fb21-44bf-935e-918d748c1e02,6.2827,0.2004,1,3,361,90,3,360,442,815,-1,-1,0,0,0,0
7,7,439,-131.6751,6.2827,-62.7003,6.1409,53ffe454-fb21-44bf-935e-918d748c1e02,6.2827,0.2004,1,3,361,90,3,360,453,844,-1,-1,0,0,0,0
8,8,425,-130.9364,6.2827,-53.7999,6.0123,53ffe454-fb21-44bf-935e-918d748c1e02,6.2827,0.2004,1,3,361,90,3,360,450,826,-1,-1,0,0,0,0
9,9,485,-124.0174,6.2827,-47.6261,5.6494,53ffe454-fb21-44bf-935e-918d748c1e02,6.2827,0.2004,1,3,361,90,3,360,453,814,-1,-1,0,0,0,0
10,10,413,-140.978,6.4969,-51.0256,6.4969,afbcaa80-0773-4a64-91e1-67943ca78a06,6.4969,0.3655,1,3,280,136,3,360,456,840,-1,-1,0,0,0,0
11,11,370,-181.7121,6.4969,-64.382,4.2214,afbcaa80-0773-4a64-91e1-67943ca78a06,6.4969,0.3655,1,3,280,136,3,361,502,1164,-1,-1,0,0,0,0
12,12,345,-120.5702,6.4969,-40.2043,6.2917,afbcaa80-0773-4a64-91e1-67943ca78a06,6.4969,0.3655,1,3,280,136,3,360,460,917,-1,-1,0,0,0,0
13,13,487,-170.7663,6.4969,-42.8114,5.9505,afbcaa80-0773-4a64-91e1-67943ca78a06,6.4969,0.3655,1,3,280,136,3,360,467,933,-1,-1,0,0,0,0
14,14,460,-154.9077,6.4969,-40.4207,5.9314,afbcaa80-0773-4a64-91e1-67943ca78a06,6.4969,0.3655,1,3,280,136,3,361,465,909,-1,-1,0,0,0,0
15,15,424,-131.3335,8.0533,-41.0758,8.0533,2ef1e67a-c80d-4e9c-8306-73e09ef00b3e,8.0533,0.2851,3,7,356,91,5,361,475,914,-1,-1,0,0,0,0
16,16,348,-159.5927,8.0533,-55.6547,4.5234,2ef1e67a-c80d-4e9c-8306-73e09ef00b3e,8.0533,0.2851,3,7,356,91,5,360,508,1196,-1,-1,0,0,0,0
17,17,398,-140.7656,8.0533,-33.5438,6.7335,2ef1e67a-c80d-4e9c-8306-73e09ef00b3e,8.0533,0.2851,3,7,356,91,5,360,484,960,-1,-1,0,0,0,0
18,18,453,-130.876,8.0533,-30.5689,7.7959,2ef1e67a-c80d-4e9c-8306-73e09ef00b3e,8.0533,0.2851,3,7,356,91,5,360,487,968,-1,-1,0,0,0,0
19,19,509,-148.9031,8.0582,-28.0293,8.0582,78d6c486-b302-4c2c-8e9d-453b94e12d8e,8.0582,10.0732,1,2,130,34,2,360,491,1014,-1,-1,0,0,0,0
20,20,405,-144.2768,8.0582,-25.0319,7.3833,78d6c486-b302-4c2c-8e9d-453b94e12d8e,8.0582,10.0732,1,2,130,34,2,360,474,948,-1,-1,0,0,0,0
21,21,338,-154.5454,8.0582,-49.7857,6.1137,78d6c486-b302-4c2c-8e9d-453b94e12d8e,8.0582,10.0732,1,2,130,34,2,360,510,1239,-1,-1,0,0,0,0
22,22,354,-156.3961,8.0582,-21.6133,6.2364,78d6c486-b302-4c2c-8e9d-453b94e12d8e,8.0582,10.0732,1,2,130,34,2,360,467,996,-1,-1,0,0,0,0
23,23,460,-163.8586,8.0582,-26.5014,7.0696,78d6c486-b302-4c2c-8e9d-453b94e12d8e,8.0582,10.0732,1,2,130,34,2,361,474,988,-1,-1,0,0,0,0
24,24,429,-145.7959,8.0582,-19.9012,6.4696,78d6c486-b302-4c2c-8e9d-453b94e12d8e,8.0582,10.0732,1,2,130,34,2,360,463,955,-1,-1,0,0,0,0
25,25,461,-147.4095,8.0582,-23.2111,7.2014,78d6c486-b302-4c2c-8e9d-453b94e12d8e,8.0582,10.0732,1,2,130,34,2,360,469,991,-1,-1,0,0,0,0
26,26,295,-156.4846,8.0582,-46.8687,6.7511,78d6c486-b302-4c2c-8e9d-453b94e12d8e,8.0582,10.0732,1,2,130,34,2,360,496,1232,-1,-1,0,0,0,0
27,27,452,-139.566,8.1719,-21.354,8.1719,af84ff84-735f-45f8-af87-2ff7bd170b5a,8.1719,0.1874,3,7,356,91,5,360,492,1074,-1,-1,0,0,0,0
28,28,375,-148.1008,12.8033,-18.4112,12.8033,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,471,1006,-1,-1,0,0,0,0
29,29,387,-148.6764,12.8033,-22.4895,7.0763,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,463,938,-1,-1,0,0,0,0
30,30,359,-150.9663,12.8033,-26.7194,7.2535,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,457,917,-1,-1,0,0,0,0
31,31,255,-163.4652,12.8033,-51.6643,6.1633,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,361,495,1186,-1,-1,0,0,0,0
32,32,315,-158.9131,12.8033,-23.6646,8.1969,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,361,466,975,-1,-1,0,0,0,0
33,33,357,-155.4097,12.8033,-23.6386,7.408,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,451,910,-1,-1,0,0,0,0
34,34,436,-156.0534,12.8033,-26.881,8.031,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,466,940,-1,-1,0,0,0,0
35,35,360,-157.5962,12.8033,-25.7147,7.7868,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,460,909,-1,-1,0,0,0,0
36,36,253,-167.9206,12.8033,-44.5144,7.2038,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,471,1129,-1,-1,0,0,0,0
37,37,371,-155.5125,12.8033,-20.5179,8.0157,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,451,925,-1,-1,0,0,0,0
38,38,432,-157.1749,12.8033,-24.0843,7.9091,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,456,920,-1,-1,0,0,0,0
39,39,405,-156.3373,12.8033,-22.1544,8.0896,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,450,920,-1,-1,0,0,0,0
40,40,452,-147.7476,12.8033,-17.7474,8.0886,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,452,908,-1,-1,0,0,0,0
41,41,311,-161.2561,12.8033,-50.2701,10.3796,1967449d-590a-4dea-9eaf-dd4620d7f54a,12.8033,9.7525,1,2,129,34,2,360,496,1233,-1,-1,0,0,0,0
