gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,367,-203.637,-18.768,-112.8112,-18.768,81f8e829-b935-44c6-9b8f-aa6d808ff951,-18.768,9.4958,1,2,193,93,2,360,360,720,-1,-1,0,0,0,0
1,1,245,-136.6591,3.3351,-102.5387,3.3351,78ef3e4f-fe75-4765-8f24-5c4c228c0b6b,3.3351,0.6201,1,2,202,77,2,360,415,743,-1,-1,0,0,0,0
2,2,261,-145.0658,3.3351,-95.6657,-7.1624,78ef3e4f-fe75-4765-8f24-5c4c228c0b6b,3.3351,0.6201,1,2,202,77,2,360,415,746,-1,-1,0,0,0,0
3,3,403,-135.782,3.3351,-85.4727,3.2613,78ef3e4f-fe75-4765-8f24-5c4c228c0b6b,3.3351,0.6201,1,2,202,77,2,361,442,793,-1,-1,0,0,0,0
4,4,402,-166.7292,3.3833,-75.4075,3.3833,5eae9337-6252-42b7-a005-bd8b4665a7d8,3.3833,0.2176,1,2,202,78,2,360,448,841,-1,-1,0,0,0,0
5,5,444,-145.8967,4.9836,-63.5907,4.9836,bef3fd85-e8c6-4ead-89ea-486d78d8d14d,4.9836,1.4794,2,4,272,82,3,360,451,851,-1,-1,0,0,0,0
6,6,466,-149.5018,4.9836,-51.7538,2.232,bef3fd85-e8c6-4ead-89ea-486d78d8d14d,4.9836,1.4794,2,4,272,82,3,360,451,814,-1,-1,0,0,0,0
7,7,461,-159.7937,4.9836,-42.5468,-1.5874,bef3fd85-e8c6-4ead-89ea-486d78d8d14d,4.9836,1.4794,2,4,272,82,3,360,449,831,-1,-1,0,0,0,0
8,8,535,-123.5864,4.9836,-31.349,4.2122,bef3fd85-e8c6-4ead-89ea-486d78d8d14d,4.9836,1.4794,2,4,272,82,3,360,447,839,-1,-1,0,0,0,0
9,9,638,-159.0744,4.9836,-25.0875,4.1476,bef3fd85-e8c6-4ead-89ea-486d78d8d14d,4.9836,1.4794,2,4,272,82,3,360,460,863,-1,-1,0,0,0,0
10,10,618,-145.1192,8.0128,-19.1487,8.0128,54f9c8a0-47ee-46f9-8f4a-014af1169ef6,8.0128,0.1076,1,3,219,70,3,360,464,874,-1,-1,0,0,0,0
11,11,514,-152.0767,8.0128,-38.2104,4.4377,54f9c8a0-47ee-46f9-8f4a-014af1169ef6,8.0128,0.1076,1,3,219,70,3,360,498,1182,-1,-1,0,0,0,0
12,12,603,-147.4738,8.0128,-16.2759,7.8632,54f9c8a0-47ee-46f9-8f4a-014af1169ef6,8.0128,0.1076,1,3,219,70,3,360,494,1030,-1,-1,0,0,0,0
13,13,544,-131.3873,8.0819,-18.2609,8.0819,99c9b836-bbae-44db-84c0-fec1884be7d5,8.0819,0.0832,1,3,219,70,3,360,485,1007,-1,-1,0,0,0,0
14,14,634,-151.4626,8.0819,-14.601,8.0202,99c9b836-bbae-44db-84c0-fec1884be7d5,8.0819,0.0832,1,3,219,70,3,360,488,1002,-1,-1,0,0,0,0
15,15,548,-134.2824,8.0819,-13.6318,8.0112,99c9b836-bbae-44db-84c0-fec1884be7d5,8.0819,0.0832,1,3,219,70,3,360,472,963,-1,-1,0,0,0,0
16,16,465,-176.2033,8.0819,-33.7563,8.0322,99c9b836-bbae-44db-84c0-fec1884be7d5,8.0819,0.0832,1,3,219,70,3,360,498,1183,-1,-1,0,0,0,0
17,17,545,-153.0157,8.0819,-13.1735,8.0431,99c9b836-bbae-44db-84c0-fec1884be7d5,8.0819,0.0832,1,3,219,70,3,360,491,1051,-1,-1,0,0,0,0
18,18,538,-146.5536,8.1089,-6.7012,8.1089,6bdeeb79-71da-4a3e-afa0-b29bb10d00ae,8.1089,0.0667,1,3,217,70,3,360,469,970,-1,-1,0,0,0,0
19,19,714,-121.7023,8.1094,-9.3481,8.1094,e6bae169-e035-4a2c-85e9-5dfd2872940f,8.1094,0.05,3,8,599,89,6,360,500,1093,-1,-1,0,0,0,0
