gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,366,-227.0584,1.8396,-114.2989,1.8396,e4add1ff-ce8f-4558-887e-e04ed9dc6714,1.8396,2.001,1,2,183,97,2,360,360,720,-1,-1,0,0,0,0
1,1,272,-179.7064,1.8396,-105.6065,-10.9764,e4add1ff-ce8f-4558-887e-e04ed9dc6714,1.8396,2.001,1,2,183,97,2,360,415,736,-1,-1,0,0,0,0
2,2,288,-137.1366,1.8396,-97.3847,0.9833,e4add1ff-ce8f-4558-887e-e04ed9dc6714,1.8396,2.001,1,2,183,97,2,360,422,758,-1,-1,0,0,0,0
3,3,376,-140.8456,4.0425,-91.5404,4.0425,e680fae3-38c7-4241-ab8c-84ad5b7c2138,4.0425,0.3459,2,5,299,279,4,360,441,842,-1,-1,0,0,0,0
4,4,360,-183.55,4.0425,-85.6832,1.8539,e680fae3-38c7-4241-ab8c-84ad5b7c2138,4.0425,0.3459,2,5,299,279,4,360,456,887,-1,-1,0,0,0,0
5,5,353,-156.5835,4.0425,-78.9533,3.2619,e680fae3-38c7-4241-ab8c-84ad5b7c2138,4.0425,0.3459,2,5,299,279,4,360,450,878,-1,-1,0,0,0,0
6,6,450,-136.1302,4.0425,-70.3834,1.8009,e680fae3-38c7-4241-ab8c-84ad5b7c2138,4.0425,0.3459,2,5,299,279,4,360,456,863,-1,-1,0,0,0,0
7,7,424,-154.1483,4.0425,-63.3747,3.7301,e680fae3-38c7-4241-ab8c-84ad5b7c2138,4.0425,0.3459,2,5,299,279,4,361,460,872,-1,-1,0,0,0,0
8,8,509,-136.6044,4.6227,-51.692,4.6227,397f2d43-ea62-4f69-a0f7-7d52c62b710a,4.6227,1.6428,2,4,225,99,3,361,467,881,-1,-1,0,0,0,0
9,9,456,-128.974,5.0824,-44.9974,5.0824,462ae8bb-afee-4075-ba00-e19ea6b60f43,5.0824,0.7419,2,6,407,311,5,360,459,876,-1,-1,0,0,0,0
