gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,382,-205.1425,-29.0524,-113.0439,-29.0524,5c459358-4c2f-4c95-b006-9d673bd9435e,-29.0524,2.6715,1,2,107,18,2,360,360,720,-1,-1,0,0,0,0
1,1,241,-137.6322,-25.4461,-104.4114,-25.4461,122d98cf-e7cd-4f4c-a1dd-8f8be1279969,-25.4461,2.887,1,3,186,126,3,360,410,733,-1,-1,0,0,0,0
2,2,246,-138.5419,-1.0469,-97.7441,-1.0469,b247bfab-6b05-43a1-943a-4e6869696555,-1.0469,2.4654,1,2,67,136,2,360,417,725,-1,-1,0,0,0,0
3,3,304,-166.0456,-1.0469,-91.0467,-23.4621,b247bfab-6b05-43a1-943a-4e6869696555,-1.0469,2.4654,1,2,67,136,2,361,432,755,-1,-1,0,0,0,0
4,4,322,-132.7916,5.9982,-82.7833,5.9982,93ecf582-5422-420f-9144-6e60c9700acf,5.9982,3.6305,1,2,157,19,2,361,428,769,-1,-1,0,0,0,0
5,5,398,-126.7863,5.9982,-74.1175,-4.6316,93ecf582-5422-420f-9144-6e60c9700acf,5.9982,3.6305,1,2,157,19,2,361,435,810,-1,-1,0,0,0,0
6,6,398,-173.3754,6.0236,-66.9072,6.0236,15125353-37f2-40b2-bacb-c98dabf6ee79,6.0236,1.3685,1,4,246,96,4,361,436,823,-1,-1,0,0,0,0
7,7,484,-174.7553,6.0236,-56.5287,3.1822,15125353-37f2-40b2-bacb-c98dabf6ee79,6.0236,1.3685,1,4,246,96,4,360,447,877,-1,-1,0,0,0,0
8,8,529,-127.0512,9.4968,-45.7307,9.4968,bc8ca0b9-232b-46a9-a219-3d4d890abe15,9.4968,4.9238,2,7,418,147,6,361,455,928,-1,-1,0,0,0,0
9,9,594,-117.3352,9.4968,-36.8275,8.7583,bc8ca0b9-232b-46a9-a219-3d4d890abe15,9.4968,4.9238,2,7,418,147,6,360,461,1020,-1,-1,0,0,0,0
10,10,520,-119.7724,9.4968,-34.1886,8.6813,bc8ca0b9-232b-46a9-a219-3d4d890abe15,9.4968,4.9238,2,7,418,147,6,360,454,969,-1,-1,0,0,0,0
11,11,436,-157.8045,28.3769,-49.5611,28.3769,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,360,488,1252,-1,-1,0,0,0,0
12,12,476,-127.7957,28.3769,-28.3068,3.1572,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,360,469,1084,-1,-1,0,0,0,0
13,13,579,-123.2276,28.3769,-24.0227,8.7588,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,360,478,1042,-1,-1,0,0,0,0
14,14,563,-147.2903,28.3769,-17.7571,8.9137,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,360,475,1024,-1,-1,0,0,0,0
15,15,608,-153.9973,28.3769,-14.4774,9.5765,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,361,482,1012,-1,-1,0,0,0,0
16,16,468,-136.0309,28.3769,-29.6728,10.0279,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,361,499,1246,-1,-1,0,0,0,0
17,17,587,-122.4705,28.3769,-10.7204,8.2251,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,360,486,1071,-1,-1,0,0,0,0
18,18,583,-117.916,28.3769,-12.7528,9.4963,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,360,487,1113,-1,-1,0,0,0,0
19,19,531,-120.3949,28.3769,-11.4734,9.4778,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,360,477,1091,-1,-1,0,0,0,0
20,20,588,-141.2228,28.3769,-15.7047,10.344,fd7da9fd-0789-45c1-be20-56c9c71bacde,28.3769,72.8196,2,6,339,228,5,361,483,1127,-1,-1,0,0,0,0
21,21,527,-126.1844,46.2054,-31.177,46.2054,d3332209-b65c-4a8a-90bf-7da8c9736a74,46.2054,16.9063,3,6,356,174,4,361,522,1392,-1,-1,0,0,0,0
22,22,549,-120.9143,46.3289,-7.1216,46.3289,c8cda41a-5410-4daa-888d-865672724775,46.3289,14.0365,3,6,356,174,4,360,507,1181,-1,-1,0,0,0,0
23,23,540,-122.7667,58.7151,-7.7263,58.7151,99b7f722-3e8d-46a6-9981-28ddcbd84516,58.7151,10.1236,1,2,46,124,2,360,490,1106,-1,-1,0,0,0,0
