gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,377,-201.9283,-17.0838,-113.6239,-17.0838,a01c27a1-ef34-49c1-af57-5f33670378ad,-17.0838,1.2095,1,2,108,115,2,360,360,720,-1,-1,0,0,0,0
1,1,259,-150.6071,-16.9717,-103.9586,-16.9717,2979680f-7833-4901-8934-39468d9d41c0,-16.9717,0.9074,1,3,119,148,3,360,414,751,-1,-1,0,0,0,0
2,2,282,-159.6171,6.0768,-96.7903,6.0768,8b4f60ed-7c05-4a36-9a57-267459696c30,6.0768,1.6744,1,3,156,141,3,360,419,765,-1,-1,0,0,0,0
3,3,289,-125.3223,6.0768,-91.4076,-39.7792,8b4f60ed-7c05-4a36-9a57-267459696c30,6.0768,1.6744,1,3,156,141,3,361,439,816,-1,-1,0,0,0,0
4,4,355,-171.7176,6.5544,-84.2953,6.5544,59156f7f-674b-4ef1-9681-dc7169c9f896,6.5544,1.1707,1,3,156,141,3,361,434,813,-1,-1,0,0,0,0
5,5,433,-180.6849,6.5544,-78.6278,4.8741,59156f7f-674b-4ef1-9681-dc7169c9f896,6.5544,1.1707,1,3,156,141,3,360,448,853,-1,-1,0,0,0,0
6,6,400,-172.8507,6.5544,-70.2668,-0.2759,59156f7f-674b-4ef1-9681-dc7169c9f896,6.5544,1.1707,1,3,156,141,3,360,439,848,-1,-1,0,0,0,0
7,7,500,-199.1315,7.4403,-60.585,7.4403,8b6678c1-f24e-4b4e-aec1-7633095cd526,7.4403,0.1658,1,3,156,141,3,360,442,816,-1,-1,0,0,0,0
8,8,505,-161.4123,7.4403,-53.4409,7.1246,8b6678c1-f24e-4b4e-aec1-7633095cd526,7.4403,0.1658,1,3,156,141,3,360,438,835,-1,-1,0,0,0,0
9,9,540,-175.2359,7.4465,-50.0537,7.4465,c7380a65-5022-451c-be84-3254ea36545a,7.4465,0.1381,3,9,463,289,7,360,449,857,-1,-1,0,0,0,0
10,10,475,-173.702,7.4465,-42.3579,7.1275,c7380a65-5022-451c-be84-3254ea36545a,7.4465,0.1381,3,9,463,289,7,360,430,811,-1,-1,0,0,0,0
11,11,493,-177.2386,7.4465,-61.2938,6.973,c7380a65-5022-451c-be84-3254ea36545a,7.4465,0.1381,3,9,463,289,7,361,487,1180,-1,-1,0,0,0,0
12,12,438,-156.2064,7.4465,-40.6357,7.3872,c7380a65-5022-451c-be84-3254ea36545a,7.4465,0.1381,3,9,463,289,7,360,474,1005,-1,-1,0,0,0,0
13,13,525,-122.8416,7.5166,-32.3505,7.5166,e1e044db-8b3a-40db-af22-b8dad482371b,7.5166,0.3115,1,2,96,24,2,360,463,992,-1,-1,0,0,0,0
14,14,520,-122.4249,7.5166,-32.1349,7.4416,e1e044db-8b3a-40db-af22-b8dad482371b,7.5166,0.3115,1,2,96,24,2,360,477,1020,-1,-1,0,0,0,0
15,15,478,-123.9142,7.5166,-27.9526,7.4062,e1e044db-8b3a-40db-af22-b8dad482371b,7.5166,0.3115,1,2,96,24,2,360,485,1057,-1,-1,0,0,0,0
16,16,435,-146.1859,7.5166,-45.2032,7.386,e1e044db-8b3a-40db-af22-b8dad482371b,7.5166,0.3115,1,2,96,24,2,361,522,1335,-1,-1,0,0,0,0
17,17,390,-128.5565,7.5166,-19.5615,7.3081,e1e044db-8b3a-40db-af22-b8dad482371b,7.5166,0.3115,1,2,96,24,2,360,490,1108,-1,-1,0,0,0,0
18,18,515,-148.6305,7.5166,-13.1998,7.3829,e1e044db-8b3a-40db-af22-b8dad482371b,7.5166,0.3115,1,2,96,24,2,360,476,1093,-1,-1,0,0,0,0
19,19,530,-145.3478,8.5886,-16.8721,8.5886,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,360,480,1114,-1,-1,0,0,0,0
20,20,480,-154.6429,8.5886,-14.9482,7.4584,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,360,471,1106,-1,-1,0,0,0,0
21,21,384,-158.4275,8.5886,-38.3904,7.4447,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,360,504,1380,-1,-1,0,0,0,0
22,22,506,-141.8742,8.5886,-7.6849,7.3882,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,493,1213,-1,-1,0,0,0,0
23,23,488,-141.8224,8.5886,-10.6043,7.4687,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,360,481,1179,-1,-1,0,0,0,0
24,24,542,-159.682,8.5886,-9.2286,7.5968,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,360,483,1187,-1,-1,0,0,0,0
25,25,554,-142.3691,8.5886,-10.0264,7.5298,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,485,1213,-1,-1,0,0,0,0
26,26,396,-175.2101,8.5886,-34.8169,7.6796,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,517,1465,-1,-1,0,0,0,0
27,27,452,-130.2898,8.5886,-9.5389,7.4392,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,492,1256,-1,-1,0,0,0,0
28,28,547,-166.1279,8.5886,-6.9338,7.7086,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,480,1216,-1,-1,0,0,0,0
29,29,577,-153.5022,8.5886,-8.5551,7.5581,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,488,1258,-1,-1,0,0,0,0
30,30,681,-140.1834,8.5886,-6.4788,7.4473,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,509,1330,-1,-1,0,0,0,0
31,31,395,-184.6128,8.5886,-29.0282,7.4434,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,515,1458,-1,-1,0,0,0,0
32,32,521,-154.8726,8.5886,-6.6585,7.451,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,502,1322,-1,-1,0,0,0,0
33,33,567,-130.4872,8.5886,-9.7994,8.0868,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,507,1332,-1,-1,0,0,0,0
34,34,524,-138.0943,8.5886,-8.3277,7.4591,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,497,1308,-1,-1,0,0,0,0
35,35,598,-138.8719,8.5886,-9.479,8.3711,8926a7c5-9cae-4450-95ec-f15c80f57912,8.5886,1.8367,2,6,562,141,5,361,505,1307,-1,-1,0,0,0,0
