gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
0, 80.6536500453949, -232.93985936056, -35.90444900317718, -117.54574755971531, ccf03624-005a-4f3d-8378-6e133c7450a4, -35.90444900317718, 38.00436174351248, 1, 1, 6,58, 1, 360, 360, 360
1, 91.901939868927, -133.6579768839926, -35.90444900317718, -107.2633293991434, ccf03624-005a-4f3d-8378-6e133c7450a4, -35.90444900317718, 38.00436174351248, 1, 1, 6,58, 1, 360, 360, 360
2, 32.87353014945984, -145.75776070986373, -24.230905840552147, -101.69436859932298, 85d752ae-32b2-4ed9-82dd-d43bffb11ef6, -24.230905840552147, 1.2705005136185192, 1, 1, 24,23, 1, 360, 360, 360
3, 40.39747405052185, -147.8159979400029, -12.91109645096663, -96.0567957091448, 4f58569a-c5b1-4b94-86ea-b5eb12d60b7b, -12.91109645096663, 1.3158643088659732, 1, 1, 54,3, 1, 360, 360, 360
4, 40.801626682281494, -131.03430401229002, -12.91109645096663, -89.46757592392643, 4f58569a-c5b1-4b94-86ea-b5eb12d60b7b, -12.91109645096663, 1.3158643088659732, 1, 1, 54,3, 1, 360, 360, 360
5, 49.31863284111023, -169.45631978178525, -11.53574459738895, -79.77356722761249, a17abc39-8804-458d-8292-369c1478237f, -11.53574459738895, 1.7122258858821833, 1, 1, 26,10, 1, 360, 360, 360
6, 66.5783019065857, -149.2394478664406, -8.42607139796095, -67.98757429312448, c7ab3e50-199b-4ac3-bc21-34697f8185bb, -8.42607139796095, 4.356873466194006, 1, 1, 25,24, 1, 360, 360, 360
7, 67.37816452980042, -127.40831171530745, -8.13467892261682, -52.07610754900093, c8c221de-2532-43b9-a0ea-11229060880d, -8.13467892261682, 8.313837676671815, 1, 1, 7,60, 1, 360, 360, 360
8, 65.78048372268677, -119.67318478274278, -8.13467892261682, -44.198509085701055, c8c221de-2532-43b9-a0ea-11229060880d, -8.13467892261682, 8.313837676671815, 1, 1, 7,60, 1, 360, 360, 360
9, 65.74088788032532, -121.41443596817025, -4.13185269170049, -37.54021580247387, a5782a4a-44fd-4065-b601-41e8ae586d31, -4.13185269170049, 3.82680690477083, 1, 1, 6,60, 1, 360, 360, 360
10, 71.09315347671509, -129.56708167044215, -3.876951206203614, -32.10082905835991, f1609e4c-7a31-4f3a-a04f-43fabae9bf24, -3.876951206203614, 1.190180801100054, 1, 1, 7,60, 1, 360, 360, 360
11, 56.06606888771057, -156.72100230040192, -3.197554589710964, -45.60782094869816, b3deb0be-2739-44b5-bbf6-2af1a4fed177, -3.197554589710964, 1.0718128355580652, 1, 1, 6,61, 1, 360, 360, 360
12, 74.44448018074036, -116.92676860896275, -0.5491569602165154, -27.608579221498566, 1ae2b96c-85cf-41b7-9787-cf5b08ad130b, -0.5491569602165154, 2.9132296730602105, 1, 1, 18,6, 1, 360, 360, 360
13, 68.8908998966217, -121.8874765299098, -0.41132240325082625, -26.21705310804412, b830716e-9afb-4f72-86f9-ef24fe43d88b, -0.41132240325082625, 0.9817581219954711, 1, 1, 8,61, 1, 360, 360, 360
14, 72.93320798873901, -126.67963422463863, -0.41132240325082625, -22.984727563883467, b830716e-9afb-4f72-86f9-ef24fe43d88b, -0.41132240325082625, 0.9817581219954711, 1, 1, 8,61, 1, 360, 360, 360
15, 71.34006261825562, -120.3451341310944, -0.3946036737609784, -20.894579797996432, c76bb9b3-519d-4016-9406-98eeb5c456ce, -0.3946036737609784, 1.7757778901484058, 1, 1, 7,61, 1, 360, 360, 360
16, 45.776665449142456, -129.1020922489087, 0.07765290036763658, -41.450544327631256, b1736518-5d67-4116-ad99-54f272ac3186, 0.07765290036763658, 3.6661694881425713, 1, 1, 7,60, 1, 360, 360, 360
17, 68.92563843727112, -127.01760766423442, 1.3592172684385235, -19.77011440459964, 1b72f7a4-fe4d-45c4-bb62-f10a254530c8, 1.3592172684385235, 1.9858103424325495, 1, 1, 8,62, 1, 360, 360, 360
18, 73.57519841194153, -123.31685972153271, 1.3592172684385235, -19.946357869598366, 1b72f7a4-fe4d-45c4-bb62-f10a254530c8, 1.3592172684385235, 1.9858103424325495, 1, 1, 8,62, 1, 360, 360, 360
19, 72.5824453830719, -122.30252071787167, 1.3592172684385235, -16.888560954314748, 1b72f7a4-fe4d-45c4-bb62-f10a254530c8, 1.3592172684385235, 1.9858103424325495, 1, 1, 8,62, 1, 360, 360, 360
20, 70.32840919494629, -121.50979356842012, 1.3592172684385235, -16.996088808310695, 1b72f7a4-fe4d-45c4-bb62-f10a254530c8, 1.3592172684385235, 1.9858103424325495, 1, 1, 8,62, 1, 360, 360, 360
21, 49.60112905502319, -154.89787735990953, 1.3592172684385235, -42.05327980588356, 1b72f7a4-fe4d-45c4-bb62-f10a254530c8, 1.3592172684385235, 1.9858103424325495, 1, 1, 8,62, 1, 360, 360, 360
22, 76.25179862976074, -128.17687681456633, 2.0052922213887205, -17.74931145432923, 8759e5b6-2f5d-44db-ac14-7e9e4e23cd81, 2.0052922213887205, 1.7551900986176139, 1, 1, 7,60, 1, 360, 360, 360
23, 74.74180102348328, -126.12719688516373, 2.205188623095028, -18.43920761802188, fd8671c7-550c-440f-814b-9cf99607da4b, 2.205188623095028, 1.4811290056188287, 1, 1, 8,62, 1, 360, 360, 360
24, 68.00643491744995, -123.88076224297615, 4.12857894678582, -17.923889422643562, b15e0038-8834-492f-8d6d-0dae3cc385c8, 4.12857894678582, 2.7859863050091236, 1, 1, 8,60, 1, 360, 360, 360
