gen, gen_time, fitness_min, fitness_max, fitness_avg, champ_id, champ_mean, champ_std, champ_teams, champ_learners, champ_instructions, champ_act_instructions, champ_real_acts, pop_roots, pop_teams, pop_learners, hh_learners_removed, hh_teams_affected, b_teams, b_learners, b_teams_new, b_learners_new
0, 222.3101363182068, -219.28734592504662, -6.172083629382936, -109.30416397930648, 62e80250-eb3c-45b3-bd73-8f634c82eb3d, -6.172083629382936, 12.528732118737876, 1, 2, 65,43, 2, 360, 360, 720, -1, -1, 3, 8, 3, 8
1, 62.03327536582947, -142.69127038447908, 203.517706451312, -96.34312704535328, ca24fa66-33f7-4d40-80d3-e29d40610dbb, 203.517706451312, 20.859341758671878, 2, 5, 60,69, 4, 328, 363, 648, -1, -1, 7, 19, 7, 19
2, 57.20915627479553, -203.89569910547354, 218.13527074516992, -84.59308436844788, 42c3f35a-cc86-4148-b76c-443a647c35c3, 218.13527074516992, 18.352592797338293, 1, 2, 13,21, 2, 317, 364, 637, -1, -1, 9, 24, 9, 24
3, 68.83669328689575, -167.30740912630267, 218.13527074516992, -74.29547960629763, 42c3f35a-cc86-4148-b76c-443a647c35c3, 218.13527074516992, 18.352592797338293, 1, 2, 13,21, 2, 303, 362, 616, -1, -1, 11, 29, 11, 29
4, 77.14011669158936, -126.19293068005102, 218.13527074516992, -59.27097082668511, 42c3f35a-cc86-4148-b76c-443a647c35c3, 218.13527074516992, 18.352592797338293, 1, 2, 13,21, 2, 308, 362, 630, -1, -1, 13, 33, 13, 33
5, 87.71358108520508, -116.91000425656414, 218.13527074516992, -38.68324946971978, 42c3f35a-cc86-4148-b76c-443a647c35c3, 218.13527074516992, 18.352592797338293, 1, 2, 13,21, 2, 304, 362, 628, -1, -1, 16, 41, 16, 41
6, 80.66830682754517, -118.64292867423555, 218.13527074516992, -25.642026014857077, 42c3f35a-cc86-4148-b76c-443a647c35c3, 218.13527074516992, 18.352592797338293, 1, 2, 13,21, 2, 294, 363, 652, -1, -1, 17, 43, 17, 43
7, 77.51497387886047, -160.16464952344526, 219.61494458199454, -9.78829849571377, 1254f7fd-2696-4597-88f2-46181f82712a, 219.61494458199454, 22.945684855522625, 1, 2, 14,21, 2, 284, 361, 665, -1, -1, 18, 47, 18, 47
8, 85.36144256591797, -121.24952644245066, 219.61494458199454, 7.472331084697164, 1254f7fd-2696-4597-88f2-46181f82712a, 219.61494458199454, 22.945684855522625, 1, 2, 14,21, 2, 279, 361, 718, -1, -1, 18, 47, 18, 47
9, 75.94418573379517, -119.76625084775678, 219.69676002042843, 25.14931081588896, 3efefce4-af5c-4b2f-921b-0a157a185ec8, 219.69676002042843, 19.460955807091818, 2, 4, 114,29, 3, 275, 360, 709, -1, -1, 19, 49, 19, 49
10, 85.49823546409607, -121.96127512254455, 226.64972979245508, 43.271867638886555, bf8f31ca-8c31-4f21-bd43-fc4a1f66a1e5, 226.64972979245508, 10.363628875890447, 1, 2, 11,18, 2, 285, 361, 671, -1, -1, 19, 49, 19, 49
11, 62.46164846420288, -180.28129950983512, 226.64972979245508, 23.00814464024979, bf8f31ca-8c31-4f21-bd43-fc4a1f66a1e5, 226.64972979245508, 10.363628875890447, 1, 2, 11,18, 2, 264, 360, 741, -1, -1, 19, 49, 19, 49
12, 58.703739404678345, -138.5195161930813, 226.64972979245508, 58.04755313230306, bf8f31ca-8c31-4f21-bd43-fc4a1f66a1e5, 226.64972979245508, 10.363628875890447, 1, 2, 11,18, 2, 273, 360, 647, -1, -1, 18, 49, 18, 49
13, 66.43756008148193, -121.89103289379446, 226.64972979245508, 81.95892166492368, bf8f31ca-8c31-4f21-bd43-fc4a1f66a1e5, 226.64972979245508, 10.363628875890447, 1, 2, 11,18, 2, 281, 361, 627, -1, -1, 19, 51, 19, 51
14, 69.80847907066345, -106.93567463572997, 226.64972979245508, 108.71575636973057, bf8f31ca-8c31-4f21-bd43-fc4a1f66a1e5, 226.64972979245508, 10.363628875890447, 1, 2, 11,18, 2, 285, 362, 625, -1, -1, 18, 51, 18, 51
15, 66.94040966033936, -118.49249959698084, 226.64972979245508, 117.06188857680344, bf8f31ca-8c31-4f21-bd43-fc4a1f66a1e5, 226.64972979245508, 10.363628875890447, 1, 2, 11,18, 2, 285, 362, 624, -1, -1, 18, 51, 18, 51
16, 56.759342193603516, -123.70434025744494, 226.64972979245508, 66.21141850847958, bf8f31ca-8c31-4f21-bd43-fc4a1f66a1e5, 226.64972979245508, 10.363628875890447, 1, 2, 11,18, 2, 263, 361, 741, -1, -1, 17, 51, 17, 51
17, 65.62565159797668, -122.62427231103985, 226.64972979245508, 123.7330236147636, bf8f31ca-8c31-4f21-bd43-fc4a1f66a1e5, 226.64972979245508, 10.363628875890447, 1, 2, 11,18, 2, 275, 360, 645, -1, -1, 16, 51, 16, 51
18, 83.05744004249573, -139.22526961054893, 232.65021224073035, 127.91351592033763, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 275, 360, 651, -1, -1, 16, 51, 16, 51
19, 62.44191932678223, -117.75211951159163, 232.65021224073035, 119.4751287795404, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 274, 361, 637, -1, -1, 16, 51, 16, 51
20, 78.0963933467865, -122.87567190957245, 232.65021224073035, 129.55522749581442, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 277, 360, 640, -1, -1, 14, 51, 14, 51
21, 64.01853370666504, -121.83428715835687, 232.65021224073035, 79.89063439123261, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 261, 361, 762, -1, -1, 14, 51, 14, 51
22, 63.67819428443909, -114.80165631055266, 232.65021224073035, 128.69667874601276, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 273, 360, 650, -1, -1, 14, 51, 14, 51
23, 70.97434043884277, -117.73999548957696, 232.65021224073035, 127.72992563283455, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 273, 361, 643, -1, -1, 13, 51, 13, 51
24, 70.88635635375977, -114.57536573463456, 232.65021224073035, 130.04050079342534, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 278, 361, 638, -1, -1, 14, 51, 14, 51
25, 72.75922060012817, -121.96640525877118, 232.65021224073035, 132.15705488265698, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 278, 363, 662, -1, -1, 13, 51, 13, 51
26, 66.42691922187805, -123.43383244446905, 232.65021224073035, 88.15003472163738, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 256, 360, 759, -1, -1, 13, 51, 13, 51
27, 64.57570219039917, -123.44239911281974, 232.65021224073035, 131.48443004375284, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 270, 362, 671, -1, -1, 12, 51, 12, 51
28, 67.88008236885071, -129.2922084932317, 232.65021224073035, 131.5489870025046, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 273, 360, 656, -1, -1, 11, 51, 11, 51
29, 86.62319755554199, -124.0178599605764, 232.65021224073035, 131.18274114580217, 8e7e9236-dbb7-4e9d-9b67-81e1bc31a4ae, 232.65021224073035, 12.850345314744574, 1, 2, 17,19, 2, 267, 360, 651, -1, -1, 12, 51, 12, 51
30, 67.14594411849976, -122.42539731091048, 233.98335188543737, 133.14330159939135, ea535b0d-fb1d-4118-b3c1-c728e1df9c1d, 233.98335188543737, 18.495148568686098, 4, 10, 92,95, 7, 271, 361, 666, -1, -1, 15, 51, 15, 51
31, 60.016822814941406, -163.20934601461983, 233.98335188543737, 86.49508087876839, ea535b0d-fb1d-4118-b3c1-c728e1df9c1d, 233.98335188543737, 18.495148568686098, 4, 10, 92,95, 7, 258, 363, 762, -1, -1, 15, 51, 15, 51
32, 70.27545523643494, -123.66724097787737, 233.98335188543737, 140.2230865206943, ea535b0d-fb1d-4118-b3c1-c728e1df9c1d, 233.98335188543737, 18.495148568686098, 4, 10, 92,95, 7, 274, 360, 659, -1, -1, 14, 51, 14, 51
33, 74.33096575737, -119.65799681846336, 233.98335188543737, 129.42537110705518, ea535b0d-fb1d-4118-b3c1-c728e1df9c1d, 233.98335188543737, 18.495148568686098, 4, 10, 92,95, 7, 279, 360, 649, -1, -1, 14, 51, 14, 51
34, 77.60010123252869, -114.16069365865019, 233.98335188543737, 131.5382177886372, ea535b0d-fb1d-4118-b3c1-c728e1df9c1d, 233.98335188543737, 18.495148568686098, 4, 10, 92,95, 7, 274, 361, 665, -1, -1, 16, 51, 16, 51
35, 72.85150790214539, -119.10910970786537, 233.98335188543737, 132.1113385782142, ea535b0d-fb1d-4118-b3c1-c728e1df9c1d, 233.98335188543737, 18.495148568686098, 4, 10, 92,95, 7, 273, 362, 654, -1, -1, 17, 51, 17, 51
36, 65.60063529014587, -147.6054574330154, 233.98335188543737, 92.98603632722318, ea535b0d-fb1d-4118-b3c1-c728e1df9c1d, 233.98335188543737, 18.495148568686098, 4, 10, 92,95, 7, 268, 362, 765, -1, -1, 16, 51, 16, 51
37, 65.24668431282043, -133.98022848480517, 235.39906774105043, 138.89072841796857, e4e114d1-f135-4a3e-83f6-dcfe9ed7ade8, 235.39906774105043, 14.052154185753286, 1, 2, 13,19, 2, 275, 361, 651, -1, -1, 13, 51, 13, 51
38, 73.44877052307129, -120.27040953926716, 235.39906774105043, 136.5033000823239, e4e114d1-f135-4a3e-83f6-dcfe9ed7ade8, 235.39906774105043, 14.052154185753286, 1, 2, 13,19, 2, 276, 360, 659, -1, -1, 14, 51, 14, 51
39, 72.37235021591187, -122.15115473623973, 235.39906774105043, 129.95515775898485, e4e114d1-f135-4a3e-83f6-dcfe9ed7ade8, 235.39906774105043, 14.052154185753286, 1, 2, 13,19, 2, 275, 362, 666, -1, -1, 16, 51, 16, 51
40, 67.15827870368958, -109.80508150915644, 235.39906774105043, 129.64000968955563, e4e114d1-f135-4a3e-83f6-dcfe9ed7ade8, 235.39906774105043, 14.052154185753286, 1, 2, 13,19, 2, 284, 362, 631, -1, -1, 15, 51, 15, 51
41, 58.42019033432007, -136.2345961458789, 235.39906774105043, 77.86271904739169, e4e114d1-f135-4a3e-83f6-dcfe9ed7ade8, 235.39906774105043, 14.052154185753286, 1, 2, 13,19, 2, 260, 361, 770, -1, -1, 14, 51, 14, 51
42, 68.01154398918152, -122.57489515485759, 235.39906774105043, 133.74681992831566, e4e114d1-f135-4a3e-83f6-dcfe9ed7ade8, 235.39906774105043, 14.052154185753286, 1, 2, 13,19, 2, 266, 360, 663, -1, -1, 14, 51, 14, 51
43, 84.60279870033264, -122.71212955124697, 235.39906774105043, 135.13281110400806, e4e114d1-f135-4a3e-83f6-dcfe9ed7ade8, 235.39906774105043, 14.052154185753286, 1, 2, 13,19, 2, 274, 360, 654, -1, -1, 15, 51, 15, 51
44, 73.96543741226196, -141.1359593141747, 236.64583025282664, 129.33606969433004, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 268, 362, 671, -1, -1, 15, 51, 15, 51
45, 70.54596948623657, -117.51967087082878, 236.64583025282664, 133.40811950226873, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 280, 360, 656, -1, -1, 15, 51, 15, 51
46, 83.17327499389648, -131.26956801607298, 236.64583025282664, 81.34995279706452, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 265, 362, 784, -1, -1, 16, 51, 16, 51
47, 84.28857231140137, -118.74593382425458, 236.64583025282664, 140.61685890221258, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 268, 361, 666, -1, -1, 15, 51, 15, 51
48, 82.71747255325317, -122.71476866618998, 236.64583025282664, 137.53573738941958, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 272, 360, 644, -1, -1, 14, 51, 14, 51
49, 74.37334132194519, -122.78914829101973, 236.64583025282664, 135.56552792632792, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 270, 361, 651, -1, -1, 14, 51, 14, 51
50, 87.05674958229065, -122.63039380138196, 236.64583025282664, 133.55805039070825, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 271, 360, 662, -1, -1, 15, 51, 15, 51
51, 64.45268988609314, -133.77849596794877, 236.64583025282664, 82.99388313565514, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 252, 362, 745, -1, -1, 17, 51, 17, 51
52, 64.6094663143158, -122.52079094214119, 236.64583025282664, 137.41920998529622, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 263, 362, 662, -1, -1, 15, 51, 15, 51
53, 69.48802876472473, -124.64645732822105, 236.64583025282664, 139.9716879410654, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 264, 360, 654, -1, -1, 13, 51, 13, 51
54, 70.79842925071716, -105.6774000999435, 236.64583025282664, 133.81186231374616, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 263, 361, 659, -1, -1, 14, 51, 14, 51
55, 68.90674757957458, -122.65257457375174, 236.64583025282664, 135.868754277357, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 270, 361, 636, -1, -1, 14, 51, 14, 51
56, 52.25441312789917, -130.33022922026424, 236.64583025282664, 84.97488333801218, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 252, 361, 766, -1, -1, 14, 51, 14, 51
57, 69.49221134185791, -122.65273317885085, 236.64583025282664, 145.17347014209818, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 258, 360, 644, -1, -1, 14, 51, 14, 51
58, 75.26970267295837, -122.61080111612361, 236.64583025282664, 128.36865396885352, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 271, 361, 654, -1, -1, 14, 51, 14, 51
59, 73.89656901359558, -117.7332835900786, 236.64583025282664, 137.1041933141708, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 268, 360, 641, -1, -1, 15, 51, 15, 51
60, 70.9946072101593, -129.2065892295444, 236.64583025282664, 127.75002215700285, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 265, 362, 645, -1, -1, 15, 51, 15, 51
61, 63.51728439331055, -123.00865769581362, 236.64583025282664, 80.09633542183542, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 244, 360, 764, -1, -1, 15, 51, 15, 51
62, 71.06432747840881, -107.58403608946415, 236.64583025282664, 145.94617378314905, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 258, 361, 656, -1, -1, 14, 51, 14, 51
63, 63.547831773757935, -110.03225429925253, 236.64583025282664, 131.10151141876398, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 257, 360, 661, -1, -1, 15, 51, 15, 51
64, 73.28971791267395, -122.645272254324, 236.64583025282664, 134.95087507097406, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 255, 362, 654, -1, -1, 15, 51, 15, 51
65, 66.2042727470398, -122.68247039248527, 236.64583025282664, 126.75903394103432, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 258, 360, 645, -1, -1, 14, 51, 14, 51
66, 59.10351300239563, -132.190513711785, 236.64583025282664, 84.16954996934793, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 247, 361, 754, -1, -1, 14, 51, 14, 51
67, 58.996485233306885, -137.0391174309623, 236.64583025282664, 141.0428370489872, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 264, 360, 659, -1, -1, 15, 51, 15, 51
68, 72.26916718482971, -122.5503731828923, 236.64583025282664, 134.30563433871137, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 258, 362, 661, -1, -1, 17, 51, 17, 51
69, 159.06398177146912, -148.710754887622, 236.64583025282664, 128.97311738720654, 980ca96c-6689-4a90-ab19-eaa85db3a005, 236.64583025282664, 22.366649018207074, 1, 2, 14,21, 2, 261, 362, 670, -1, -1, 16, 51, 16, 51
