gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-act-inst
0,357,-232.9645,-17.201,-112.7529,-17.201,985b5842-cf71-4332-957c-13ac68100294,-17.201,0.8589,7
1,190,-138.5075,-17.201,-100.3582,-19.6394,985b5842-cf71-4332-957c-13ac68100294,-17.201,0.8589,7
2,235,-133.2427,-15.5992,-88.1729,-15.5992,f2893a0a-9391-48ff-90db-581b213268a3,-15.5992,0.2502,12
3,309,-122.4648,-15.5992,-73.4041,-15.9027,f2893a0a-9391-48ff-90db-581b213268a3,-15.5992,0.2502,12
4,501,-133.743,-10.248,-55.5871,-10.248,2c1cb272-82b8-4568-8a0e-2ccf0d0a18f5,-10.248,0.2073,27
5,605,-116.4294,-10.248,-34.2139,-14.7824,2c1cb272-82b8-4568-8a0e-2ccf0d0a18f5,-10.248,0.2073,27
6,587,-116.5782,-4.035,-28.5974,-4.035,1865aeea-d737-4050-a2be-fab7e84d348f,-4.035,0.3408,27
7,600,-152.7427,-4.035,-24.3842,-10.062,1865aeea-d737-4050-a2be-fab7e84d348f,-4.035,0.3408,27
8,580,-119.5531,-4.035,-22.2733,-9.9906,1865aeea-d737-4050-a2be-fab7e84d348f,-4.035,0.3408,27
9,601,-120.022,-3.983,-20.0629,-3.983,0d8a3969-af9a-4c68-84bf-d3c8fdbd372e,-3.983,0.3204,28
10,585,-125.8369,-3.983,-19.5989,-4.0304,0d8a3969-af9a-4c68-84bf-d3c8fdbd372e,-3.983,0.3204,28
11,454,-137.3799,-3.983,-30.5774,-4.1234,0d8a3969-af9a-4c68-84bf-d3c8fdbd372e,-3.983,0.3204,28
12,575,-126.6978,-3.9565,-19.2353,-3.9565,5bb580f0-3b29-4422-9621-31dc1cf60fce,-3.9565,0.2195,28
13,615,-120.0033,-3.9565,-15.3799,-4.0196,5bb580f0-3b29-4422-9621-31dc1cf60fce,-3.9565,0.2195,28
14,589,-123.2685,-3.8845,-17.05,-3.8845,8011669b-0f9e-4fc5-9890-47b905146c3b,-3.8845,0.0643,27
15,594,-164.2447,-2.4016,-14.6231,-2.4016,55d6bbfa-8c1b-45dc-9b9a-de6cbce1a1b7,-2.4016,1.2874,26
16,419,-160.6494,-2.0712,-30.0933,-2.0712,42025c92-3814-4e8d-8222-57b5dd2db85f,-2.0712,0.7216,28
17,573,-153.0348,-2.0712,-12.4375,-2.1947,42025c92-3814-4e8d-8222-57b5dd2db85f,-2.0712,0.7216,28
18,573,-143.02,-1.8481,-11.3913,-1.8481,41bd864e-0b81-4d0e-8a70-51af3386a826,-1.8481,1.0244,25
19,588,-139.3141,-1.5577,-10.1783,-1.5577,f6eff902-a5f0-4ecf-af29-8df76d953e3b,-1.5577,0.8387,26
20,597,-182.5552,-1.5577,-11.0342,-1.7362,f6eff902-a5f0-4ecf-af29-8df76d953e3b,-1.5577,0.8387,26
21,414,-184.9932,4.9248,-27.3316,4.9248,8b287394-e53e-42c5-8404-aad93b9357d5,4.9248,4.0861,24
22,579,-158.5309,4.9248,-11.499,-1.1112,8b287394-e53e-42c5-8404-aad93b9357d5,4.9248,4.0861,24
23,583,-145.8613,4.9248,-10.3857,3.3671,8b287394-e53e-42c5-8404-aad93b9357d5,4.9248,4.0861,24
24,565,-163.2491,4.9248,-10.2454,2.9898,8b287394-e53e-42c5-8404-aad93b9357d5,4.9248,4.0861,24
25,556,-141.8187,4.9248,-11.6216,3.3123,8b287394-e53e-42c5-8404-aad93b9357d5,4.9248,4.0861,24
26,354,-173.8113,4.9248,-33.0433,3.6148,8b287394-e53e-42c5-8404-aad93b9357d5,4.9248,4.0861,24
27,568,-130.8154,4.9248,-10.2759,4.774,8b287394-e53e-42c5-8404-aad93b9357d5,4.9248,4.0861,24
28,571,-168.0178,8.5068,-9.3596,8.5068,22247786-96e6-4c3e-9af8-f2f240e1f7f7,8.5068,2.2433,25
29,580,-146.0143,9.2083,-8.2329,9.2083,18223569-c34e-4b8f-bcbc-a9174920362b,9.2083,5.3661,24
30,560,-142.8201,9.2083,-7.3307,5.321,18223569-c34e-4b8f-bcbc-a9174920362b,9.2083,5.3661,24
31,374,-134.9975,9.2083,-24.5751,9.0217,18223569-c34e-4b8f-bcbc-a9174920362b,9.2083,5.3661,24
32,578,-138.7394,9.2083,-2.498,4.9942,18223569-c34e-4b8f-bcbc-a9174920362b,9.2083,5.3661,24
33,573,-146.9764,9.2083,-3.389,7.9921,18223569-c34e-4b8f-bcbc-a9174920362b,9.2083,5.3661,24
34,584,-173.9058,9.2083,-2.1479,7.5217,18223569-c34e-4b8f-bcbc-a9174920362b,9.2083,5.3661,24
35,585,-125.3507,9.2083,-2.6055,8.5583,18223569-c34e-4b8f-bcbc-a9174920362b,9.2083,5.3661,24
36,394,-180.9397,9.2083,-24.3638,5.9247,18223569-c34e-4b8f-bcbc-a9174920362b,9.2083,5.3661,24
37,561,-171.7173,10.2305,-4.988,10.2305,78971a6d-40e8-4165-bad4-e14690b6f515,10.2305,4.8054,25
38,590,-144.0302,10.2305,-3.2934,9.7006,78971a6d-40e8-4165-bad4-e14690b6f515,10.2305,4.8054,25
39,580,-127.0461,10.2305,-4.1923,9.0959,78971a6d-40e8-4165-bad4-e14690b6f515,10.2305,4.8054,25
40,557,-142.1073,10.2305,-5.7879,9.1141,78971a6d-40e8-4165-bad4-e14690b6f515,10.2305,4.8054,25
41,415,-153.7155,10.2305,-22.4685,9.286,78971a6d-40e8-4165-bad4-e14690b6f515,10.2305,4.8054,25
42,575,-127.0671,11.4662,-3.2331,11.4662,b64de967-0109-459e-837c-d437bdb31b57,11.4662,6.6725,26
43,551,-122.355,11.4662,-4.7254,9.7578,b64de967-0109-459e-837c-d437bdb31b57,11.4662,6.6725,26
44,568,-117.7764,11.4662,-4.2336,9.9186,b64de967-0109-459e-837c-d437bdb31b57,11.4662,6.6725,26
45,553,-176.7007,11.4662,-6.414,10.981,b64de967-0109-459e-837c-d437bdb31b57,11.4662,6.6725,26
46,412,-127.3523,11.4662,-18.0487,9.2322,b64de967-0109-459e-837c-d437bdb31b57,11.4662,6.6725,26
47,558,-116.4835,11.4662,-6.1006,10.5691,b64de967-0109-459e-837c-d437bdb31b57,11.4662,6.6725,26
48,531,-132.4373,11.4672,-5.9219,11.4672,702114fa-d803-4b13-902b-def6bfa828c1,11.4672,3.2175,24
49,539,-165.8297,11.4672,-6.4597,9.6706,702114fa-d803-4b13-902b-def6bfa828c1,11.4672,3.2175,24
50,582,-126.5729,11.4672,-2.6218,9.3125,702114fa-d803-4b13-902b-def6bfa828c1,11.4672,3.2175,24
51,444,-144.1333,11.4672,-18.618,8.8867,702114fa-d803-4b13-902b-def6bfa828c1,11.4672,3.2175,24
