gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-act-inst
0,352,-231.1276,-29.2292,-117.3747,-29.2292,9598fb8b-bd41-4074-914c-9998a6472cc2,-29.2292,3.1978,29
1,140,-179.5897,-18.0037,-104.3456,-18.0037,6a767fe2-5633-44a4-a763-332a8b79bd76,-18.0037,11.6048,29
2,217,-150.5434,-18.0037,-95.8596,-21.6004,6a767fe2-5633-44a4-a763-332a8b79bd76,-18.0037,11.6048,29
3,262,-145.8798,-13.0419,-86.5901,-13.0419,f86fa4c7-1d09-4d46-bb6d-556a7ab5b98c,-13.0419,1.1584,30
4,340,-122.3173,-13.0419,-75.8983,-13.9388,f86fa4c7-1d09-4d46-bb6d-556a7ab5b98c,-13.0419,1.1584,30
5,517,-135.4905,-11.6189,-62.5437,-11.6189,ea42d3ef-c5d8-4cf0-95bf-09e5d336fe48,-11.6189,1.819,23
6,527,-121.3599,-11.6189,-51.3947,-13.0101,ea42d3ef-c5d8-4cf0-95bf-09e5d336fe48,-11.6189,1.819,23
7,568,-124.7111,-9.2949,-39.2789,-9.2949,75a9e9b4-2187-4506-8152-cec49f1f9980,-9.2949,18.9017,29
8,563,-138.0912,-9.2949,-33.5293,-11.7055,75a9e9b4-2187-4506-8152-cec49f1f9980,-9.2949,18.9017,29
9,526,-120.8882,-0.2075,-30.0121,-0.2075,ab31f490-13b2-474e-8853-87445f340bcb,-0.2075,13.4641,29
10,563,-120.3322,0.802,-22.4666,0.802,33386631-8840-4834-b12d-6df96844b168,0.802,8.187,29
11,400,-166.2973,11.8265,-35.5762,11.8265,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
12,613,-114.6934,11.8265,-16.5367,8.4053,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
13,579,-127.669,11.8265,-19.4609,-4.1528,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
14,593,-144.9995,11.8265,-16.4552,1.9394,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
15,588,-134.3977,11.8265,-16.4605,2.4797,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
16,470,-121.671,11.8265,-26.3716,2.938,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
17,575,-122.0274,11.8265,-16.269,7.6982,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
18,587,-122.6412,11.8265,-14.9172,3.7422,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
19,558,-124.9497,11.8265,-16.1693,7.0816,e0a38bb3-19cd-4e8c-8d5f-13c6d535f861,11.8265,9.8938,27
