gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-act-inst
0,382,-224.4286,-7.6013,-114.4091,-7.6013,92b64d37-0cf5-431f-85b7-4415343349f3,-7.6013,1.3991,24
1,142,-147.5737,-6.7725,-102.3502,-6.7725,570659c7-3c12-4626-be31-2b295f0b287b,-6.7725,0.1446,24
2,213,-132.0721,-6.7725,-93.6749,-7.4812,570659c7-3c12-4626-be31-2b295f0b287b,-6.7725,0.1446,24
3,255,-123.2635,-6.6827,-86.5166,-6.6827,b80d91f0-d3ec-42fb-925c-43808886abcd,-6.6827,0.1683,24
4,340,-134.99,-6.5407,-78.6555,-6.5407,606d4ff7-4bb0-4bb4-be92-e47c8443a498,-6.5407,0.2052,24
5,483,-124.6828,-6.5407,-64.7783,-6.6082,606d4ff7-4bb0-4bb4-be92-e47c8443a498,-6.5407,0.2052,24
6,504,-126.1754,0.7605,-53.9166,0.7605,3e14c721-c710-4d41-86f7-5a4ee7e65b9d,0.7605,0.2087,25
7,543,-123.3106,0.7605,-41.8431,-6.5339,3e14c721-c710-4d41-86f7-5a4ee7e65b9d,0.7605,0.2087,25
8,564,-128.5726,0.7605,-25.0698,0.346,3e14c721-c710-4d41-86f7-5a4ee7e65b9d,0.7605,0.2087,25
9,592,-115.8391,3.3992,-12.3529,3.3992,d6a3cd35-dde8-4bcb-8926-8c17c3dca908,3.3992,0.1255,25
10,594,-127.0092,3.3992,-9.9513,0.6277,d6a3cd35-dde8-4bcb-8926-8c17c3dca908,3.3992,0.1255,25
11,493,-123.2321,3.3992,-19.8969,1.8943,d6a3cd35-dde8-4bcb-8926-8c17c3dca908,3.3992,0.1255,25
12,600,-116.6071,3.3992,-9.2799,1.5896,d6a3cd35-dde8-4bcb-8926-8c17c3dca908,3.3992,0.1255,25
13,617,-115.3386,3.3992,-5.6433,3.3575,d6a3cd35-dde8-4bcb-8926-8c17c3dca908,3.3992,0.1255,25
14,605,-115.4903,3.3992,-4.0934,1.9698,d6a3cd35-dde8-4bcb-8926-8c17c3dca908,3.3992,0.1255,25
15,603,-113.414,3.4024,-4.0372,3.4024,388790d6-093b-44bc-b637-c33dd93ffe96,3.4024,0.1746,25
16,494,-124.5619,6.6479,-15.3661,6.6479,5321b5ff-8343-4812-a281-38115cfcf4cd,6.6479,0.1385,26
17,609,-116.8522,6.7968,-5.4165,6.7968,8cafbc69-0772-45e9-9edc-da7c8e848e72,6.7968,0.0739,26
18,604,-110.2925,6.7968,-2.7009,6.7306,8cafbc69-0772-45e9-9edc-da7c8e848e72,6.7968,0.0739,26
19,610,-116.3464,6.7968,-1.644,6.75,8cafbc69-0772-45e9-9edc-da7c8e848e72,6.7968,0.0739,26
20,587,-114.1227,6.7968,-2.1553,6.7414,8cafbc69-0772-45e9-9edc-da7c8e848e72,6.7968,0.0739,26
21,429,-118.456,6.7968,-18.5829,6.7716,8cafbc69-0772-45e9-9edc-da7c8e848e72,6.7968,0.0739,26
22,610,-112.6959,7.1163,-1.7412,7.1163,6eb46b99-b719-49d7-99da-dbe1c0546109,7.1163,0.0965,25
23,583,-122.9575,8.1357,-1.8927,8.1357,c2f83fbd-f2c2-4e3f-8b01-83ee90a892a5,8.1357,1.2057,26
24,566,-112.6442,8.1357,-0.9305,7.0357,c2f83fbd-f2c2-4e3f-8b01-83ee90a892a5,8.1357,1.2057,26
25,587,-114.1959,8.1357,1.6224,7.3498,c2f83fbd-f2c2-4e3f-8b01-83ee90a892a5,8.1357,1.2057,26
26,396,-118.1867,8.1357,-17.3831,7.5282,c2f83fbd-f2c2-4e3f-8b01-83ee90a892a5,8.1357,1.2057,26
27,562,-112.5251,8.5961,0.5794,8.5961,0906bc45-387a-47b2-8844-3883951bf533,8.5961,0.8697,26
28,591,-117.6216,8.5961,0.6921,7.6143,0906bc45-387a-47b2-8844-3883951bf533,8.5961,0.8697,26
29,546,-113.7388,8.5961,-0.9003,7.9959,0906bc45-387a-47b2-8844-3883951bf533,8.5961,0.8697,26
30,548,-118.7732,8.5961,-0.0966,7.869,0906bc45-387a-47b2-8844-3883951bf533,8.5961,0.8697,26
31,404,-133.1334,8.5961,-18.9145,8.5805,0906bc45-387a-47b2-8844-3883951bf533,8.5961,0.8697,26
32,561,-118.0308,8.8547,-0.231,8.8547,2b6e0ed4-43b5-469e-ae0b-47531130808e,8.8547,1.224,25
33,604,-120.4909,8.8547,4.0183,8.8156,2b6e0ed4-43b5-469e-ae0b-47531130808e,8.8547,1.224,25
34,594,-116.2773,8.8547,3.513,8.5895,2b6e0ed4-43b5-469e-ae0b-47531130808e,8.8547,1.224,25
35,569,-119.169,8.8547,0.1516,8.8114,2b6e0ed4-43b5-469e-ae0b-47531130808e,8.8547,1.224,25
36,506,-127.909,23.4088,-11.3274,23.4088,a5b5e2b5-fb70-4df3-8cf7-7b603a0fad6c,23.4088,10.842,26
37,619,-120.6516,29.3703,4.3467,29.3703,7b88d2ec-3380-4041-a6fb-d4a082246c38,29.3703,11.1797,26
38,603,-120.2325,29.3703,-0.0599,8.6955,7b88d2ec-3380-4041-a6fb-d4a082246c38,29.3703,11.1797,26
