gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-act-inst
0,330,-204.0489,-13.0436,-115.0153,-13.0436,1f17854a-8f38-428b-9d9d-74decc6b9c30,-13.0436,1.4003,11
1,152,-144.1857,-13.0436,-103.4035,-35.8167,1f17854a-8f38-428b-9d9d-74decc6b9c30,-13.0436,1.4003,11
2,164,-142.8,-12.8102,-96.414,-12.8102,fa23188f-69a6-4d87-aca8-31a16c11aebd,-12.8102,1.4394,18
3,264,-132.1344,-12.4568,-88.3176,-12.4568,62437f5c-bf5e-4559-9e1c-acfed3c21bb0,-12.4568,0.9875,11
4,240,-131.5808,-10.797,-81.9383,-10.797,78b43078-7e05-4d2f-ba09-168fc5b0ec68,-10.797,2.1834,11
5,393,-163.1595,-10.797,-70.6883,-11.4805,78b43078-7e05-4d2f-ba09-168fc5b0ec68,-10.797,2.1834,11
6,534,-127.5391,23.4635,-53.784,23.4635,846ae50e-0e45-4d66-a242-ef0c9cf8c250,23.4635,13.5911,121
7,588,-122.1229,40.8527,-33.083,40.8527,3a938599-c6b5-4c92-83ca-8da6a8e4368b,40.8527,11.3967,121
8,570,-141.1504,41.9076,-23.3915,41.9076,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
9,584,-123.8141,41.9076,-16.415,4.4715,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
10,612,-120.781,41.9076,-15.3721,9.511,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
11,496,-172.9321,41.9076,-27.1724,3.862,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
12,597,-121.1492,41.9076,-16.0966,12.2108,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
13,580,-123.2283,41.9076,-16.7401,40.2346,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
14,576,-130.9229,41.9076,-15.5035,37.6206,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
15,572,-155.2978,41.9076,-14.5458,39.4773,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
16,493,-175.4235,41.9076,-24.0547,13.1221,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
17,594,-122.9626,41.9076,-8.7476,27.4378,251eb674-3478-4f72-9d37-d12914952e9f,41.9076,9.3562,121
18,602,-122.448,45.879,-0.6519,45.879,64175a9c-016c-412b-987c-0d2d683c1e3e,45.879,11.7335,123
19,611,-140.902,51.2535,0.5566,51.2535,d0c0396c-6022-4d7f-ac48-efa6f0b98ffb,51.2535,12.772,122
20,563,-152.8179,51.2535,-1.2904,44.141,d0c0396c-6022-4d7f-ac48-efa6f0b98ffb,51.2535,12.772,122
21,442,-149.9848,51.2535,-17.6919,44.9122,d0c0396c-6022-4d7f-ac48-efa6f0b98ffb,51.2535,12.772,122
22,577,-170.6137,51.2535,3.2632,40.9327,d0c0396c-6022-4d7f-ac48-efa6f0b98ffb,51.2535,12.772,122
23,553,-130.5269,51.2535,3.7829,46.5808,d0c0396c-6022-4d7f-ac48-efa6f0b98ffb,51.2535,12.772,122
24,534,-188.6292,51.2535,4.1353,47.2441,d0c0396c-6022-4d7f-ac48-efa6f0b98ffb,51.2535,12.772,122
25,555,-136.4834,51.2535,11.2031,49.8776,d0c0396c-6022-4d7f-ac48-efa6f0b98ffb,51.2535,12.772,122
26,426,-141.5548,51.2535,-13.9216,40.9779,d0c0396c-6022-4d7f-ac48-efa6f0b98ffb,51.2535,12.772,122
27,530,-167.4888,51.6448,12.0788,51.6448,6c681302-34ef-4679-b6b0-72e76a688aa9,51.6448,4.1492,121
28,518,-124.9269,53.879,15.4064,53.879,0ecab6b7-ea40-4d64-8306-e4c7a1293dea,53.879,10.2354,121
29,514,-124.2461,54.1186,15.0268,54.1186,4327915e-2890-48e1-8bea-4433af2a338d,54.1186,7.3517,120
30,548,-149.4291,55.6528,22.1003,55.6528,983d39a6-9653-4e1a-90c0-7b641c4c3374,55.6528,9.8419,124
31,436,-180.1946,57.0913,-8.0776,57.0913,4c483ec7-7ca0-4c20-8bab-297bce7ad397,57.0913,13.7274,120
32,544,-132.061,59.4339,21.793,59.4339,c7078375-3a66-485e-8cf1-c2e68a8632d6,59.4339,8.4061,121
33,544,-128.5937,65.4668,24.0305,65.4668,ddaba0b6-7802-4c3f-a284-df1c639880b8,65.4668,12.0204,122
34,554,-155.8086,65.4668,24.3052,58.8132,ddaba0b6-7802-4c3f-a284-df1c639880b8,65.4668,12.0204,122
35,549,-138.5878,68.3692,27.1111,68.3692,aeae886f-674c-4c98-b8c5-fd9c97a43f12,68.3692,6.3278,122
36,403,-145.2084,68.3692,-1.9027,63.6694,aeae886f-674c-4c98-b8c5-fd9c97a43f12,68.3692,6.3278,122
37,546,-142.2717,69.3652,29.9261,69.3652,11267aea-9cec-4622-ae16-c9bf9d9b5838,69.3652,4.1637,122
38,549,-158.5838,69.3652,31.4442,65.5722,11267aea-9cec-4622-ae16-c9bf9d9b5838,69.3652,4.1637,122
39,554,-152.9696,69.3652,31.8955,69.3062,11267aea-9cec-4622-ae16-c9bf9d9b5838,69.3652,4.1637,122
40,558,-134.3084,71.624,37.1093,71.624,44a32007-2cd7-4823-b7e9-268dc7387552,71.624,10.525,122
41,432,-165.0882,71.624,5.8688,70.0888,44a32007-2cd7-4823-b7e9-268dc7387552,71.624,10.525,122
42,556,-138.4409,72.6435,39.0406,72.6435,46f37208-1e1b-4b0d-ae24-ab5d2c79e558,72.6435,6.141,122
43,592,-137.5968,77.6289,42.793,77.6289,8550455d-c13d-4237-8be0-8222865e8230,77.6289,4.7192,122
44,568,-119.542,77.6289,45.7046,76.772,8550455d-c13d-4237-8be0-8222865e8230,77.6289,4.7192,122
45,590,-118.4616,81.8066,50.2785,81.8066,3932fc2a-e31c-42d2-8acd-5e1451d1ef8f,81.8066,6.5321,122
46,422,-134.2808,81.8066,14.8941,77.0559,3932fc2a-e31c-42d2-8acd-5e1451d1ef8f,81.8066,6.5321,122
47,564,-132.1503,81.8066,50.3713,76.9044,3932fc2a-e31c-42d2-8acd-5e1451d1ef8f,81.8066,6.5321,122
48,566,-141.1959,81.8066,51.2835,77.8566,3932fc2a-e31c-42d2-8acd-5e1451d1ef8f,81.8066,6.5321,122
49,558,-136.5659,81.8066,52.2807,79.0592,3932fc2a-e31c-42d2-8acd-5e1451d1ef8f,81.8066,6.5321,122
50,591,-136.1687,81.8066,55.3983,81.5585,3932fc2a-e31c-42d2-8acd-5e1451d1ef8f,81.8066,6.5321,122
51,424,-156.1947,81.8066,14.9571,81.2519,3932fc2a-e31c-42d2-8acd-5e1451d1ef8f,81.8066,6.5321,122
52,566,-163.6841,81.8066,54.6874,78.4798,3932fc2a-e31c-42d2-8acd-5e1451d1ef8f,81.8066,6.5321,122
53,585,-130.11,83.6513,53.7807,83.6513,670aa0c4-1fa3-4b83-9a1a-7b4cfbe088a1,83.6513,12.9913,121
54,555,-125.6426,83.6513,52.9025,81.5044,670aa0c4-1fa3-4b83-9a1a-7b4cfbe088a1,83.6513,12.9913,121
55,578,-136.0229,86.3449,52.1731,86.3449,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
56,430,-154.2242,86.3449,14.6176,83.0702,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
57,555,-139.7976,86.3449,52.7765,82.3262,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
58,572,-127.8609,86.3449,55.4493,82.6625,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
59,557,-163.602,86.3449,53.2664,85.7154,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
60,569,-154.5175,86.3449,57.578,85.1414,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
61,464,-162.866,86.3449,22.1833,83.2921,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
62,564,-138.5943,86.3449,56.1414,83.4464,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
63,598,-134.785,86.3449,59.9747,84.4535,596b2b0e-80f7-46b9-9315-0d2ae0364f4b,86.3449,4.7849,120
64,558,-133.3677,87.8463,56.355,87.8463,227d61d4-3890-4cdb-bb21-36a884848d65,87.8463,3.6282,120
65,575,-144.3841,87.8463,60.3714,86.4492,227d61d4-3890-4cdb-bb21-36a884848d65,87.8463,3.6282,120
66,467,-171.1963,87.8463,31.3215,86.9728,227d61d4-3890-4cdb-bb21-36a884848d65,87.8463,3.6282,120
67,564,-128.5932,87.8463,59.261,87.3672,227d61d4-3890-4cdb-bb21-36a884848d65,87.8463,3.6282,120
68,564,-135.1744,87.8463,55.4519,84.124,227d61d4-3890-4cdb-bb21-36a884848d65,87.8463,3.6282,120
69,591,-120.0782,87.8463,63.4903,84.3718,227d61d4-3890-4cdb-bb21-36a884848d65,87.8463,3.6282,120
70,552,-139.6166,89.6336,61.308,89.6336,52078058-f0d6-4596-b650-6d04c1bdbdab,89.6336,6.4044,120
71,429,-133.8855,89.6336,23.2766,85.1594,52078058-f0d6-4596-b650-6d04c1bdbdab,89.6336,6.4044,120
72,579,-142.0,91.0027,58.7897,91.0027,9813551c-1ebb-4a8c-a685-22f9abe36f81,91.0027,9.3328,120
73,568,-133.5488,94.6146,62.2367,94.6146,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
74,563,-138.4176,94.6146,61.0549,88.5876,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
75,547,-133.6236,94.6146,61.405,89.2312,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
76,433,-147.7027,94.6146,21.8709,86.7303,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
77,580,-125.7127,94.6146,63.963,90.0894,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
78,556,-130.5206,94.6146,62.2971,91.8665,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
79,578,-136.449,94.6146,64.418,90.2143,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
80,565,-128.7682,94.6146,62.9783,90.547,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
81,457,-179.615,94.6146,30.1702,89.4223,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
82,569,-128.2292,94.6146,62.5113,88.6186,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
83,546,-147.3182,94.6146,57.3273,90.1384,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
84,556,-149.2561,94.6146,62.4042,91.367,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
85,540,-126.1307,94.6146,63.457,90.3347,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
86,417,-136.4316,94.6146,29.0185,84.8332,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
87,561,-146.4495,94.6146,61.618,91.945,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
88,553,-143.5095,94.6146,63.5555,89.8093,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
89,554,-126.6792,94.6146,60.926,89.708,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
90,553,-165.6371,94.6146,64.6319,92.7034,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
91,426,-153.4513,94.6146,25.5488,86.6759,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
92,556,-123.2552,94.6146,64.454,89.109,b54e19e8-e037-4283-8a60-835f1a350fdb,94.6146,7.4979,120
93,536,-126.44,96.0746,60.9643,96.0746,71d9b6bb-a899-4941-a915-66ab6bad5638,96.0746,7.5658,120
94,577,-132.6921,97.4879,68.6334,97.4879,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
95,567,-135.9101,97.4879,69.7446,92.3416,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
96,415,-190.4186,97.4879,25.5294,87.4313,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
97,562,-133.8724,97.4879,65.8845,89.8229,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
98,554,-142.5918,97.4879,64.3661,93.8368,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
99,593,-138.0159,97.4879,66.2708,91.4769,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
100,549,-178.6231,97.4879,65.4829,88.5359,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
101,407,-167.3733,97.4879,24.0054,88.2598,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
102,584,-123.8616,97.4879,66.442,94.0793,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
103,580,-131.1251,97.4879,67.2738,93.2604,caa63991-054d-48b1-bc56-88a7c8f2b9bd,97.4879,2.6534,120
