gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-act-inst
0,363,-195.0499,-14.9127,-113.7674,-14.9127,241b0e1d-7387-4e92-a192-b70c5083d28d,-14.9127,0.4683,11
1,203,-148.2459,-14.9127,-101.6536,-39.6026,241b0e1d-7387-4e92-a192-b70c5083d28d,-14.9127,0.4683,11
2,245,-146.8812,-14.7735,-91.7841,-14.7735,70f3e541-3822-48cb-9cca-23950adba39e,-14.7735,0.101,11
3,308,-132.736,-14.5997,-81.8954,-14.5997,bcd825e3-f385-4ff6-86d1-615ad1adddaf,-14.5997,0.18,10
4,488,-164.0566,-14.5581,-70.2388,-14.5581,b389b95e-ad20-44a2-a4f8-f6dc33d6747f,-14.5581,0.3888,10
5,578,-128.9782,-14.5581,-55.2661,-14.6085,b389b95e-ad20-44a2-a4f8-f6dc33d6747f,-14.5581,0.3888,10
6,590,-121.4704,-14.5581,-42.3622,-14.5658,b389b95e-ad20-44a2-a4f8-f6dc33d6747f,-14.5581,0.3888,10
7,596,-123.6109,-14.5581,-37.9941,-14.5812,b389b95e-ad20-44a2-a4f8-f6dc33d6747f,-14.5581,0.3888,10
8,607,-119.9926,-14.475,-33.3074,-14.475,0aca8276-2037-49d8-9267-baa9449753f4,-14.475,0.558,11
9,623,-122.693,-14.3025,-25.4445,-14.3025,885b1d56-c53a-42ca-aee4-9a1adc6964e6,-14.3025,0.4932,11
10,613,-111.9792,-1.217,-17.25,-1.217,6fa5cb04-240e-4da0-b536-5d452b3bb87a,-1.217,6.6222,11
11,473,-127.3479,-1.217,-30.0751,-2.6427,6fa5cb04-240e-4da0-b536-5d452b3bb87a,-1.217,6.6222,11
12,568,-118.7122,-1.217,-19.4818,-8.2138,6fa5cb04-240e-4da0-b536-5d452b3bb87a,-1.217,6.6222,11
13,585,-118.9939,-0.8509,-17.7532,-0.8509,68f262c1-49b9-4bad-9e0c-bb0c68dcb50a,-0.8509,0.4944,9
14,625,-119.5973,-0.8509,-17.3713,-0.8727,68f262c1-49b9-4bad-9e0c-bb0c68dcb50a,-0.8509,0.4944,9
15,591,-162.5826,-0.1462,-18.7468,-0.1462,b12218dd-9aab-4a5c-aca4-76e7640ec5e9,-0.1462,0.2169,9
16,454,-123.1752,-0.1462,-29.9935,-0.8852,b12218dd-9aab-4a5c-aca4-76e7640ec5e9,-0.1462,0.2169,9
17,591,-117.6723,-0.0746,-18.1179,-0.0746,bc536b17-fea3-414d-9f02-c840a7c73ac4,-0.0746,0.693,8
18,586,-115.3737,-0.0746,-17.7844,-0.3131,bc536b17-fea3-414d-9f02-c840a7c73ac4,-0.0746,0.693,8
19,564,-119.2382,0.839,-15.8001,0.839,3c706138-f1c1-494b-8229-c62f500c7f12,0.839,0.7924,7
20,594,-159.1147,0.839,-12.4776,0.5842,3c706138-f1c1-494b-8229-c62f500c7f12,0.839,0.7924,7
21,459,-123.2383,3.2483,-22.1166,3.2483,d45a9c8c-728f-4c13-91d9-c088a6ab19b0,3.2483,4.5214,10
22,608,-115.1557,3.2483,-6.0497,1.2113,d45a9c8c-728f-4c13-91d9-c088a6ab19b0,3.2483,4.5214,10
23,618,-116.6766,6.4333,-4.134,6.4333,3a4e2bc0-da75-478f-8a5e-759b09414b94,6.4333,4.2933,10
24,614,-114.1759,6.4333,-4.2276,5.1974,3a4e2bc0-da75-478f-8a5e-759b09414b94,6.4333,4.2933,10
25,564,-119.3485,6.4333,-7.9805,5.9083,3a4e2bc0-da75-478f-8a5e-759b09414b94,6.4333,4.2933,10
26,458,-123.3453,8.1151,-19.2601,8.1151,d3e408b1-df4f-4a9a-936a-2e488a695863,8.1151,2.2164,11
27,601,-118.4679,8.1151,-4.5012,7.8262,d3e408b1-df4f-4a9a-936a-2e488a695863,8.1151,2.2164,11
28,596,-128.9367,8.1151,-5.0199,7.3826,d3e408b1-df4f-4a9a-936a-2e488a695863,8.1151,2.2164,11
29,612,-121.8331,8.1151,-3.5101,7.4737,d3e408b1-df4f-4a9a-936a-2e488a695863,8.1151,2.2164,11
30,598,-117.0518,8.7792,-1.0132,8.7792,29f77d89-4d11-48bf-ba5d-2a642a6dc713,8.7792,2.9158,9
31,479,-120.9966,8.7792,-13.712,8.2436,29f77d89-4d11-48bf-ba5d-2a642a6dc713,8.7792,2.9158,9
32,615,-114.2028,8.7792,-0.4738,8.5618,29f77d89-4d11-48bf-ba5d-2a642a6dc713,8.7792,2.9158,9
33,602,-109.4611,9.105,-0.2032,9.105,20c400b6-95f4-4e55-8e80-cf818bbfdba5,9.105,2.3593,10
34,618,-110.6421,9.105,0.4351,8.9735,20c400b6-95f4-4e55-8e80-cf818bbfdba5,9.105,2.3593,10
35,603,-119.4547,10.9947,0.7807,10.9947,c3af768e-5407-4b45-b959-2a70747cc98b,10.9947,3.2207,10
36,496,-117.5165,10.9947,-11.4422,8.8565,c3af768e-5407-4b45-b959-2a70747cc98b,10.9947,3.2207,10
37,601,-122.1201,10.9947,-0.1423,10.6822,c3af768e-5407-4b45-b959-2a70747cc98b,10.9947,3.2207,10
38,634,-107.3876,10.9947,0.9973,8.6831,c3af768e-5407-4b45-b959-2a70747cc98b,10.9947,3.2207,10
39,634,-126.7725,10.9947,0.9435,9.136,c3af768e-5407-4b45-b959-2a70747cc98b,10.9947,3.2207,10
40,641,-117.6147,10.9947,1.7465,9.6431,c3af768e-5407-4b45-b959-2a70747cc98b,10.9947,3.2207,10
41,511,-159.0083,10.9947,-11.3852,10.2952,c3af768e-5407-4b45-b959-2a70747cc98b,10.9947,3.2207,10
42,626,-113.8657,11.1645,1.8698,11.1645,559a533f-8c74-4579-ad17-29430b3099f5,11.1645,1.7271,10
43,628,-148.2248,11.1645,2.163,10.6231,559a533f-8c74-4579-ad17-29430b3099f5,11.1645,1.7271,10
44,604,-121.9497,11.7272,0.735,11.7272,510ba178-18df-4db1-be3a-dd57b44befab,11.7272,2.0597,13
45,610,-118.5522,11.7272,0.7538,10.4652,510ba178-18df-4db1-be3a-dd57b44befab,11.7272,2.0597,13
46,508,-123.8842,12.0553,-11.3869,12.0553,934d2ee2-0752-4523-bcd7-e5e064a814d0,12.0553,1.3841,13
47,650,-108.0123,13.5239,4.4926,13.5239,63b9b5fd-7777-43eb-8fd5-10856a8fb3a0,13.5239,1.7874,13
48,639,-96.2085,13.5239,3.039,11.6953,63b9b5fd-7777-43eb-8fd5-10856a8fb3a0,13.5239,1.7874,13
49,635,-114.3191,13.5239,4.2791,13.273,63b9b5fd-7777-43eb-8fd5-10856a8fb3a0,13.5239,1.7874,13
50,638,-119.7481,13.5239,3.6499,12.9878,63b9b5fd-7777-43eb-8fd5-10856a8fb3a0,13.5239,1.7874,13
51,511,-163.0122,13.5239,-9.2426,12.2143,63b9b5fd-7777-43eb-8fd5-10856a8fb3a0,13.5239,1.7874,13
52,637,-114.2339,13.7838,4.1479,13.7838,9663fec5-f45b-484e-88fa-7ca3c68b5020,13.7838,5.1128,11
53,632,-116.3358,13.7838,5.3662,13.4379,9663fec5-f45b-484e-88fa-7ca3c68b5020,13.7838,5.1128,11
54,617,-122.7296,13.7838,4.1003,12.9316,9663fec5-f45b-484e-88fa-7ca3c68b5020,13.7838,5.1128,11
55,616,-122.0895,14.1372,4.048,14.1372,cb50d2d9-7c31-4bb5-a1c2-1f1621f8e595,14.1372,7.8589,11
