gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-act-inst
0,334,-218.4072,-2.4649,-115.4443,-2.4649,036a27ed-4441-4743-b945-5b054bd2de63,-2.4649,0.916,53
1,133,-138.7135,-2.4649,-102.9437,-2.602,036a27ed-4441-4743-b945-5b054bd2de63,-2.4649,0.916,53
2,193,-147.6346,-2.2605,-94.822,-2.2605,5571b628-1ffe-45df-bac0-be8ddd6f84c8,-2.2605,0.8714,54
3,249,-127.7389,-2.2605,-86.1413,-2.5982,5571b628-1ffe-45df-bac0-be8ddd6f84c8,-2.2605,0.8714,54
4,340,-138.0688,-1.8716,-79.0361,-1.8716,84174316-19ee-4a01-a7f2-d9f9bcb3b58f,-1.8716,0.772,55
5,528,-139.1135,-1.8716,-65.0693,-2.3677,84174316-19ee-4a01-a7f2-d9f9bcb3b58f,-1.8716,0.772,55
6,577,-119.2351,-1.822,-47.1989,-1.822,1876a07e-b695-44b8-8cf3-c86df60a5786,-1.822,0.6753,54
7,606,-114.9979,-1.7564,-30.8273,-1.7564,f9cde1cd-b094-443b-a378-4cee509b79ea,-1.7564,0.7643,55
8,596,-116.6823,-1.5122,-22.1051,-1.5122,7905cd79-871e-49e5-82a4-32f01b62a7f2,-1.5122,0.137,55
9,596,-113.8246,-1.5122,-12.0219,-1.6427,7905cd79-871e-49e5-82a4-32f01b62a7f2,-1.5122,0.137,55
10,589,-117.5651,7.2183,-5.6767,7.2183,818952c3-7d40-47d4-ab54-84539f3f1642,7.2183,0.0774,52
11,487,-122.0092,34.0141,-17.6517,34.0141,c4678b9d-a47c-4a0b-be2d-8e0cebc47f8a,34.0141,17.3549,55
12,593,-130.5074,39.8089,-5.9255,39.8089,a26ef039-e5e4-4a53-8497-5a0dc19639df,39.8089,4.139,56
13,620,-113.934,41.3189,-4.7569,41.3189,7b58e6d6-7da6-490c-b25c-64adde63531c,41.3189,2.3038,55
14,591,-116.1379,41.3189,-4.5363,15.3026,7b58e6d6-7da6-490c-b25c-64adde63531c,41.3189,2.3038,55
15,567,-117.9574,41.9738,-5.0415,41.9738,066a126c-4471-4971-89c0-6a8e453d6323,41.9738,6.5691,55
16,457,-150.8189,41.9738,-16.5558,39.1606,066a126c-4471-4971-89c0-6a8e453d6323,41.9738,6.5691,55
17,575,-113.1587,43.1801,-0.076,43.1801,e269f7fd-9e20-4742-9b31-eb42a63134f4,43.1801,2.1364,56
18,564,-131.2377,47.2525,2.5207,47.2525,3328d55c-e1ae-4423-acb4-057f23dfca40,47.2525,3.9053,54
19,551,-121.3658,47.2525,10.359,47.2428,3328d55c-e1ae-4423-acb4-057f23dfca40,47.2525,3.9053,54
20,592,-128.4312,58.5439,22.9428,58.5439,f0ad86d5-aa3f-4d46-903e-3a9cf14463ef,58.5439,71.6535,55
21,446,-138.2129,83.0547,8.6259,83.0547,b3e51702-91fd-47c9-a349-ee0439179f95,83.0547,13.5316,53
22,573,-118.6665,83.0547,32.5707,55.3716,b3e51702-91fd-47c9-a349-ee0439179f95,83.0547,13.5316,53
23,575,-119.7615,87.2233,32.4131,87.2233,af31ddb8-64cb-441e-b0d7-af544dd3b90b,87.2233,11.2304,54
24,582,-119.9468,90.1911,33.5969,90.1911,8a87a520-f14e-4195-ad22-3f7a6eab25ae,90.1911,10.0706,55
25,586,-125.4141,93.281,34.3345,93.281,8b0f7191-dcc6-40ac-b551-0e85e58b24a2,93.281,12.5748,56
26,447,-123.8731,98.71,14.92,98.71,9c40b0de-a226-4e95-861f-9304366ecd47,98.71,8.1131,55
27,566,-122.4894,98.71,34.6275,77.9976,9c40b0de-a226-4e95-861f-9304366ecd47,98.71,8.1131,55
28,581,-130.4616,98.71,37.7412,91.9766,9c40b0de-a226-4e95-861f-9304366ecd47,98.71,8.1131,55
29,559,-130.6314,98.71,36.5321,96.3932,9c40b0de-a226-4e95-861f-9304366ecd47,98.71,8.1131,55
30,543,-120.2858,98.71,39.5688,91.8971,9c40b0de-a226-4e95-861f-9304366ecd47,98.71,8.1131,55
31,385,-133.6069,98.71,14.5989,90.9133,9c40b0de-a226-4e95-861f-9304366ecd47,98.71,8.1131,55
