gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners,hh_learners_removed,hh_teams_affected,b_teams,b_learners,b_teams_new,b_learners_new
6794,50.56605362892151,-121.50979016908481,278.409764880068,134.1166033740002, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,273,362,1181,-1,-1,7,589,5,71
6795,50.81942272186279,-158.17193433309657,278.409764880068,145.09264194374956, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,277,363,1188,-1,-1,7,589,5,71
6796,57.99786424636841,-123.40083721721207,278.409764880068,156.8507624871259, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,281,362,1185,-1,-1,6,589,4,71
6797,58.20457339286804,-138.2820185121674,278.409764880068,146.07447020339404, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,280,362,1162,-1,-1,8,589,6,71
6798,38.2587480545044,-152.1895200913229,278.409764880068,87.48662612581434, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,260,364,1287,-1,-1,9,589,7,71
6799,54.66767287254334,-146.51268730880219,278.409764880068,143.00008131398667, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,276,361,1168,-1,-1,5,589,3,71
6800,58.75580286979675,-118.70297308468216,278.409764880068,139.1098344684116, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,278,362,1172,-1,-1,5,589,3,71
6801,62.227742195129395,-116.78964012825749,278.409764880068,145.89993513727669, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,280,361,1174,-1,-1,5,589,3,71
6802,60.89459705352783,-125.19144329676557,278.409764880068,139.16686585855075, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,280,362,1185,-1,-1,10,589,8,71
6803,38.05382704734802,-182.6445316878028,278.409764880068,88.82723841933023, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,266,366,1309,-1,-1,10,589,8,71
6804,57.21456933021546,-161.62058785936094,278.409764880068,142.89256822874427, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,282,361,1165,-1,-1,5,589,3,71
6805,111.14366102218628,-119.25410364308591,278.409764880068,144.03007595941415, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,274,362,1196,-1,-1,7,589,5,71
6806,58.32338380813599,-126.54591605495048,278.409764880068,147.22172288608968, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,271,362,1180,-1,-1,10,589,8,71
6807,55.428773403167725,-142.84012688356282,278.409764880068,147.64233076531673, 0f0db788-d7f0-4a84-9b1c-e8c4c60cf3b0,278.409764880068,10.57863531542464,2,6,167,153,5,274,366,1192,-1,-1,12,589,10,71
