gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,1010,-194.8846,-21.8656,-114.6118,-21.8656,76271cae-899d-492b-80ec-9fb240a92892,-21.8656,12.4882,1,2,195,97,2,360,360,720,0,0,0,0,0,0
1,437,-132.7133,-21.8656,-105.8016,-23.0585,76271cae-899d-492b-80ec-9fb240a92892,-21.8656,12.4882,1,2,195,97,2,360,360,646,0,0,0,0,0,0
2,684,-166.5556,-14.4414,-97.6584,-14.4414,e3f9a10a-147f-405e-bde7-ec9c704f9708,-14.4414,10.4035,1,2,194,96,2,360,360,626,0,0,0,0,0,0
3,857,-158.0133,-14.4414,-87.8944,-20.8224,e3f9a10a-147f-405e-bde7-ec9c704f9708,-14.4414,10.4035,1,2,194,96,2,360,360,654,0,0,0,0,0,0
4,1017,-156.3358,0.9593,-75.1691,0.9593,79a36955-e98e-44e0-8af7-9ddaa4af6a88,0.9593,3.6751,1,2,83,129,2,360,360,646,0,0,0,0,0,0
5,1257,-207.0855,0.9593,-64.1473,-7.6751,79a36955-e98e-44e0-8af7-9ddaa4af6a88,0.9593,3.6751,1,2,83,129,2,360,360,673,0,0,0,0,0,0
6,1272,-188.9741,1.6993,-55.5138,1.6993,0837a20d-5a92-4062-9d17-dfc09c84785b,1.6993,0.8276,1,3,181,137,3,360,360,673,0,0,0,0,0,0
7,776,-156.1283,1.6993,-49.0223,-7.2418,0837a20d-5a92-4062-9d17-dfc09c84785b,1.6993,0.8276,1,3,181,137,3,360,360,682,0,0,0,0,0,0
8,747,-178.7555,1.6993,-43.5072,-1.7515,0837a20d-5a92-4062-9d17-dfc09c84785b,1.6993,0.8276,1,3,181,137,3,360,360,728,0,0,0,0,0,0
9,828,-122.521,2.5383,-37.9293,2.5383,cdb4848d-fbe0-4d3a-aee0-1454b8b1be62,2.5383,2.9875,1,2,83,128,2,360,360,723,0,0,0,0,0,0
10,798,-142.0601,2.5383,-36.1451,2.3215,cdb4848d-fbe0-4d3a-aee0-1454b8b1be62,2.5383,2.9875,1,2,83,128,2,360,360,709,0,0,0,0,0,0
11,481,-129.1263,2.5383,-47.25,-0.1939,cdb4848d-fbe0-4d3a-aee0-1454b8b1be62,2.5383,2.9875,1,2,83,128,2,360,360,877,0,0,0,0,0,0
12,772,-122.8194,4.0767,-29.6676,4.0767,085c517f-9389-4232-8d77-f5a41f36b973,4.0767,0.236,1,2,83,129,2,360,360,739,0,0,0,0,0,0
13,818,-133.9234,4.0767,-26.6271,3.0924,085c517f-9389-4232-8d77-f5a41f36b973,4.0767,0.236,1,2,83,129,2,360,360,730,0,0,0,0,0,0
14,734,-135.8997,4.5045,-23.532,4.5045,6af2e5f8-cef0-4857-89be-91263fc4ffaa,4.5045,0.7409,1,4,269,229,4,360,360,727,0,0,0,0,0,0
15,776,-118.3254,4.9048,-18.384,4.9048,783e4df2-185f-4987-ae33-85ae89eb29c3,4.9048,0.4424,1,3,235,15,3,360,360,749,0,0,0,0,0,0
16,582,-137.3122,4.9048,-32.2843,3.1351,783e4df2-185f-4987-ae33-85ae89eb29c3,4.9048,0.4424,1,3,235,15,3,360,360,924,0,0,0,0,0,0
17,789,-121.2922,4.9048,-14.0967,4.1295,783e4df2-185f-4987-ae33-85ae89eb29c3,4.9048,0.4424,1,3,235,15,3,360,360,781,0,0,0,0,0,0
18,834,-121.6334,6.0484,-12.0504,6.0484,3dda53ac-577d-477b-928a-b643543fcef6,6.0484,0.6619,1,3,182,137,3,360,360,792,0,0,0,0,0,0
19,763,-134.2412,6.2641,-14.0533,6.2641,02252824-a919-48a4-950f-e76f0cb58d02,6.2641,1.2325,1,4,277,143,4,360,360,754,0,0,0,0,0,0
20,791,-119.1123,7.8247,-15.7076,7.8247,815e4522-2743-4213-8b19-459721e6e49a,7.8247,0.0655,1,2,154,129,2,360,360,803,0,0,0,0,0,0
21,463,-137.6704,7.8247,-33.3822,7.4009,815e4522-2743-4213-8b19-459721e6e49a,7.8247,0.0655,1,2,154,129,2,360,360,956,0,0,0,0,0,0
22,840,-132.8111,7.8247,-11.6627,7.7446,815e4522-2743-4213-8b19-459721e6e49a,7.8247,0.0655,1,2,154,129,2,360,360,849,0,0,0,0,0,0
23,813,-124.0544,7.8247,-12.6496,7.8084,815e4522-2743-4213-8b19-459721e6e49a,7.8247,0.0655,1,2,154,129,2,360,360,820,0,0,0,0,0,0
24,844,-142.3672,7.8247,-9.2908,7.7794,815e4522-2743-4213-8b19-459721e6e49a,7.8247,0.0655,1,2,154,129,2,360,360,839,0,0,0,0,0,0
25,835,-122.2246,7.8247,-11.1694,7.6372,815e4522-2743-4213-8b19-459721e6e49a,7.8247,0.0655,1,2,154,129,2,360,360,834,0,0,0,0,0,0
26,494,-137.2943,7.8247,-30.986,7.8101,815e4522-2743-4213-8b19-459721e6e49a,7.8247,0.0655,1,2,154,129,2,360,360,997,0,0,0,0,0,0
27,757,-147.6501,7.8247,-13.3247,7.7535,815e4522-2743-4213-8b19-459721e6e49a,7.8247,0.0655,1,2,154,129,2,360,360,841,0,0,0,0,0,0
28,809,-122.0547,7.8898,-9.7548,7.8898,1b247312-e258-4abe-934b-d26a8fca0736,7.8898,0.033,1,3,194,255,3,360,360,845,0,0,0,0,0,0
29,796,-131.2364,7.9376,-8.5894,7.9376,c9240ca1-ca25-4cce-8118-9b9eecd349e5,7.9376,0.211,1,2,158,129,2,360,360,828,0,0,0,0,0,0
30,824,-156.6452,7.9376,-7.3002,7.7816,c9240ca1-ca25-4cce-8118-9b9eecd349e5,7.9376,0.211,1,2,158,129,2,360,360,814,0,0,0,0,0,0
31,539,-129.6494,7.9376,-27.9512,7.6049,c9240ca1-ca25-4cce-8118-9b9eecd349e5,7.9376,0.211,1,2,158,129,2,360,360,975,0,0,0,0,0,0
32,804,-121.7101,8.0127,-9.2371,8.0127,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,831,0,0,0,0,0,0
33,798,-115.4452,8.0127,-8.5915,7.8077,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,806,0,0,0,0,0,0
34,780,-123.2844,8.0127,-10.1313,7.853,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,780,0,0,0,0,0,0
35,830,-117.7035,8.0127,-8.6948,7.9909,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,732,0,0,0,0,0,0
36,541,-160.9373,8.0127,-29.9853,7.8891,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,847,0,0,0,0,0,0
37,751,-136.6582,8.0127,-10.9211,7.8618,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,690,0,0,0,0,0,0
38,815,-119.3995,8.0127,-7.9032,7.8652,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,683,0,0,0,0,0,0
39,787,-118.7996,8.0127,-7.1093,7.9122,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,666,0,0,0,0,0,0
40,816,-134.4398,8.0127,-7.9309,7.8851,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,637,0,0,0,0,0,0
41,612,-157.6382,8.0127,-29.084,7.8208,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,817,0,0,0,0,0,0
42,797,-124.926,8.0127,-8.2213,7.8851,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,664,0,0,0,0,0,0
43,832,-134.9079,8.0127,-6.8168,7.9168,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,671,0,0,0,0,0,0
44,809,-123.6811,8.0127,-8.4225,7.8993,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,667,0,0,0,0,0,0
45,854,-147.136,8.0127,-5.1714,7.8926,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,661,0,0,0,0,0,0
46,671,-147.9472,8.0127,-25.9465,7.8624,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,874,0,0,0,0,0,0
47,824,-134.3491,8.0127,-5.4938,7.8721,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,705,0,0,0,0,0,0
48,862,-115.0317,8.0127,-6.3201,7.8933,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,720,0,0,0,0,0,0
49,861,-135.0603,8.0127,-7.6145,7.8916,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,697,0,0,0,0,0,0
50,818,-118.925,8.0127,-8.4048,7.8768,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,691,0,0,0,0,0,0
51,583,-154.6718,8.0127,-31.4366,7.8996,f942806a-6dbd-46f5-bb96-d77b911d48a6,8.0127,0.536,1,2,159,130,2,360,360,878,0,0,0,0,0,0
52,814,-122.2235,8.1256,-7.4601,8.1256,e929dbdd-cc7a-4f18-9ea0-caf556b958fe,8.1256,0.7316,1,3,269,132,3,360,360,728,0,0,0,0,0,0
53,857,-135.7434,8.1256,-8.6759,7.867,e929dbdd-cc7a-4f18-9ea0-caf556b958fe,8.1256,0.7316,1,3,269,132,3,360,360,723,0,0,0,0,0,0
