gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,1057,-243.5777,-11.3609,-113.8107,-11.3609,ec6b2f8c-e51c-4917-a4e7-007bdf8736d5,-11.3609,2.7989,1,2,106,48,2,360,360,720,0,0,0,0,0,0
1,538,-177.0443,-2.8463,-103.4585,-2.8463,6e09c920-eeea-44b7-ba39-0e973adf0dfe,-2.8463,0.0457,1,3,275,207,3,360,360,665,0,0,0,0,0,0
2,794,-163.8408,-2.8463,-94.96,-8.3572,6e09c920-eeea-44b7-ba39-0e973adf0dfe,-2.8463,0.0457,1,3,275,207,3,360,360,660,0,0,0,0,0,0
3,940,-136.5528,1.4274,-85.3404,1.4274,1e76709c-13cc-463d-a612-0a0a5997215b,1.4274,1.4329,1,4,170,143,4,360,360,644,0,0,0,0,0,0
4,1217,-151.7202,1.4274,-76.2282,-1.8859,1e76709c-13cc-463d-a612-0a0a5997215b,1.4274,1.4329,1,4,170,143,4,360,360,674,0,0,0,0,0,0
5,1423,-185.4365,1.4274,-64.9227,-0.3033,1e76709c-13cc-463d-a612-0a0a5997215b,1.4274,1.4329,1,4,170,143,4,360,360,653,0,0,0,0,0,0
6,797,-134.3973,1.4274,-51.8925,-1.1813,1e76709c-13cc-463d-a612-0a0a5997215b,1.4274,1.4329,1,4,170,143,4,360,360,699,0,0,0,0,0,0
7,750,-169.8812,1.4274,-44.1645,0.4726,1e76709c-13cc-463d-a612-0a0a5997215b,1.4274,1.4329,1,4,170,143,4,360,360,706,0,0,0,0,0,0
8,821,-131.0605,1.4274,-38.4009,0.3975,1e76709c-13cc-463d-a612-0a0a5997215b,1.4274,1.4329,1,4,170,143,4,360,360,692,0,0,0,0,0,0
9,737,-125.7659,1.4274,-32.4838,1.1336,1e76709c-13cc-463d-a612-0a0a5997215b,1.4274,1.4329,1,4,170,143,4,360,360,643,0,0,0,0,0,0
10,805,-130.9657,1.4274,-27.8958,0.3174,1e76709c-13cc-463d-a612-0a0a5997215b,1.4274,1.4329,1,4,170,143,4,360,360,696,0,0,0,0,0,0
11,595,-138.215,5.7699,-37.8203,5.7699,8ac30917-e087-4425-b8b7-60255b909f05,5.7699,0.9916,1,3,135,57,3,360,360,902,0,0,0,0,0,0
12,831,-128.8324,5.7699,-20.8405,3.6951,8ac30917-e087-4425-b8b7-60255b909f05,5.7699,0.9916,1,3,135,57,3,360,360,809,0,0,0,0,0,0
13,846,-136.9669,5.7699,-17.9222,1.8351,8ac30917-e087-4425-b8b7-60255b909f05,5.7699,0.9916,1,3,135,57,3,360,360,829,0,0,0,0,0,0
14,888,-117.4171,5.7699,-14.5271,2.6825,8ac30917-e087-4425-b8b7-60255b909f05,5.7699,0.9916,1,3,135,57,3,360,360,751,0,0,0,0,0,0
15,890,-116.2323,5.7699,-13.1041,3.3888,8ac30917-e087-4425-b8b7-60255b909f05,5.7699,0.9916,1,3,135,57,3,360,360,759,0,0,0,0,0,0
16,616,-157.3347,7.6877,-29.8873,7.6877,dbf4abfc-14ff-4544-9d2e-d192b375148b,7.6877,0.0635,1,4,455,372,4,360,360,920,0,0,0,0,0,0
17,898,-138.9052,9.4669,-11.8807,9.4669,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,781,0,0,0,0,0,0
18,906,-171.9125,9.4669,-11.934,6.0647,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,757,0,0,0,0,0,0
19,929,-116.3364,9.4669,-7.8555,5.4894,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,807,0,0,0,0,0,0
20,918,-122.7368,9.4669,-8.9401,7.9093,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,836,0,0,0,0,0,0
21,582,-169.9653,9.4669,-32.7067,5.2015,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,993,0,0,0,0,0,0
22,928,-150.1854,9.4669,-8.4752,7.6132,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,887,0,0,0,0,0,0
23,812,-135.7205,9.4669,-13.7488,7.8379,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,884,0,0,0,0,0,0
24,863,-185.0507,9.4669,-9.6938,8.9253,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,850,0,0,0,0,0,0
25,843,-191.6728,9.4669,-8.7332,7.7563,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,797,0,0,0,0,0,0
26,540,-148.8478,9.4669,-28.3112,8.5157,18f1483a-5a2c-44c5-a00d-e5dd2fe12054,9.4669,1.8508,1,2,147,124,2,360,360,900,0,0,0,0,0,0
27,848,-119.8733,10.9981,-8.9057,10.9981,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,787,0,0,0,0,0,0
28,832,-117.0924,10.9981,-8.6492,9.7085,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,777,0,0,0,0,0,0
29,856,-130.2821,10.9981,-5.0024,8.5445,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,801,0,0,0,0,0,0
30,899,-121.62,10.9981,-5.6591,10.4202,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,803,0,0,0,0,0,0
31,681,-180.2901,10.9981,-18.9943,9.1801,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,956,0,0,0,0,0,0
32,900,-116.9142,10.9981,-1.7047,9.7597,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,803,0,0,0,0,0,0
33,875,-118.4874,10.9981,-1.7227,9.3585,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,813,0,0,0,0,0,0
34,862,-120.0631,10.9981,-4.3147,9.6797,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,818,0,0,0,0,0,0
35,860,-120.8572,10.9981,-3.1355,9.4281,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,796,0,0,0,0,0,0
36,681,-117.8372,10.9981,-17.6117,8.9442,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,948,0,0,0,0,0,0
37,871,-118.4264,10.9981,-3.1279,9.5438,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,791,0,0,0,0,0,0
38,929,-115.3592,10.9981,-0.1027,10.0787,7620fb5c-2c42-4851-bb0e-65574425650e,10.9981,2.4563,1,2,147,124,2,360,360,745,0,0,0,0,0,0
39,899,-122.2701,12.7676,-0.1377,12.7676,d3562a72-0457-4985-8410-aba39af612aa,12.7676,4.9397,1,2,149,122,2,360,360,764,0,0,0,0,0,0
40,877,-113.1138,12.7676,-0.5272,9.9838,d3562a72-0457-4985-8410-aba39af612aa,12.7676,4.9397,1,2,149,122,2,360,360,765,0,0,0,0,0,0
41,715,-149.0675,12.7676,-18.1646,9.4158,d3562a72-0457-4985-8410-aba39af612aa,12.7676,4.9397,1,2,149,122,2,360,360,911,0,0,0,0,0,0
