gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,1046,-172.8917,-9.1802,-113.9902,-9.1802,b62620ae-aa9d-41dc-9a6d-07fb219d89b3,-9.1802,1.0629,1,2,62,97,2,360,360,720,0,0,0,0,0,0
1,563,-227.2314,-9.1802,-104.126,-11.796,b62620ae-aa9d-41dc-9a6d-07fb219d89b3,-9.1802,1.0629,1,2,62,97,2,360,360,665,0,0,0,0,0,0
2,781,-159.8603,-0.1123,-94.5566,-0.1123,6fd05391-cd13-4402-9fb0-19439452cddb,-0.1123,0.1423,1,4,262,174,4,360,360,653,0,0,0,0,0,0
3,884,-121.8598,-0.1123,-85.3276,-0.1606,6fd05391-cd13-4402-9fb0-19439452cddb,-0.1123,0.1423,1,4,262,174,4,360,360,661,0,0,0,0,0,0
4,1125,-140.3828,0.5263,-77.5622,0.5263,d00a6298-42d1-4a5a-80bd-6720e1239544,0.5263,0.2277,1,4,263,173,4,360,360,674,0,0,0,0,0,0
5,1239,-174.8848,0.5263,-66.5343,0.3391,d00a6298-42d1-4a5a-80bd-6720e1239544,0.5263,0.2277,1,4,263,173,4,360,360,697,0,0,0,0,0,0
6,1450,-173.572,0.7605,-54.6241,0.7605,fdedf896-e821-422d-8b2c-68d9a80abd02,0.7605,1.8937,1,4,263,175,4,360,360,743,0,0,0,0,0,0
7,753,-169.1703,11.2729,-47.7589,11.2729,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,761,0,0,0,0,0,0
8,753,-177.6525,11.2729,-36.8673,6.7233,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,742,0,0,0,0,0,0
9,824,-175.749,11.2729,-26.1309,4.2303,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,768,0,0,0,0,0,0
10,878,-179.7692,11.2729,-17.1813,5.6598,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,779,0,0,0,0,0,0
11,659,-210.462,11.2729,-30.0829,3.4207,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,971,0,0,0,0,0,0
12,861,-117.8877,11.2729,-12.5143,5.7794,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,866,0,0,0,0,0,0
13,970,-119.1438,11.2729,-8.6988,5.6816,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,898,0,0,0,0,0,0
14,940,-153.2477,11.2729,-10.33,5.9398,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,909,0,0,0,0,0,0
15,897,-118.6698,11.2729,-8.7059,10.1523,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,896,0,0,0,0,0,0
16,601,-163.7806,11.2729,-32.0254,5.6433,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,1011,0,0,0,0,0,0
17,940,-155.9634,11.2729,-8.5517,7.2362,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,881,0,0,0,0,0,0
18,866,-155.2683,11.2729,-10.4637,7.7331,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,860,0,0,0,0,0,0
19,913,-120.5838,11.2729,-6.012,10.1625,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,840,0,0,0,0,0,0
20,887,-159.1885,11.2729,-7.556,9.3344,a08503ee-dd37-489b-96bb-319fb21c9993,11.2729,5.0236,1,3,124,75,3,360,360,841,0,0,0,0,0,0
21,585,-161.6715,12.8526,-25.9573,12.8526,0439eb15-d496-4b01-bbfc-819e72d7bd92,12.8526,5.4755,1,4,259,170,4,360,360,947,0,0,0,0,0,0
22,784,-119.2627,12.8526,-10.1311,10.6036,0439eb15-d496-4b01-bbfc-819e72d7bd92,12.8526,5.4755,1,4,259,170,4,360,360,814,0,0,0,0,0,0
23,888,-118.6091,12.8526,-5.4764,12.7027,0439eb15-d496-4b01-bbfc-819e72d7bd92,12.8526,5.4755,1,4,259,170,4,360,360,775,0,0,0,0,0,0
24,793,-118.653,15.6741,-9.707,15.6741,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,791,0,0,0,0,0,0
25,911,-134.5962,15.6741,-4.5041,12.0622,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,783,0,0,0,0,0,0
26,605,-158.5639,15.6741,-23.6463,8.0001,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,947,0,0,0,0,0,0
27,852,-163.1077,15.6741,-4.4552,11.4239,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,779,0,0,0,0,0,0
28,826,-119.5457,15.6741,-8.2669,12.3633,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,761,0,0,0,0,0,0
29,863,-124.542,15.6741,-4.9745,14.44,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,760,0,0,0,0,0,0
30,865,-121.8396,15.6741,-3.6075,9.9997,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,714,0,0,0,0,0,0
31,583,-220.3976,15.6741,-23.0924,12.1764,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,902,0,0,0,0,0,0
32,845,-117.7261,15.6741,-3.5128,13.1412,090d13ed-5397-488c-8fa7-cbe91444fff8,15.6741,3.4461,1,3,125,75,3,360,360,727,0,0,0,0,0,0
33,816,-118.8064,16.1258,-4.2302,16.1258,5e2ee77d-3615-4c1d-91f2-62eae06ac7c9,16.1258,2.6478,1,4,221,99,4,360,360,767,0,0,0,0,0,0
34,871,-116.1333,17.3528,-4.925,17.3528,ad560446-5ae5-458d-ba37-298b970f63ad,17.3528,5.7068,1,3,127,76,3,360,360,781,0,0,0,0,0,0
