gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,1066,-193.7111,-3.2911,-112.4765,-3.2911,d3d0cc56-a5cc-46fe-8ae1-1c33379f7f5d,-3.2911,2.5879,1,2,152,78,2,360,360,720,0,0,0,0,0,0
1,578,-170.7222,10.5109,-103.494,10.5109,021ad1cf-911b-468b-a478-ec52feb00d74,10.5109,3.0799,1,2,93,25,2,360,360,655,0,0,0,0,0,0
2,731,-213.4567,10.5109,-95.2623,-13.6652,021ad1cf-911b-468b-a478-ec52feb00d74,10.5109,3.0799,1,2,93,25,2,360,360,644,0,0,0,0,0,0
3,966,-127.053,13.5998,-83.0274,13.5998,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,651,0,0,0,0,0,0
4,1169,-195.2896,13.5998,-71.2853,6.2692,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,646,0,0,0,0,0,0
5,1225,-147.7954,13.5998,-59.54,7.1142,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,685,0,0,0,0,0,0
6,1383,-132.4049,13.5998,-45.2804,2.565,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,654,0,0,0,0,0,0
7,722,-120.4869,13.5998,-38.0202,10.6271,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,662,0,0,0,0,0,0
8,688,-134.8213,13.5998,-29.6581,7.3194,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,643,0,0,0,0,0,0
9,801,-119.1505,13.5998,-23.775,12.1341,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,636,0,0,0,0,0,0
10,792,-118.1276,13.5998,-18.8533,11.2535,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,673,0,0,0,0,0,0
11,461,-151.7781,13.5998,-36.6563,0.6583,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,873,0,0,0,0,0,0
12,721,-119.6538,13.5998,-18.0684,13.3363,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,707,0,0,0,0,0,0
13,757,-133.0454,13.5998,-15.5091,11.9262,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,748,0,0,0,0,0,0
14,786,-122.2107,13.5998,-12.7407,12.4736,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,756,0,0,0,0,0,0
15,744,-136.0218,13.5998,-14.168,11.9869,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,730,0,0,0,0,0,0
16,456,-159.5508,13.5998,-34.8933,7.9162,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,845,0,0,0,0,0,0
17,755,-137.376,13.5998,-15.8683,12.3856,8b0ab5be-9ed7-4535-b4ab-9f4630aedef8,13.5998,1.2565,1,2,92,25,2,360,360,721,0,0,0,0,0,0
18,746,-133.3941,15.1651,-13.9214,15.1651,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,703,0,0,0,0,0,0
19,773,-160.1551,15.1651,-12.5794,13.8853,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,699,0,0,0,0,0,0
20,759,-156.5168,15.1651,-13.7607,14.4052,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,675,0,0,0,0,0,0
21,438,-164.2994,15.1651,-34.5222,13.0416,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,856,0,0,0,0,0,0
22,668,-150.7367,15.1651,-16.6895,14.1208,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,687,0,0,0,0,0,0
23,799,-160.3344,15.1651,-10.2526,13.8041,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,685,0,0,0,0,0,0
24,702,-138.5509,15.1651,-14.7267,14.6033,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,688,0,0,0,0,0,0
25,677,-158.883,15.1651,-15.7843,14.2387,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,671,0,0,0,0,0,0
26,393,-163.493,15.1651,-36.8748,14.4086,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,864,0,0,0,0,0,0
27,765,-131.9737,15.1651,-11.3711,13.8478,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,678,0,0,0,0,0,0
28,713,-150.4772,15.1651,-12.9823,14.2368,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,686,0,0,0,0,0,0
29,746,-140.0402,15.1651,-12.0747,14.9082,17a76bfa-7bea-4b44-86a2-b364277a8fa3,15.1651,1.4087,1,3,156,28,3,360,360,691,0,0,0,0,0,0
30,653,-163.7999,15.3278,-14.4432,15.3278,22b3e4bb-88f5-423f-ab18-d1d106bc1106,15.3278,2.672,1,3,121,51,3,360,360,753,0,0,0,0,0,0
31,390,-172.9191,15.3278,-37.3046,12.3398,22b3e4bb-88f5-423f-ab18-d1d106bc1106,15.3278,2.672,1,3,121,51,3,360,360,901,0,0,0,0,0,0
32,701,-147.1044,15.3278,-13.7785,14.3194,22b3e4bb-88f5-423f-ab18-d1d106bc1106,15.3278,2.672,1,3,121,51,3,360,360,730,0,0,0,0,0,0
33,680,-134.9204,15.3278,-13.046,15.006,22b3e4bb-88f5-423f-ab18-d1d106bc1106,15.3278,2.672,1,3,121,51,3,360,360,738,0,0,0,0,0,0
34,681,-135.9112,16.2129,-13.5011,16.2129,d8c66d94-b599-4e98-b87d-4f216414a0a0,16.2129,1.5876,1,2,92,26,2,360,360,729,0,0,0,0,0,0
35,685,-147.0952,16.2129,-11.9379,15.2438,d8c66d94-b599-4e98-b87d-4f216414a0a0,16.2129,1.5876,1,2,92,26,2,360,360,720,0,0,0,0,0,0
36,359,-165.1149,16.2129,-36.2889,10.9577,d8c66d94-b599-4e98-b87d-4f216414a0a0,16.2129,1.5876,1,2,92,26,2,360,360,914,0,0,0,0,0,0
37,654,-125.8469,16.2129,-15.6907,14.6429,d8c66d94-b599-4e98-b87d-4f216414a0a0,16.2129,1.5876,1,2,92,26,2,360,360,741,0,0,0,0,0,0
38,739,-123.7473,16.2129,-9.5993,16.0286,d8c66d94-b599-4e98-b87d-4f216414a0a0,16.2129,1.5876,1,2,92,26,2,360,360,724,0,0,0,0,0,0
39,738,-154.386,16.2129,-12.0204,15.155,d8c66d94-b599-4e98-b87d-4f216414a0a0,16.2129,1.5876,1,2,92,26,2,360,360,759,0,0,0,0,0,0
40,699,-173.5196,16.2129,-11.3134,14.4934,d8c66d94-b599-4e98-b87d-4f216414a0a0,16.2129,1.5876,1,2,92,26,2,360,360,775,0,0,0,0,0,0
41,342,-201.8622,16.2129,-37.5304,10.304,d8c66d94-b599-4e98-b87d-4f216414a0a0,16.2129,1.5876,1,2,92,26,2,360,360,931,0,0,0,0,0,0
42,684,-140.6353,16.2975,-13.2221,16.2975,fe739b71-de57-4b42-83ae-9cff70d5c97b,16.2975,1.0217,1,4,186,31,4,360,360,767,0,0,0,0,0,0
43,718,-157.1762,16.2975,-12.6801,14.8016,fe739b71-de57-4b42-83ae-9cff70d5c97b,16.2975,1.0217,1,4,186,31,4,360,360,770,0,0,0,0,0,0
44,606,-154.2596,16.2975,-16.4285,16.2039,fe739b71-de57-4b42-83ae-9cff70d5c97b,16.2975,1.0217,1,4,186,31,4,360,360,786,0,0,0,0,0,0
45,757,-156.255,18.3584,-10.0205,18.3584,befe39fd-b918-43da-a8a7-2cb85ab2617d,18.3584,0.7844,1,4,185,29,4,360,360,802,0,0,0,0,0,0
46,370,-180.224,18.3584,-33.9922,12.0251,befe39fd-b918-43da-a8a7-2cb85ab2617d,18.3584,0.7844,1,4,185,29,4,360,360,950,0,0,0,0,0,0
47,699,-149.1828,18.3584,-11.4563,16.5185,befe39fd-b918-43da-a8a7-2cb85ab2617d,18.3584,0.7844,1,4,185,29,4,360,360,823,0,0,0,0,0,0
48,722,-140.9672,18.3584,-10.7611,16.5258,befe39fd-b918-43da-a8a7-2cb85ab2617d,18.3584,0.7844,1,4,185,29,4,360,360,816,0,0,0,0,0,0
49,716,-156.1958,19.907,-9.295,19.907,f1ef300b-ee24-4a06-b0bd-830f07bd4792,19.907,3.9793,1,4,188,30,4,360,360,793,0,0,0,0,0,0
50,760,-133.9768,19.907,-9.9209,19.8111,f1ef300b-ee24-4a06-b0bd-830f07bd4792,19.907,3.9793,1,4,188,30,4,360,360,828,0,0,0,0,0,0
51,462,-171.7392,19.907,-32.0008,14.1053,f1ef300b-ee24-4a06-b0bd-830f07bd4792,19.907,3.9793,1,4,188,30,4,360,360,948,0,0,0,0,0,0
52,706,-162.3834,19.907,-12.0151,19.0847,f1ef300b-ee24-4a06-b0bd-830f07bd4792,19.907,3.9793,1,4,188,30,4,360,360,811,0,0,0,0,0,0
53,690,-129.668,19.907,-12.4828,17.935,f1ef300b-ee24-4a06-b0bd-830f07bd4792,19.907,3.9793,1,4,188,30,4,360,360,835,0,0,0,0,0,0
54,682,-165.3505,19.907,-12.7832,16.6066,f1ef300b-ee24-4a06-b0bd-830f07bd4792,19.907,3.9793,1,4,188,30,4,360,360,827,0,0,0,0,0,0
55,779,-162.8501,19.907,-7.4585,18.9736,f1ef300b-ee24-4a06-b0bd-830f07bd4792,19.907,3.9793,1,4,188,30,4,360,360,864,0,0,0,0,0,0
56,360,-141.6682,19.907,-33.2063,14.4337,f1ef300b-ee24-4a06-b0bd-830f07bd4792,19.907,3.9793,1,4,188,30,4,360,360,1008,0,0,0,0,0,0
57,740,-144.3952,21.8156,-7.8602,21.8156,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,897,0,0,0,0,0,0
58,787,-139.2581,21.8156,-6.5071,20.0641,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,879,0,0,0,0,0,0
59,769,-148.9493,21.8156,-9.0556,21.2666,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,917,0,0,0,0,0,0
60,736,-143.3713,21.8156,-7.7654,20.0711,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,890,0,0,0,0,0,0
61,399,-192.0103,21.8156,-32.55,14.1641,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,1038,0,0,0,0,0,0
62,722,-123.2664,21.8156,-7.7419,21.1145,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,889,0,0,0,0,0,0
63,683,-131.6159,21.8156,-10.7025,21.3649,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,907,0,0,0,0,0,0
64,714,-142.9708,21.8156,-8.2863,20.6301,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,928,0,0,0,0,0,0
65,708,-135.3792,21.8156,-8.249,19.9058,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,925,0,0,0,0,0,0
66,354,-131.3801,21.8156,-32.3837,18.8866,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,1049,0,0,0,0,0,0
67,803,-122.5231,21.8156,-4.6953,21.1204,d31573fc-0a13-4b78-ba1c-78c18bb92249,21.8156,1.3382,1,4,188,32,4,360,360,937,0,0,0,0,0,0
68,753,-126.1989,22.3319,-4.9285,22.3319,a155bb2b-8832-4579-b808-c6aab8387a40,22.3319,1.5887,1,4,189,31,4,360,360,943,0,0,0,0,0,0
69,851,-118.2392,22.3319,-0.6134,21.6947,a155bb2b-8832-4579-b808-c6aab8387a40,22.3319,1.5887,1,4,189,31,4,360,360,928,0,0,0,0,0,0
70,705,-164.885,22.3319,-8.4155,21.6018,a155bb2b-8832-4579-b808-c6aab8387a40,22.3319,1.5887,1,4,189,31,4,360,360,951,0,0,0,0,0,0
71,400,-132.8787,22.3319,-30.6433,14.0604,a155bb2b-8832-4579-b808-c6aab8387a40,22.3319,1.5887,1,4,189,31,4,360,360,1074,0,0,0,0,0,0
72,764,-121.8454,22.3319,-4.523,22.2759,a155bb2b-8832-4579-b808-c6aab8387a40,22.3319,1.5887,1,4,189,31,4,360,360,962,0,0,0,0,0,0
73,723,-119.0093,22.3319,-5.6185,22.0388,a155bb2b-8832-4579-b808-c6aab8387a40,22.3319,1.5887,1,4,189,31,4,360,360,959,0,0,0,0,0,0
74,733,-140.474,23.1059,-6.3267,23.1059,7c46cb59-4111-4c27-9b5e-984a271ecb5c,23.1059,1.5774,1,4,189,35,4,360,360,980,0,0,0,0,0,0
75,710,-150.5115,23.6466,-7.6513,23.6466,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,959,0,0,0,0,0,0
76,385,-187.3896,23.6466,-29.5025,11.8067,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,1066,0,0,0,0,0,0
77,696,-119.0761,23.6466,-7.1535,22.4658,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,963,0,0,0,0,0,0
78,764,-119.7419,23.6466,-2.49,22.3444,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,948,0,0,0,0,0,0
79,825,-121.9137,23.6466,-1.7907,22.7003,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,957,0,0,0,0,0,0
80,716,-134.9422,23.6466,-5.3436,22.7391,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,956,0,0,0,0,0,0
81,282,-122.149,23.6466,-32.3782,16.8847,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,1073,0,0,0,0,0,0
82,765,-120.1786,23.6466,-2.104,22.3481,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,970,0,0,0,0,0,0
83,766,-127.3785,23.6466,-2.2973,22.3117,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,962,0,0,0,0,0,0
84,731,-152.8754,23.6466,-3.3342,23.1609,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,959,0,0,0,0,0,0
85,796,-129.6699,23.6466,-1.3576,22.9822,9dacb689-968b-40f0-9e43-0879a93f515a,23.6466,1.5889,1,4,189,36,4,360,360,952,0,0,0,0,0,0
