gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,997,-232.4956,-41.8817,-114.6306,-41.8817,05d7ac35-9fea-4df4-b09c-19bcdd724093,-41.8817,0.5007,1,2,140,111,2,360,360,720,0,0,0,0,0,0
1,483,-151.9676,-13.8619,-103.3425,-13.8619,27bba37d-9224-4c1e-b2d8-83491a32af92,-13.8619,0.0224,1,3,82,165,3,360,360,649,0,0,0,0,0,0
2,727,-152.9011,-13.8619,-94.4118,-25.785,27bba37d-9224-4c1e-b2d8-83491a32af92,-13.8619,0.0224,1,3,82,165,3,360,360,618,0,0,0,0,0,0
3,862,-128.4907,-13.8619,-85.3235,-18.9028,27bba37d-9224-4c1e-b2d8-83491a32af92,-13.8619,0.0224,1,3,82,165,3,360,360,637,0,0,0,0,0,0
4,1155,-125.2856,-7.0742,-75.7737,-7.0742,5be96e89-c5b5-4bed-bc70-162313412b60,-7.0742,0.0421,1,3,240,102,3,360,360,660,0,0,0,0,0,0
5,1243,-137.4607,-1.7372,-66.3846,-1.7372,965f90fd-4fb4-42a5-a352-1ca77ca771ac,-1.7372,5.0439,1,3,169,44,3,360,360,640,0,0,0,0,0,0
6,1303,-133.9212,4.7204,-58.2488,4.7204,d662e85e-6590-4bb8-9e98-162023770fd9,4.7204,1.3509,1,3,174,86,3,360,360,628,0,0,0,0,0,0
7,673,-120.8213,4.7204,-54.6392,1.3584,d662e85e-6590-4bb8-9e98-162023770fd9,4.7204,1.3509,1,3,174,86,3,360,360,694,0,0,0,0,0,0
8,709,-118.8474,5.6571,-46.3016,5.6571,a5a94d7e-b1e6-4693-bf63-63ce1e45aa48,5.6571,1.1336,1,2,143,82,2,360,360,689,0,0,0,0,0,0
9,783,-120.5297,5.6571,-40.3224,5.0591,a5a94d7e-b1e6-4693-bf63-63ce1e45aa48,5.6571,1.1336,1,2,143,82,2,360,360,722,0,0,0,0,0,0
10,719,-123.7674,6.0607,-37.7783,6.0607,fcf75148-5512-46bc-b3aa-60b0c2b86569,6.0607,3.2418,1,2,139,84,2,360,360,751,0,0,0,0,0,0
11,422,-123.5862,6.6404,-46.1376,6.6404,42d17d6c-c5a2-41b7-9b03-679eeceb00d1,6.6404,1.5261,1,2,216,74,2,360,360,907,0,0,0,0,0,0
12,692,-137.9805,6.6404,-28.7163,2.4389,42d17d6c-c5a2-41b7-9b03-679eeceb00d1,6.6404,1.5261,1,2,216,74,2,360,360,752,0,0,0,0,0,0
13,757,-140.8009,6.6404,-24.2377,6.4453,42d17d6c-c5a2-41b7-9b03-679eeceb00d1,6.6404,1.5261,1,2,216,74,2,360,360,765,0,0,0,0,0,0
14,763,-127.8181,6.6404,-19.935,6.4892,42d17d6c-c5a2-41b7-9b03-679eeceb00d1,6.6404,1.5261,1,2,216,74,2,360,360,746,0,0,0,0,0,0
15,797,-124.056,6.6404,-17.0428,5.7876,42d17d6c-c5a2-41b7-9b03-679eeceb00d1,6.6404,1.5261,1,2,216,74,2,360,360,807,0,0,0,0,0,0
16,483,-150.1627,6.6404,-36.9724,4.5433,42d17d6c-c5a2-41b7-9b03-679eeceb00d1,6.6404,1.5261,1,2,216,74,2,360,360,939,0,0,0,0,0,0
17,809,-118.8374,7.6547,-11.3416,7.6547,2d6a3900-ee39-484e-99c8-4e61333439de,7.6547,0.0792,1,3,325,71,3,360,360,787,0,0,0,0,0,0
18,766,-119.9099,10.0383,-14.0303,10.0383,b8896613-5d25-4fae-9481-ca7b6984c1f0,10.0383,3.6705,1,3,178,31,3,360,360,772,0,0,0,0,0,0
19,818,-115.8875,10.0383,-12.6376,8.4466,b8896613-5d25-4fae-9481-ca7b6984c1f0,10.0383,3.6705,1,3,178,31,3,360,360,801,0,0,0,0,0,0
20,779,-124.5581,10.0383,-13.6722,8.7794,b8896613-5d25-4fae-9481-ca7b6984c1f0,10.0383,3.6705,1,3,178,31,3,360,360,847,0,0,0,0,0,0
21,507,-153.4058,10.6301,-31.6276,10.6301,922c2b27-228e-4ef0-ac3f-ae74e92d02fc,10.6301,5.616,1,4,347,31,4,360,360,969,0,0,0,0,0,0
22,795,-123.9138,10.6301,-11.7161,7.9193,922c2b27-228e-4ef0-ac3f-ae74e92d02fc,10.6301,5.616,1,4,347,31,4,360,360,860,0,0,0,0,0,0
23,810,-118.8227,12.1538,-10.4354,12.1538,a5d2d65d-c8c8-46b2-8e81-c2055baf2580,12.1538,2.6293,1,2,142,24,2,360,360,841,0,0,0,0,0,0
24,756,-125.0331,12.1538,-11.4548,9.1495,a5d2d65d-c8c8-46b2-8e81-c2055baf2580,12.1538,2.6293,1,2,142,24,2,360,360,828,0,0,0,0,0,0
25,784,-174.4026,13.536,-11.248,13.536,d8a808a3-a91c-4e18-a4da-740d002e3dda,13.536,2.715,1,4,278,31,4,360,360,826,0,0,0,0,0,0
26,494,-219.8813,13.536,-32.8405,9.0325,d8a808a3-a91c-4e18-a4da-740d002e3dda,13.536,2.715,1,4,278,31,4,360,360,939,0,0,0,0,0,0
27,772,-118.4244,13.536,-9.1695,10.0706,d8a808a3-a91c-4e18-a4da-740d002e3dda,13.536,2.715,1,4,278,31,4,360,360,799,0,0,0,0,0,0
28,797,-122.4916,13.536,-7.7314,11.6492,d8a808a3-a91c-4e18-a4da-740d002e3dda,13.536,2.715,1,4,278,31,4,360,360,798,0,0,0,0,0,0
29,787,-123.4414,14.7453,-7.5935,14.7453,c2862c54-3ed7-4c56-b3c2-4f60594af3fe,14.7453,3.4655,1,4,282,83,4,360,360,791,0,0,0,0,0,0
30,763,-112.3759,14.7453,-7.0039,13.864,c2862c54-3ed7-4c56-b3c2-4f60594af3fe,14.7453,3.4655,1,4,282,83,4,360,360,750,0,0,0,0,0,0
31,460,-163.1782,15.0443,-28.4041,15.0443,f2fc2a9c-2ad7-44df-8acb-8c8d6ee8c956,15.0443,3.5507,1,3,247,29,3,360,360,911,0,0,0,0,0,0
32,769,-123.9278,15.0443,-8.4958,12.7072,f2fc2a9c-2ad7-44df-8acb-8c8d6ee8c956,15.0443,3.5507,1,3,247,29,3,360,360,773,0,0,0,0,0,0
