gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,1062,-202.2252,-12.0092,-112.7518,-12.0092,328974c6-efb4-4584-b9e9-accf2e9b3736,-12.0092,2.2148,1,2,88,43,2,360,360,720,0,0,0,0,0,0
1,672,-127.8256,-12.0092,-99.8857,-20.2523,328974c6-efb4-4584-b9e9-accf2e9b3736,-12.0092,2.2148,1,2,88,43,2,360,360,659,0,0,0,0,0,0
2,848,-165.2389,-12.0092,-89.941,-13.0434,328974c6-efb4-4584-b9e9-accf2e9b3736,-12.0092,2.2148,1,2,88,43,2,360,360,643,0,0,0,0,0,0
3,1038,-132.9165,-1.0095,-77.5341,-1.0095,f0e79892-7d4b-4e42-911d-985d6bc00880,-1.0095,4.329,1,3,135,147,3,360,360,646,0,0,0,0,0,0
4,1286,-124.5183,-1.0095,-66.8189,-7.0026,f0e79892-7d4b-4e42-911d-985d6bc00880,-1.0095,4.329,1,3,135,147,3,360,360,653,0,0,0,0,0,0
5,1367,-127.6541,-0.391,-54.0681,-0.391,7f21f362-20d7-4c94-b583-667c3a16ccd6,-0.391,1.0671,1,3,139,90,3,360,360,678,0,0,0,0,0,0
6,746,-142.6962,-0.2713,-43.6457,-0.2713,6aec116c-597d-4dc5-82d2-8cc5d7f011d2,-0.2713,0.3562,1,3,139,90,3,360,360,706,0,0,0,0,0,0
7,831,-137.6791,-0.2713,-38.5937,-0.7635,6aec116c-597d-4dc5-82d2-8cc5d7f011d2,-0.2713,0.3562,1,3,139,90,3,360,360,719,0,0,0,0,0,0
8,765,-124.4268,5.2386,-35.003,5.2386,01608f8a-f4de-4e83-81c5-8b4380c7b239,5.2386,0.1102,1,3,151,202,3,360,360,688,0,0,0,0,0,0
9,790,-144.3022,5.2386,-30.4479,4.3813,01608f8a-f4de-4e83-81c5-8b4380c7b239,5.2386,0.1102,1,3,151,202,3,360,360,659,0,0,0,0,0,0
10,767,-136.3584,5.2386,-26.0455,0.397,01608f8a-f4de-4e83-81c5-8b4380c7b239,5.2386,0.1102,1,3,151,202,3,360,360,703,0,0,0,0,0,0
11,546,-140.8578,6.1756,-39.7227,6.1756,d499831b-68f5-49da-81ce-6d4b47445b4c,6.1756,0.093,1,4,168,316,4,360,360,895,0,0,0,0,0,0
12,825,-126.9386,6.1756,-20.8105,6.1053,d499831b-68f5-49da-81ce-6d4b47445b4c,6.1756,0.093,1,4,168,316,4,360,360,761,0,0,0,0,0,0
13,794,-145.2639,6.538,-19.5596,6.538,57ab6f0b-47bd-493b-85c0-8552b460ff49,6.538,6.1232,1,3,105,198,3,360,360,787,0,0,0,0,0,0
14,815,-123.0941,6.538,-15.2546,6.1923,57ab6f0b-47bd-493b-85c0-8552b460ff49,6.538,6.1232,1,3,105,198,3,360,360,825,0,0,0,0,0,0
15,796,-133.2065,15.8035,-14.4837,15.8035,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,850,0,0,0,0,0,0
16,515,-226.2977,15.8035,-33.554,6.2769,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,1030,0,0,0,0,0,0
17,788,-133.6594,15.8035,-12.8668,6.8415,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,909,0,0,0,0,0,0
18,733,-150.1397,15.8035,-15.6535,7.637,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,903,0,0,0,0,0,0
19,747,-138.2528,15.8035,-12.9711,6.7712,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,831,0,0,0,0,0,0
20,783,-128.9736,15.8035,-8.4172,6.685,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,848,0,0,0,0,0,0
21,460,-226.352,15.8035,-32.4007,6.251,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,1034,0,0,0,0,0,0
22,815,-187.6771,15.8035,-9.1742,8.3185,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,936,0,0,0,0,0,0
23,822,-129.3859,15.8035,-8.6259,6.2997,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,912,0,0,0,0,0,0
24,813,-129.0829,15.8035,-7.8904,7.5047,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,945,0,0,0,0,0,0
25,793,-192.418,15.8035,-8.888,8.2604,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,943,0,0,0,0,0,0
26,449,-176.2898,15.8035,-33.6878,6.2696,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,1087,0,0,0,0,0,0
27,809,-130.9916,15.8035,-8.7623,8.899,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,946,0,0,0,0,0,0
28,793,-133.1553,15.8035,-10.1493,13.3433,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,950,0,0,0,0,0,0
29,752,-129.0249,15.8035,-11.2746,11.6501,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,964,0,0,0,0,0,0
30,742,-148.3218,15.8035,-12.3459,8.3935,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,949,0,0,0,0,0,0
31,478,-167.0133,15.8035,-33.8421,7.0382,3602ba52-3333-42c8-8bb0-aaab037e5301,15.8035,9.4881,1,2,41,28,2,360,360,1092,0,0,0,0,0,0
32,805,-141.5929,21.0369,-9.1237,21.0369,9b353c9b-98dd-43ec-b962-2189a069ab49,21.0369,11.1694,1,3,111,301,3,360,360,989,0,0,0,0,0,0
33,731,-132.9616,33.1151,-13.6117,33.1151,b1fbe2ee-93a4-4c95-9837-bba71a339bda,33.1151,6.0531,1,3,111,301,3,360,360,977,0,0,0,0,0,0
34,786,-129.1746,33.8336,-10.0996,33.8336,f4b91b3d-a2ae-4003-ae4c-cb879c803af6,33.8336,7.9611,1,3,111,303,3,360,360,971,0,0,0,0,0,0
35,753,-133.5884,34.2263,-12.079,34.2263,a9818317-a513-4e81-baaa-ee0ed752b8f9,34.2263,5.9923,1,3,110,301,3,360,360,956,0,0,0,0,0,0
