gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,1068,-212.0572,-13.9402,-114.7562,-13.9402,ead217b9-224f-4f7a-8699-6aff1027d772,-13.9402,12.7647,1,2,35,95,2,360,360,720,0,0,0,0,0,0
1,496,-158.2077,2.9229,-104.7344,2.9229,c21b39fc-f75e-4465-b8f5-04e1ad8a99dc,2.9229,0.2562,1,3,123,125,3,360,360,656,0,0,0,0,0,0
2,659,-148.7895,2.9229,-98.2691,-40.3912,c21b39fc-f75e-4465-b8f5-04e1ad8a99dc,2.9229,0.2562,1,3,123,125,3,360,360,654,0,0,0,0,0,0
3,985,-141.0165,2.9229,-89.156,-15.1081,c21b39fc-f75e-4465-b8f5-04e1ad8a99dc,2.9229,0.2562,1,3,123,125,3,360,360,705,0,0,0,0,0,0
4,1036,-144.579,2.9229,-80.0923,-2.0831,c21b39fc-f75e-4465-b8f5-04e1ad8a99dc,2.9229,0.2562,1,3,123,125,3,360,360,709,0,0,0,0,0,0
5,1210,-136.3071,3.1337,-70.0604,3.1337,da7b9f1d-5454-4d32-9aa2-b60104dd57e8,3.1337,1.7794,1,3,123,125,3,360,360,731,0,0,0,0,0,0
6,1278,-127.8789,14.0534,-61.4231,14.0534,297b30ed-cf41-4380-8f4e-f715ae1a9891,14.0534,13.9451,1,2,141,69,2,360,360,727,0,0,0,0,0,0
7,685,-143.2197,14.0534,-53.5788,2.9285,297b30ed-cf41-4380-8f4e-f715ae1a9891,14.0534,13.9451,1,2,141,69,2,360,360,735,0,0,0,0,0,0
8,726,-144.0203,15.0317,-46.815,15.0317,397417f3-42a0-4b89-9335-e2de6f01d29d,15.0317,8.6913,1,2,141,71,2,360,360,728,0,0,0,0,0,0
9,782,-120.6857,19.5147,-41.5719,19.5147,d65ef037-c4d9-4863-b813-984df3dea015,19.5147,6.3718,1,2,142,71,2,360,360,723,0,0,0,0,0,0
10,738,-134.0781,19.5147,-40.535,14.1708,d65ef037-c4d9-4863-b813-984df3dea015,19.5147,6.3718,1,2,142,71,2,360,360,720,0,0,0,0,0,0
11,447,-143.7695,19.5147,-50.5339,5.5057,d65ef037-c4d9-4863-b813-984df3dea015,19.5147,6.3718,1,2,142,71,2,360,360,891,0,0,0,0,0,0
12,680,-143.3418,19.5147,-35.8768,12.971,d65ef037-c4d9-4863-b813-984df3dea015,19.5147,6.3718,1,2,142,71,2,360,360,745,0,0,0,0,0,0
13,719,-131.9494,19.5147,-30.0051,19.152,d65ef037-c4d9-4863-b813-984df3dea015,19.5147,6.3718,1,2,142,71,2,360,360,734,0,0,0,0,0,0
14,767,-121.8354,28.0891,-24.2023,28.0891,0872c4df-7dc7-4e5e-99a2-5bc0adb766b1,28.0891,15.2975,1,2,141,71,2,360,360,724,0,0,0,0,0,0
15,680,-135.656,28.0891,-24.9585,25.977,0872c4df-7dc7-4e5e-99a2-5bc0adb766b1,28.0891,15.2975,1,2,141,71,2,360,360,661,0,0,0,0,0,0
16,413,-156.5883,28.0891,-41.1308,9.9074,0872c4df-7dc7-4e5e-99a2-5bc0adb766b1,28.0891,15.2975,1,2,141,71,2,360,360,855,0,0,0,0,0,0
17,690,-151.6643,28.0891,-20.6789,25.5938,0872c4df-7dc7-4e5e-99a2-5bc0adb766b1,28.0891,15.2975,1,2,141,71,2,360,360,672,0,0,0,0,0,0
18,652,-144.2541,28.0891,-18.9382,22.5708,0872c4df-7dc7-4e5e-99a2-5bc0adb766b1,28.0891,15.2975,1,2,141,71,2,360,360,695,0,0,0,0,0,0
