gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,1046,-213.595,-14.1752,-113.6979,-14.1752,2085cbbe-4309-4c80-930c-ee88f2ff3fa7,-14.1752,0.969,1,2,113,55,2,360,360,720,0,0,0,0,0,0
1,482,-141.148,-14.1752,-104.2449,-21.6161,2085cbbe-4309-4c80-930c-ee88f2ff3fa7,-14.1752,0.969,1,2,113,55,2,360,360,670,0,0,0,0,0,0
2,609,-127.361,-14.1752,-95.3274,-14.8755,2085cbbe-4309-4c80-930c-ee88f2ff3fa7,-14.1752,0.969,1,2,113,55,2,360,360,664,0,0,0,0,0,0
3,794,-156.0886,-14.1752,-86.4736,-17.351,2085cbbe-4309-4c80-930c-ee88f2ff3fa7,-14.1752,0.969,1,2,113,55,2,360,360,689,0,0,0,0,0,0
4,1002,-165.3246,-4.5086,-78.1149,-4.5086,b15ddb80-4159-408f-89ab-117fbef126b7,-4.5086,0.0401,1,3,181,147,3,360,360,720,0,0,0,0,0,0
5,1258,-132.6876,-4.5086,-67.9575,-8.2349,b15ddb80-4159-408f-89ab-117fbef126b7,-4.5086,0.0401,1,3,181,147,3,360,360,670,0,0,0,0,0,0
6,1166,-131.3981,-4.4344,-62.3199,-4.4344,25382f50-32f1-4137-9710-1a1b46ab32b4,-4.4344,0.068,1,3,181,147,3,360,360,740,0,0,0,0,0,0
7,727,-124.2011,-4.4344,-51.3992,-12.3548,25382f50-32f1-4137-9710-1a1b46ab32b4,-4.4344,0.068,1,3,181,147,3,360,360,722,0,0,0,0,0,0
8,724,-166.0418,-1.4216,-44.3389,-1.4216,8d613fe6-2a0e-4835-85a2-0a331fd50ca3,-1.4216,7.8948,1,4,350,242,4,360,360,746,0,0,0,0,0,0
9,857,-124.1975,-1.4216,-34.7469,-3.7243,8d613fe6-2a0e-4835-85a2-0a331fd50ca3,-1.4216,7.8948,1,4,350,242,4,360,360,752,0,0,0,0,0,0
10,696,-122.855,-1.4216,-35.5497,-4.1699,8d613fe6-2a0e-4835-85a2-0a331fd50ca3,-1.4216,7.8948,1,4,350,242,4,360,360,779,0,0,0,0,0,0
11,416,-153.3398,6.9688,-48.4184,6.9688,e4ee85b0-1990-4b1b-bf89-99f0d561caaa,6.9688,1.4352,1,4,245,130,4,360,360,948,0,0,0,0,0,0
12,771,-140.3523,6.9688,-27.0773,2.6644,e4ee85b0-1990-4b1b-bf89-99f0d561caaa,6.9688,1.4352,1,4,245,130,4,360,360,826,0,0,0,0,0,0
13,846,-123.3983,6.9688,-23.7377,2.3596,e4ee85b0-1990-4b1b-bf89-99f0d561caaa,6.9688,1.4352,1,4,245,130,4,360,360,793,0,0,0,0,0,0
14,820,-126.3924,6.9688,-22.8434,2.1741,e4ee85b0-1990-4b1b-bf89-99f0d561caaa,6.9688,1.4352,1,4,245,130,4,360,360,780,0,0,0,0,0,0
