gen,gen_time,fitness_min,fitness_max,fitness_avg,champ_id,champ_mean,champ_std,champ_teams,champ_learners,champ_instructions,champ_act_instructions,champ_real_acts,pop_roots,pop_teams,pop_learners
0,41.75016760826111,-219.54674066266927,-36.187573875958556,-110.91232539034621,7feb726a-bf85-4e2f-a9d5-35c83843ecd9,-36.187573875958556,0.5710670751049071,1,2,44,47,2,360,360,720
1,28.451172590255737,-154.28227602885653,-35.62595007075595,-100.8094816777422,6789f782-6c06-43cc-957d-1eab7fb1b0b3,-35.62595007075595,0.5614720995134419,1,2,44,46,2,326,360,632
2,46.20255255699158,-134.761545734266,-35.62595007075595,-92.92378240242853,6789f782-6c06-43cc-957d-1eab7fb1b0b3,-35.62595007075595,0.5614720995134419,1,2,44,46,2,313,360,587
3,37.878679037094116,-140.73222060156905,-35.5688919407479,-88.23382947286687,e501cde5-ce02-400c-8f9f-6f05c60cabd0,-35.5688919407479,0.25232400613472644,1,3,76,86,3,303,360,607
4,54.11071848869324,-140.43974340704017,-3.8041185255853947,-77.98139759232355,c5fee263-d117-4897-81ae-b991f16ba1ff,-3.8041185255853947,2.6773468838705456,1,2,41,57,2,299,360,614
5,68.78821587562561,-119.72347235058237,-3.8041185255853947,-64.78485657308771,c5fee263-d117-4897-81ae-b991f16ba1ff,-3.8041185255853947,2.6773468838705456,1,2,41,57,2,297,360,602
6,73.2452986240387,-116.3314651396528,1.7651539822379796,-54.767362762093626,77710e3c-82df-470e-a5c2-14fb4e9dbec5,1.7651539822379796,2.599421464580167,1,2,53,14,2,285,360,631
7,73.92234802246094,-118.42104360678589,2.432054751809008,-48.77561684852168,6d17c846-f19c-4036-956e-f6b2c6ca0b1b,2.432054751809008,0.535391233543185,2,5,141,88,4,288,360,623
8,74.00170707702637,-165.71750802075834,2.432054751809008,-47.298442914226186,6d17c846-f19c-4036-956e-f6b2c6ca0b1b,2.432054751809008,0.535391233543185,2,5,141,88,4,283,360,622
9,73.88342618942261,-187.94902602928286,2.432054751809008,-44.438068325377365,6d17c846-f19c-4036-956e-f6b2c6ca0b1b,2.432054751809008,0.535391233543185,2,5,141,88,4,278,360,627
10,78.02997255325317,-151.80218153329858,2.432054751809008,-40.7916595306405,6d17c846-f19c-4036-956e-f6b2c6ca0b1b,2.432054751809008,0.535391233543185,2,5,141,88,4,281,360,652
11,56.053237199783325,-151.58292083750334,2.432054751809008,-50.52524246934666,6d17c846-f19c-4036-956e-f6b2c6ca0b1b,2.432054751809008,0.535391233543185,2,5,141,88,4,263,360,775
12,70.32535910606384,-132.40250437555298,2.432054751809008,-38.912546616700666,6d17c846-f19c-4036-956e-f6b2c6ca0b1b,2.432054751809008,0.535391233543185,2,5,141,88,4,281,360,674
13,72.40158414840698,-129.22486412997696,2.432054751809008,-35.30287029499466,6d17c846-f19c-4036-956e-f6b2c6ca0b1b,2.432054751809008,0.535391233543185,2,5,141,88,4,282,360,668
