gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,334,-180.7584,-39.4126,-112.9813,-39.4126,42d0b603-143a-4bca-94b2-3a49dba7e9ee,-39.4126,0.319,1,2,6,108,2,360,360,720,-1,-1,0,0,0,0
1,1,208,-154.9812,-39.4126,-104.3986,-39.784,42d0b603-143a-4bca-94b2-3a49dba7e9ee,-39.4126,0.319,1,2,6,108,2,360,410,750,-1,-1,0,0,0,0
2,2,218,-168.3945,-19.3353,-98.3956,-19.3353,7b12e8b4-52cc-478d-afae-535e55b0ab46,-19.3353,8.092,1,3,133,351,3,360,424,777,-1,-1,0,0,0,0
3,3,194,-140.2046,-13.9445,-91.7377,-13.9445,80e76535-63dd-429c-ae4b-c501b3d0788b,-13.9445,0.8267,1,2,84,19,2,360,423,765,-1,-1,0,0,0,0
4,4,316,-141.2872,-8.2056,-84.9556,-8.2056,3879a5e4-2c05-4741-8314-4fc6c3406755,-8.2056,7.0695,2,4,239,262,3,360,432,794,-1,-1,0,0,0,0
5,5,400,-127.2193,-0.4458,-77.7809,-0.4458,511a896f-7376-4a36-a894-58d53a1cc346,-0.4458,8.3836,3,7,497,328,5,361,449,835,-1,-1,0,0,0,0
6,6,406,-170.9189,-0.4458,-72.1531,-6.8771,511a896f-7376-4a36-a894-58d53a1cc346,-0.4458,8.3836,3,7,497,328,5,361,470,883,-1,-1,0,0,0,0
7,7,412,-140.0378,-0.4458,-62.7982,-7.4684,511a896f-7376-4a36-a894-58d53a1cc346,-0.4458,8.3836,3,7,497,328,5,361,455,854,-1,-1,0,0,0,0
8,8,478,-130.5607,-0.4458,-55.5605,-3.5332,511a896f-7376-4a36-a894-58d53a1cc346,-0.4458,8.3836,3,7,497,328,5,360,455,849,-1,-1,0,0,0,0
9,9,531,-149.8859,-0.4458,-47.6282,-7.1762,511a896f-7376-4a36-a894-58d53a1cc346,-0.4458,8.3836,3,7,497,328,5,360,460,859,-1,-1,0,0,0,0
10,10,524,-161.4883,1.4817,-44.8415,1.4817,5f039096-9cf6-49e9-8d3a-de82d1cae677,1.4817,5.7013,2,5,221,118,4,361,468,876,-1,-1,0,0,0,0
11,11,430,-224.4087,2.4333,-60.2468,2.4333,2edc4fa5-0e9c-451e-959d-aa96249b07f1,2.4333,5.7551,1,4,194,31,4,360,515,1225,-1,-1,0,0,0,0
12,12,435,-166.6609,7.349,-38.0668,7.349,5a3f539e-7993-4572-9f8f-27f87e82a3ec,7.349,9.2475,1,4,194,31,4,361,489,1004,-1,-1,0,0,0,0
