gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,354,-206.7623,-30.1072,-114.4076,-30.1072,3e487c1b-1874-4879-aca7-452979d6c404,-30.1072,22.1832,1,2,121,129,2,360,360,720,-1,-1,0,0,0,0
1,1,230,-196.7971,-6.887,-106.0045,-6.887,6a71cc7d-cb6c-48bc-a330-4568d2aee449,-6.887,93.266,1,2,70,199,2,360,414,739,-1,-1,0,0,0,0
2,2,241,-140.0482,-6.887,-99.8234,-40.9391,6a71cc7d-cb6c-48bc-a330-4568d2aee449,-6.887,93.266,1,2,70,199,2,360,426,755,-1,-1,0,0,0,0
3,3,259,-132.4662,-6.887,-92.9608,-7.9165,6a71cc7d-cb6c-48bc-a330-4568d2aee449,-6.887,93.266,1,2,70,199,2,360,430,774,-1,-1,0,0,0,0
4,4,338,-146.9052,0.907,-87.4943,0.907,06958bc3-bc4c-4a4a-b710-99b9a56f4014,0.907,4.2112,2,5,398,99,4,360,444,780,-1,-1,0,0,0,0
5,5,396,-135.2944,0.907,-82.8011,-0.301,06958bc3-bc4c-4a4a-b710-99b9a56f4014,0.907,4.2112,2,5,398,99,4,360,459,839,-1,-1,0,0,0,0
6,6,451,-122.0833,0.907,-74.2873,-3.4957,06958bc3-bc4c-4a4a-b710-99b9a56f4014,0.907,4.2112,2,5,398,99,4,361,454,864,-1,-1,0,0,0,0
7,7,450,-157.4725,0.907,-70.3592,-0.149,06958bc3-bc4c-4a4a-b710-99b9a56f4014,0.907,4.2112,2,5,398,99,4,361,473,951,-1,-1,0,0,0,0
8,8,414,-167.4087,3.7105,-63.0092,3.7105,9767b568-d568-4ea8-a79b-bf7d5b6e3767,3.7105,1.2259,1,2,125,104,2,361,471,978,-1,-1,0,0,0,0
9,9,500,-149.1743,15.0889,-57.74,15.0889,42ee5143-29c9-496f-b7d9-c7e5f0799576,15.0889,7.6287,1,2,199,90,2,360,485,1021,-1,-1,0,0,0,0
10,10,445,-188.3015,37.04,-49.456,37.04,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,473,1017,-1,-1,0,0,0,0
11,11,411,-176.0095,37.04,-60.0156,3.004,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,361,496,1246,-1,-1,0,0,0,0
12,12,419,-178.5172,37.04,-41.3985,18.9763,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,480,1075,-1,-1,0,0,0,0
13,13,510,-176.4489,37.04,-36.7431,27.1896,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,486,1092,-1,-1,0,0,0,0
14,14,527,-165.7728,37.04,-30.7601,29.6753,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,486,1069,-1,-1,0,0,0,0
15,15,539,-166.829,37.04,-30.0221,16.5722,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,494,1067,-1,-1,0,0,0,0
16,16,411,-165.1625,37.04,-42.8252,19.468,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,510,1264,-1,-1,0,0,0,0
17,17,443,-180.6528,37.04,-21.8461,27.2077,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,487,1067,-1,-1,0,0,0,0
18,18,568,-164.5895,37.04,-22.3546,20.3329,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,495,1100,-1,-1,0,0,0,0
19,19,488,-155.2306,37.04,-19.4387,28.4957,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,488,1077,-1,-1,0,0,0,0
20,20,528,-176.3296,37.04,-17.6812,28.1757,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,480,1011,-1,-1,0,0,0,0
21,21,445,-178.2217,37.04,-43.7656,12.7464,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,510,1223,-1,-1,0,0,0,0
22,22,427,-146.2945,37.04,-15.9234,26.5791,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,478,986,-1,-1,0,0,0,0
23,23,478,-158.4346,37.04,-16.1466,36.5097,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,467,940,-1,-1,0,0,0,0
24,24,524,-157.7012,37.04,-11.9842,28.1526,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,361,468,926,-1,-1,0,0,0,0
25,25,472,-149.5237,37.04,-12.3106,27.8789,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,452,903,-1,-1,0,0,0,0
26,26,410,-189.2,37.04,-45.1147,10.4372,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,502,1212,-1,-1,0,0,0,0
27,27,410,-149.9323,37.04,-13.1886,25.1251,602be99f-786d-4bdd-a46d-66862295bcb7,37.04,5.177,1,2,199,90,2,360,470,988,-1,-1,0,0,0,0
28,28,440,-126.0116,46.2879,-8.3617,46.2879,48312303-a11d-48fc-9818-05be72c45e3f,46.2879,3.9535,1,2,198,90,2,361,444,862,-1,-1,0,0,0,0
29,29,523,-122.864,46.2879,-11.0192,25.4498,48312303-a11d-48fc-9818-05be72c45e3f,46.2879,3.9535,1,2,198,90,2,360,443,822,-1,-1,0,0,0,0
30,30,476,-127.6482,49.8568,-12.0464,49.8568,e0953245-33e5-4af9-96b2-c8298960232e,49.8568,7.0733,1,2,199,90,2,361,439,767,-1,-1,0,0,0,0
31,31,391,-188.5797,49.8568,-44.0067,25.4028,e0953245-33e5-4af9-96b2-c8298960232e,49.8568,7.0733,1,2,199,90,2,360,479,1049,-1,-1,0,0,0,0
32,32,395,-153.6432,70.607,-6.9931,70.607,6efb90ac-3482-4f80-803a-d5a731c43e80,70.607,6.6952,1,2,199,91,2,361,439,819,-1,-1,0,0,0,0
33,33,449,-161.7973,70.607,-10.0012,35.9853,6efb90ac-3482-4f80-803a-d5a731c43e80,70.607,6.6952,1,2,199,91,2,361,428,750,-1,-1,0,0,0,0
34,34,508,-190.9448,70.607,-10.6448,63.9917,6efb90ac-3482-4f80-803a-d5a731c43e80,70.607,6.6952,1,2,199,91,2,360,431,740,-1,-1,0,0,0,0
35,35,502,-154.8737,70.607,-6.3202,69.5599,6efb90ac-3482-4f80-803a-d5a731c43e80,70.607,6.6952,1,2,199,91,2,361,431,714,-1,-1,0,0,0,0
36,36,393,-185.7145,70.607,-40.8104,38.9012,6efb90ac-3482-4f80-803a-d5a731c43e80,70.607,6.6952,1,2,199,91,2,360,470,1018,-1,-1,0,0,0,0
37,37,428,-155.4003,79.546,-4.7045,79.546,33caf6d0-bda5-4484-8074-e6297aed1431,79.546,6.8895,1,2,197,90,2,360,450,797,-1,-1,0,0,0,0
38,38,528,-137.3711,79.546,-2.8427,62.7349,33caf6d0-bda5-4484-8074-e6297aed1431,79.546,6.8895,1,2,197,90,2,360,452,799,-1,-1,0,0,0,0
39,39,518,-153.866,79.546,-0.0043,76.547,33caf6d0-bda5-4484-8074-e6297aed1431,79.546,6.8895,1,2,197,90,2,361,461,819,-1,-1,0,0,0,0
40,40,484,-162.2928,100.1804,-0.1775,100.1804,aba35d79-4aa4-47cb-bdbb-61d44fbc0635,100.1804,12.5837,1,2,197,90,2,361,461,855,-1,-1,0,0,0,0
41,41,398,-206.2417,100.1804,-30.2175,71.4285,aba35d79-4aa4-47cb-bdbb-61d44fbc0635,100.1804,12.5837,1,2,197,90,2,361,493,1089,-1,-1,0,0,0,0
42,42,381,-155.7898,100.1804,10.8263,81.7903,aba35d79-4aa4-47cb-bdbb-61d44fbc0635,100.1804,12.5837,1,2,197,90,2,361,452,871,-1,-1,0,0,0,0
43,43,502,-159.962,100.1804,3.9448,96.8422,aba35d79-4aa4-47cb-bdbb-61d44fbc0635,100.1804,12.5837,1,2,197,90,2,360,457,880,-1,-1,0,0,0,0
44,44,462,-174.4031,100.1804,11.7654,96.7953,aba35d79-4aa4-47cb-bdbb-61d44fbc0635,100.1804,12.5837,1,2,197,90,2,360,445,853,-1,-1,0,0,0,0
45,45,501,-175.8194,100.9149,11.246,100.9149,1ebb5ee0-adb1-4946-bc99-22b2e81c7e58,100.9149,13.5922,2,5,480,232,4,360,447,831,-1,-1,0,0,0,0
46,46,372,-177.6693,100.9149,-31.2736,92.1278,1ebb5ee0-adb1-4946-bc99-22b2e81c7e58,100.9149,13.5922,2,5,480,232,4,360,495,1147,-1,-1,0,0,0,0
47,47,389,-151.6585,100.9149,13.3219,96.1199,1ebb5ee0-adb1-4946-bc99-22b2e81c7e58,100.9149,13.5922,2,5,480,232,4,360,464,917,-1,-1,0,0,0,0
48,48,403,-146.6908,100.9149,12.9127,98.7567,1ebb5ee0-adb1-4946-bc99-22b2e81c7e58,100.9149,13.5922,2,5,480,232,4,360,450,897,-1,-1,0,0,0,0
49,49,523,-166.5471,100.9149,19.5844,89.3458,1ebb5ee0-adb1-4946-bc99-22b2e81c7e58,100.9149,13.5922,2,5,480,232,4,360,460,897,-1,-1,0,0,0,0
50,50,415,-136.6272,100.9149,26.6528,100.6004,1ebb5ee0-adb1-4946-bc99-22b2e81c7e58,100.9149,13.5922,2,5,480,232,4,361,444,859,-1,-1,0,0,0,0
51,51,312,-166.2374,100.9149,-22.1041,85.4765,1ebb5ee0-adb1-4946-bc99-22b2e81c7e58,100.9149,13.5922,2,5,480,232,4,360,480,1126,-1,-1,0,0,0,0
52,52,389,-156.6822,103.1773,25.965,103.1773,d7b8803e-67e9-48e3-bc42-69a74410e161,103.1773,11.1461,1,2,199,89,2,361,451,891,-1,-1,0,0,0,0
53,53,443,-153.066,103.1773,24.809,98.8722,d7b8803e-67e9-48e3-bc42-69a74410e161,103.1773,11.1461,1,2,199,89,2,360,445,889,-1,-1,0,0,0,0
54,54,389,-157.5364,103.1773,28.617,95.4666,d7b8803e-67e9-48e3-bc42-69a74410e161,103.1773,11.1461,1,2,199,89,2,360,437,856,-1,-1,0,0,0,0
55,55,402,-121.2811,115.3597,28.1288,115.3597,378123ab-dd27-43f7-a434-3524b542e6b8,115.3597,8.7205,1,2,198,89,2,360,429,845,-1,-1,0,0,0,0
