gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,350,-189.8814,-37.9472,-113.1568,-37.9472,df3caf2e-212a-4248-bb7d-d1bb6f06a75f,-37.9472,1.406,1,2,14,133,2,360,360,720,-1,-1,0,0,0,0
1,1,234,-158.1925,4.9446,-104.7396,4.9446,ade009a8-a86c-45dc-9ce5-85b421b98d8b,4.9446,1.5035,1,2,82,33,2,360,413,735,-1,-1,0,0,0,0
2,2,242,-152.5262,4.9446,-99.0014,-23.1875,ade009a8-a86c-45dc-9ce5-85b421b98d8b,4.9446,1.5035,1,2,82,33,2,360,420,750,-1,-1,0,0,0,0
3,3,284,-147.2919,4.9446,-91.5399,-4.4984,ade009a8-a86c-45dc-9ce5-85b421b98d8b,4.9446,1.5035,1,2,82,33,2,360,434,786,-1,-1,0,0,0,0
4,4,359,-191.1274,6.3042,-84.8428,6.3042,9aada65d-7156-45c2-97b2-5840d49259e7,6.3042,0.8603,1,2,83,33,2,360,449,866,-1,-1,0,0,0,0
5,5,385,-223.7355,6.3042,-77.1657,0.2087,9aada65d-7156-45c2-97b2-5840d49259e7,6.3042,0.8603,1,2,83,33,2,360,443,846,-1,-1,0,0,0,0
6,6,455,-151.4847,6.3042,-71.1793,5.0906,9aada65d-7156-45c2-97b2-5840d49259e7,6.3042,0.8603,1,2,83,33,2,360,458,879,-1,-1,0,0,0,0
7,7,440,-152.7565,6.804,-60.4278,6.804,34a94929-7635-4914-b61b-dbc93aa73ec2,6.804,0.7853,1,2,83,33,2,360,447,888,-1,-1,0,0,0,0
8,8,538,-134.6117,6.804,-54.9849,6.7724,34a94929-7635-4914-b61b-dbc93aa73ec2,6.804,0.7853,1,2,83,33,2,360,464,911,-1,-1,0,0,0,0
9,9,458,-182.4268,6.804,-47.5943,6.1095,34a94929-7635-4914-b61b-dbc93aa73ec2,6.804,0.7853,1,2,83,33,2,360,452,850,-1,-1,0,0,0,0
