gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,383,-217.5198,-22.2189,-114.5223,-22.2189,6986207b-e471-45a4-bc37-6386e129e898,-22.2189,3.5789,1,2,45,53,2,360,360,720,-1,-1,0,0,0,0
1,1,231,-150.2782,-7.2189,-104.9722,-7.2189,3cd9c253-50fe-4eed-a063-8b0103dae327,-7.2189,2.5537,2,5,275,108,4,360,409,726,-1,-1,0,0,0,0
2,2,295,-133.1593,-7.2189,-99.2172,-27.0296,3cd9c253-50fe-4eed-a063-8b0103dae327,-7.2189,2.5537,2,5,275,108,4,360,442,808,-1,-1,0,0,0,0
3,3,293,-140.1323,-7.2189,-92.9872,-21.4011,3cd9c253-50fe-4eed-a063-8b0103dae327,-7.2189,2.5537,2,5,275,108,4,360,449,827,-1,-1,0,0,0,0
4,4,341,-190.005,0.4035,-86.1226,0.4035,45b905e7-fe9c-4acf-9e7f-fdd59286e16c,0.4035,3.4177,1,2,64,109,2,360,451,835,-1,-1,0,0,0,0
5,5,413,-197.9526,0.4035,-80.0853,0.2885,45b905e7-fe9c-4acf-9e7f-fdd59286e16c,0.4035,3.4177,1,2,64,109,2,360,462,912,-1,-1,0,0,0,0
6,6,382,-122.7451,0.4035,-72.5821,-1.6232,45b905e7-fe9c-4acf-9e7f-fdd59286e16c,0.4035,3.4177,1,2,64,109,2,360,458,892,-1,-1,0,0,0,0
7,7,449,-130.5027,1.1144,-63.3203,1.1144,73c52b0e-1545-4ce5-9401-9b78b84e936d,1.1144,0.9005,1,2,96,74,2,360,449,859,-1,-1,0,0,0,0
8,8,500,-163.8347,7.8046,-57.4481,7.8046,ec6c2acb-3dea-44af-a8a7-4d7c8a681499,7.8046,4.9054,1,3,266,81,3,360,463,913,-1,-1,0,0,0,0
9,9,466,-155.2033,7.8046,-50.8365,3.1873,ec6c2acb-3dea-44af-a8a7-4d7c8a681499,7.8046,4.9054,1,3,266,81,3,361,472,908,-1,-1,0,0,0,0
10,10,478,-202.1092,12.8577,-39.5474,12.8577,841ebceb-71cb-4e39-a869-5bb6246cc61d,12.8577,6.6331,2,6,525,204,5,361,459,858,-1,-1,0,0,0,0
11,11,462,-169.4672,17.6972,-52.0275,17.6972,7f067d3c-1f1d-4f6f-9d57-64fd05838fc9,17.6972,4.4388,2,5,418,64,4,361,495,1144,-1,-1,0,0,0,0
12,12,468,-148.9338,17.6972,-32.7116,6.0508,7f067d3c-1f1d-4f6f-9d57-64fd05838fc9,17.6972,4.4388,2,5,418,64,4,360,475,969,-1,-1,0,0,0,0
13,13,460,-164.1623,25.775,-30.2093,25.775,bba2362a-cd8b-44d2-8fd9-043866231adb,25.775,3.1646,1,2,174,31,2,360,462,916,-1,-1,0,0,0,0
14,14,507,-130.6757,25.775,-28.1038,14.6776,bba2362a-cd8b-44d2-8fd9-043866231adb,25.775,3.1646,1,2,174,31,2,360,464,922,-1,-1,0,0,0,0
15,15,477,-137.2762,25.775,-25.2423,19.4811,bba2362a-cd8b-44d2-8fd9-043866231adb,25.775,3.1646,1,2,174,31,2,360,467,933,-1,-1,0,0,0,0
16,16,339,-162.7194,25.775,-43.5587,14.0905,bba2362a-cd8b-44d2-8fd9-043866231adb,25.775,3.1646,1,2,174,31,2,360,484,1117,-1,-1,0,0,0,0
17,17,468,-132.5157,25.775,-21.9811,18.8062,bba2362a-cd8b-44d2-8fd9-043866231adb,25.775,3.1646,1,2,174,31,2,361,474,931,-1,-1,0,0,0,0
18,18,468,-156.8811,25.775,-20.7233,18.0127,bba2362a-cd8b-44d2-8fd9-043866231adb,25.775,3.1646,1,2,174,31,2,360,463,942,-1,-1,0,0,0,0
19,19,470,-124.8462,25.775,-19.7139,17.5171,bba2362a-cd8b-44d2-8fd9-043866231adb,25.775,3.1646,1,2,174,31,2,360,459,917,-1,-1,0,0,0,0
20,20,498,-124.7938,27.2314,-18.8469,27.2314,700f50d8-2736-4749-aaf7-e1a44ece2706,27.2314,4.5779,1,2,174,31,2,360,459,947,-1,-1,0,0,0,0
21,21,389,-164.1138,27.2314,-39.7459,26.5943,700f50d8-2736-4749-aaf7-e1a44ece2706,27.2314,4.5779,1,2,174,31,2,360,491,1193,-1,-1,0,0,0,0
22,22,447,-170.9232,28.364,-16.4695,28.364,6ed57f27-f43a-42a3-a527-bab9c579e7bf,28.364,0.8346,1,2,172,31,2,360,480,1030,-1,-1,0,0,0,0
23,23,461,-154.918,29.7834,-13.6998,29.7834,1612d604-cd61-4b66-9831-a0fcf7041710,29.7834,2.2101,1,3,248,39,3,360,464,976,-1,-1,0,0,0,0
24,24,531,-120.8409,29.7834,-17.0635,29.0921,1612d604-cd61-4b66-9831-a0fcf7041710,29.7834,2.2101,1,3,248,39,3,360,477,1001,-1,-1,0,0,0,0
25,25,455,-145.5185,29.7834,-14.2322,29.5229,1612d604-cd61-4b66-9831-a0fcf7041710,29.7834,2.2101,1,3,248,39,3,361,477,1021,-1,-1,0,0,0,0
