gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,368,-203.0748,-8.4424,-113.5237,-8.4424,624fc724-c1f0-4b9f-929c-ac8916725822,-8.4424,3.4588,1,2,81,61,2,360,360,720,-1,-1,0,0,0,0
1,1,206,-163.2436,-8.4424,-103.2795,-14.0741,624fc724-c1f0-4b9f-929c-ac8916725822,-8.4424,3.4588,1,2,81,61,2,360,406,710,-1,-1,0,0,0,0
2,2,295,-187.4672,-5.0085,-95.593,-5.0085,00a0f510-a733-43fa-9134-98266a38a41b,-5.0085,3.1795,1,2,167,118,2,360,426,759,-1,-1,0,0,0,0
3,3,299,-136.1169,-5.0085,-88.3912,-18.3855,00a0f510-a733-43fa-9134-98266a38a41b,-5.0085,3.1795,1,2,167,118,2,360,447,829,-1,-1,0,0,0,0
4,4,315,-133.4224,-4.2627,-80.1884,-4.2627,6daf276f-bd17-4af6-b8c7-07556bdf2c2f,-4.2627,0.5079,1,3,121,124,3,360,443,806,-1,-1,0,0,0,0
5,5,383,-140.5383,-4.2627,-72.8442,-6.0341,6daf276f-bd17-4af6-b8c7-07556bdf2c2f,-4.2627,0.5079,1,3,121,124,3,361,449,856,-1,-1,0,0,0,0
6,6,449,-151.6083,-2.9584,-62.5416,-2.9584,c726565f-b18e-441a-9506-b9df683021c4,-2.9584,1.4462,1,2,102,23,2,360,455,855,-1,-1,0,0,0,0
7,7,484,-119.3375,-2.9584,-55.4452,-5.9238,c726565f-b18e-441a-9506-b9df683021c4,-2.9584,1.4462,1,2,102,23,2,360,469,892,-1,-1,0,0,0,0
8,8,508,-142.4569,-2.9584,-42.3677,-3.4695,c726565f-b18e-441a-9506-b9df683021c4,-2.9584,1.4462,1,2,102,23,2,360,462,881,-1,-1,0,0,0,0
9,9,547,-121.3636,3.3972,-35.6542,3.3972,742bf770-57f4-4d2f-beaf-9d0ee92f4931,3.3972,5.3305,1,4,253,148,4,360,457,871,-1,-1,0,0,0,0
10,10,658,-158.5249,3.3972,-33.2054,1.5041,742bf770-57f4-4d2f-beaf-9d0ee92f4931,3.3972,5.3305,1,4,253,148,4,361,474,932,-1,-1,0,0,0,0
11,11,647,-169.2699,3.3972,-40.0814,-1.3516,742bf770-57f4-4d2f-beaf-9d0ee92f4931,3.3972,5.3305,1,4,253,148,4,360,508,1203,-1,-1,0,0,0,0
12,12,550,-140.8989,3.3972,-26.2474,0.0769,742bf770-57f4-4d2f-beaf-9d0ee92f4931,3.3972,5.3305,1,4,253,148,4,361,499,1064,-1,-1,0,0,0,0
13,13,581,-131.4043,3.3972,-22.9509,-0.381,742bf770-57f4-4d2f-beaf-9d0ee92f4931,3.3972,5.3305,1,4,253,148,4,361,492,1028,-1,-1,0,0,0,0
14,14,542,-149.8303,3.3972,-22.2126,-0.8211,742bf770-57f4-4d2f-beaf-9d0ee92f4931,3.3972,5.3305,1,4,253,148,4,361,479,986,-1,-1,0,0,0,0
15,15,683,-137.0266,3.3972,-15.4484,1.0558,742bf770-57f4-4d2f-beaf-9d0ee92f4931,3.3972,5.3305,1,4,253,148,4,361,485,1062,-1,-1,0,0,0,0
16,16,591,-137.9396,6.4762,-33.8751,6.4762,f25df4a9-8df0-4aa6-b817-c121c9a1f765,6.4762,2.4795,2,7,484,186,6,361,518,1314,-1,-1,0,0,0,0
17,17,571,-141.5883,6.4762,-15.4108,4.5956,f25df4a9-8df0-4aa6-b817-c121c9a1f765,6.4762,2.4795,2,7,484,186,6,360,501,1156,-1,-1,0,0,0,0
18,18,627,-120.8498,7.2785,-16.4685,7.2785,7caab329-30ec-459d-b96f-4ef83b5b58fc,7.2785,0.5927,1,2,221,129,2,361,509,1159,-1,-1,0,0,0,0
19,19,602,-153.0792,7.2785,-16.2653,4.9682,7caab329-30ec-459d-b96f-4ef83b5b58fc,7.2785,0.5927,1,2,221,129,2,360,512,1187,-1,-1,0,0,0,0
20,20,599,-121.2768,7.9286,-14.6532,7.9286,0c3d66e5-8009-4674-b862-44a3886a9b75,7.9286,0.3074,1,2,221,130,2,360,507,1194,-1,-1,0,0,0,0
21,21,582,-126.3497,7.9286,-28.7982,7.5202,0c3d66e5-8009-4674-b862-44a3886a9b75,7.9286,0.3074,1,2,221,130,2,360,532,1427,-1,-1,0,0,0,0
