gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,336,-217.0082,-60.2769,-115.7329,-60.2769,6dcd1902-9909-4b48-8bfe-73e7a41f72c1,-60.2769,2.0332,1,2,235,45,2,360,360,720,-1,-1,0,0,0,0
1,1,217,-151.3389,-49.5122,-106.3262,-49.5122,12561fb7-11ad-4104-81a7-318a3bed32d1,-49.5122,41.4266,2,4,385,67,3,360,427,757,-1,-1,0,0,0,0
2,2,175,-130.5443,-49.4566,-99.8279,-49.4566,57640dbf-69c7-4298-9359-e5abdfac3ae7,-49.4566,21.1406,1,3,169,129,3,360,417,719,-1,-1,0,0,0,0
3,3,234,-141.127,-9.1994,-94.6066,-9.1994,457f6afa-9f29-48b2-94b4-02c0d29654af,-9.1994,19.5787,2,4,385,67,3,360,437,792,-1,-1,0,0,0,0
4,4,293,-162.708,-7.0135,-88.5662,-7.0135,d3662a1b-f20f-4be9-a7c1-d773c01f0d23,-7.0135,2.3777,1,2,59,128,2,360,456,832,-1,-1,0,0,0,0
5,5,324,-143.6624,-7.0135,-82.4584,-13.4702,d3662a1b-f20f-4be9-a7c1-d773c01f0d23,-7.0135,2.3777,1,2,59,128,2,360,457,862,-1,-1,0,0,0,0
6,6,359,-132.4975,-7.0135,-78.0375,-14.1185,d3662a1b-f20f-4be9-a7c1-d773c01f0d23,-7.0135,2.3777,1,2,59,128,2,360,459,861,-1,-1,0,0,0,0
7,7,426,-149.6922,-2.7963,-71.087,-2.7963,848cc9a7-1698-480d-be52-2a8fbbeec504,-2.7963,3.128,3,7,534,172,5,360,468,860,-1,-1,0,0,0,0
8,8,367,-124.3326,1.3773,-67.9168,1.3773,d02ecc22-0e07-4866-aab7-85d10c321aa7,1.3773,1.0853,2,6,285,257,5,360,466,892,-1,-1,0,0,0,0
9,9,413,-127.7687,2.1476,-62.951,2.1476,0891b452-77f9-4a1d-bd0a-2c46af6be033,2.1476,3.3012,3,6,441,81,4,360,476,921,-1,-1,0,0,0,0
10,10,422,-132.3564,6.732,-56.5463,6.732,b2cbcb04-b26c-4c00-950b-55ac79e10b90,6.732,1.4049,1,2,214,41,2,360,476,913,-1,-1,0,0,0,0
11,11,398,-149.382,6.732,-64.9545,1.3826,b2cbcb04-b26c-4c00-950b-55ac79e10b90,6.732,1.4049,1,2,214,41,2,360,509,1196,-1,-1,0,0,0,0
12,12,424,-162.8974,6.732,-47.3532,6.2953,b2cbcb04-b26c-4c00-950b-55ac79e10b90,6.732,1.4049,1,2,214,41,2,360,499,1003,-1,-1,0,0,0,0
13,13,413,-122.0717,9.0862,-43.9376,9.0862,caec1a85-e859-4117-bc44-00125341e3ad,9.0862,2.3718,3,8,576,355,6,360,490,973,-1,-1,0,0,0,0
14,14,367,-133.6855,9.0862,-41.4396,5.8426,caec1a85-e859-4117-bc44-00125341e3ad,9.0862,2.3718,3,8,576,355,6,361,475,957,-1,-1,0,0,0,0
15,15,455,-123.8778,9.0862,-35.8328,8.1685,caec1a85-e859-4117-bc44-00125341e3ad,9.0862,2.3718,3,8,576,355,6,360,469,942,-1,-1,0,0,0,0
16,16,348,-161.2165,9.0862,-52.9055,5.1454,caec1a85-e859-4117-bc44-00125341e3ad,9.0862,2.3718,3,8,576,355,6,360,492,1172,-1,-1,0,0,0,0
17,17,416,-121.8453,9.0862,-30.4275,6.459,caec1a85-e859-4117-bc44-00125341e3ad,9.0862,2.3718,3,8,576,355,6,360,471,960,-1,-1,0,0,0,0
18,18,459,-125.0637,9.0862,-30.4927,7.2954,caec1a85-e859-4117-bc44-00125341e3ad,9.0862,2.3718,3,8,576,355,6,361,479,991,-1,-1,0,0,0,0
19,19,436,-135.6818,9.0862,-27.6118,6.8001,caec1a85-e859-4117-bc44-00125341e3ad,9.0862,2.3718,3,8,576,355,6,360,472,941,-1,-1,0,0,0,0
20,20,506,-200.2667,9.0862,-25.2644,6.965,caec1a85-e859-4117-bc44-00125341e3ad,9.0862,2.3718,3,8,576,355,6,360,469,958,-1,-1,0,0,0,0
21,21,409,-155.6006,38.3779,-38.079,38.3779,923ad8fd-c982-43ad-9c9f-c506c266274d,38.3779,12.4535,1,3,133,108,3,360,492,1207,-1,-1,0,0,0,0
22,22,422,-117.2595,38.3779,-21.2628,8.3322,923ad8fd-c982-43ad-9c9f-c506c266274d,38.3779,12.4535,1,3,133,108,3,360,480,1037,-1,-1,0,0,0,0
23,23,568,-134.7388,38.3779,-13.35,8.5528,923ad8fd-c982-43ad-9c9f-c506c266274d,38.3779,12.4535,1,3,133,108,3,360,480,1013,-1,-1,0,0,0,0
24,24,643,-118.0392,41.6916,-10.2997,41.6916,2886552a-0ceb-4c04-8593-03660d0b0e32,41.6916,10.8166,1,3,132,108,3,360,488,1017,-1,-1,0,0,0,0
25,25,475,-129.4224,41.6916,-6.3547,19.0682,2886552a-0ceb-4c04-8593-03660d0b0e32,41.6916,10.8166,1,3,132,108,3,360,453,876,-1,-1,0,0,0,0
26,26,590,-137.1756,41.6916,-28.0547,14.349,2886552a-0ceb-4c04-8593-03660d0b0e32,41.6916,10.8166,1,3,132,108,3,360,500,1187,-1,-1,0,0,0,0
27,27,510,-119.5503,41.6916,-2.0695,38.3298,2886552a-0ceb-4c04-8593-03660d0b0e32,41.6916,10.8166,1,3,132,108,3,360,470,970,-1,-1,0,0,0,0
28,28,685,-122.1625,41.6916,-3.2442,10.0311,2886552a-0ceb-4c04-8593-03660d0b0e32,41.6916,10.8166,1,3,132,108,3,361,480,1002,-1,-1,0,0,0,0
29,29,603,-124.7163,41.6916,-4.7204,20.9782,2886552a-0ceb-4c04-8593-03660d0b0e32,41.6916,10.8166,1,3,132,108,3,361,476,988,-1,-1,0,0,0,0
30,30,621,-136.4949,44.426,-4.9449,44.426,3a0e964d-f04a-4276-9546-8951db7e020c,44.426,7.0465,1,4,217,138,4,360,479,1019,-1,-1,0,0,0,0
31,31,591,-132.4308,45.313,-21.7688,45.313,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,361,511,1291,-1,-1,0,0,0,0
32,32,497,-117.4526,45.313,-2.5288,33.5634,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,360,479,1068,-1,-1,0,0,0,0
33,33,642,-149.6153,45.313,-3.8234,42.8534,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,360,482,1020,-1,-1,0,0,0,0
34,34,579,-119.4041,45.313,-1.9414,41.9239,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,360,480,1070,-1,-1,0,0,0,0
35,35,635,-115.9964,45.313,-4.7476,39.8283,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,360,490,1114,-1,-1,0,0,0,0
36,36,502,-150.2448,45.313,-26.4532,38.1422,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,360,514,1314,-1,-1,0,0,0,0
37,37,577,-120.4721,45.313,-0.7383,21.9341,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,360,495,1102,-1,-1,0,0,0,0
38,38,553,-123.5168,45.313,-2.597,37.7542,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,360,483,1071,-1,-1,0,0,0,0
39,39,600,-123.6245,45.313,-2.9539,40.5649,28f934ce-00a0-4c0c-acd5-24f307434169,45.313,6.4624,1,2,115,37,2,360,486,1098,-1,-1,0,0,0,0
40,40,596,-124.4139,49.8504,-4.612,49.8504,05248755-c8e6-4b55-bc31-de2f70d2fe84,49.8504,11.2848,1,2,116,38,2,360,492,1141,-1,-1,0,0,0,0
41,41,479,-148.8588,58.3845,-22.0259,58.3845,d35aa0fc-8b1d-46ab-82e0-d5480d809662,58.3845,58.5885,2,6,590,89,5,360,506,1328,-1,-1,0,0,0,0
42,42,497,-116.0743,58.3845,1.487,46.5333,d35aa0fc-8b1d-46ab-82e0-d5480d809662,58.3845,58.5885,2,6,590,89,5,360,480,1123,-1,-1,0,0,0,0
43,43,609,-118.2372,76.4597,2.428,76.4597,4b1b2e16-c93b-462f-a8ac-aec582213fb7,76.4597,13.3197,4,11,931,323,8,360,487,1125,-1,-1,0,0,0,0
44,44,604,-156.4526,76.4597,-1.364,47.2361,4b1b2e16-c93b-462f-a8ac-aec582213fb7,76.4597,13.3197,4,11,931,323,8,360,506,1188,-1,-1,0,0,0,0
45,45,546,-119.6478,76.4597,8.8501,45.052,4b1b2e16-c93b-462f-a8ac-aec582213fb7,76.4597,13.3197,4,11,931,323,8,361,486,1143,-1,-1,0,0,0,0
46,46,567,-150.7584,76.4597,-14.545,60.3396,4b1b2e16-c93b-462f-a8ac-aec582213fb7,76.4597,13.3197,4,11,931,323,8,361,515,1374,-1,-1,0,0,0,0
47,47,532,-122.1559,91.9023,13.5263,91.9023,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,361,495,1176,-1,-1,0,0,0,0
48,48,667,-184.2794,91.9023,15.3781,73.1801,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,509,1187,-1,-1,0,0,0,0
49,49,581,-115.3977,91.9023,16.305,67.0769,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,505,1182,-1,-1,0,0,0,0
50,50,641,-118.0866,91.9023,20.2856,82.1922,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,509,1231,-1,-1,0,0,0,0
51,51,555,-128.4093,91.9023,-8.0891,48.2046,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,537,1447,-1,-1,0,0,0,0
52,52,531,-120.8504,91.9023,25.0557,80.3158,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,512,1238,-1,-1,0,0,0,0
53,53,632,-119.8398,91.9023,21.9487,75.0103,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,513,1223,-1,-1,0,0,0,0
54,54,629,-120.0551,91.9023,21.7616,62.075,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,513,1206,-1,-1,0,0,0,0
55,55,602,-117.5758,91.9023,24.7158,61.9299,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,504,1173,-1,-1,0,0,0,0
56,56,634,-150.4869,91.9023,-15.3553,51.6472,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,361,552,1478,-1,-1,0,0,0,0
57,57,554,-118.3631,91.9023,22.9671,72.4401,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,538,1312,-1,-1,0,0,0,0
58,58,560,-150.4482,91.9023,25.0424,85.8599,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,517,1210,-1,-1,0,0,0,0
59,59,560,-120.4893,91.9023,21.3444,59.7311,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,516,1158,-1,-1,0,0,0,0
60,60,603,-121.4307,91.9023,25.6341,81.1796,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,508,1137,-1,-1,0,0,0,0
61,61,591,-150.4266,91.9023,-9.4663,67.8908,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,361,545,1432,-1,-1,0,0,0,0
62,62,557,-159.5271,91.9023,23.6816,88.5539,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,536,1252,-1,-1,0,0,0,0
63,63,588,-122.7811,91.9023,25.5801,67.6211,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,525,1216,-1,-1,0,0,0,0
64,64,634,-121.0467,91.9023,26.8615,87.1323,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,526,1216,-1,-1,0,0,0,0
65,65,561,-121.2961,91.9023,24.6347,88.3767,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,513,1169,-1,-1,0,0,0,0
66,66,562,-129.8096,91.9023,-4.7257,79.4884,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,542,1418,-1,-1,0,0,0,0
67,67,533,-150.0284,91.9023,29.2994,72.7331,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,520,1189,-1,-1,0,0,0,0
68,68,571,-120.8151,91.9023,25.7784,90.0538,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,518,1190,-1,-1,0,0,0,0
69,69,606,-122.0884,91.9023,30.595,83.8273,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,517,1197,-1,-1,0,0,0,0
70,70,568,-119.5817,91.9023,32.2708,85.0651,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,505,1161,-1,-1,0,0,0,0
71,71,611,-136.7093,91.9023,-5.1593,74.8657,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,549,1451,-1,-1,0,0,0,0
72,72,562,-122.4745,91.9023,29.9993,79.3059,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,361,535,1273,-1,-1,0,0,0,0
73,73,564,-117.3918,91.9023,31.4783,83.1758,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,528,1238,-1,-1,0,0,0,0
74,74,509,-122.3141,91.9023,32.5383,85.4275,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,510,1208,-1,-1,0,0,0,0
75,75,576,-119.3063,91.9023,36.1508,90.8892,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,502,1199,-1,-1,0,0,0,0
76,76,597,-154.871,91.9023,-2.3945,77.0019,13d8991f-43ab-4946-80f7-446d39f76924,91.9023,9.5968,4,12,921,242,9,360,548,1469,-1,-1,0,0,0,0
77,77,546,-120.8684,93.0186,33.0645,93.0186,53919e57-482c-4bf7-ac05-1e1a911075cf,93.0186,8.2954,1,4,378,71,4,360,534,1288,-1,-1,0,0,0,0
78,78,530,-124.7654,93.0186,41.0289,89.2065,53919e57-482c-4bf7-ac05-1e1a911075cf,93.0186,8.2954,1,4,378,71,4,360,516,1209,-1,-1,0,0,0,0
79,79,669,-117.4332,93.0186,41.4458,91.9119,53919e57-482c-4bf7-ac05-1e1a911075cf,93.0186,8.2954,1,4,378,71,4,360,524,1204,-1,-1,0,0,0,0
80,80,537,-123.3896,93.0186,45.7467,88.4023,53919e57-482c-4bf7-ac05-1e1a911075cf,93.0186,8.2954,1,4,378,71,4,360,500,1182,-1,-1,0,0,0,0
81,81,522,-149.3904,93.0186,2.8098,82.8891,53919e57-482c-4bf7-ac05-1e1a911075cf,93.0186,8.2954,1,4,378,71,4,360,524,1392,-1,-1,0,0,0,0
82,82,560,-120.9539,93.0186,36.1581,87.8913,53919e57-482c-4bf7-ac05-1e1a911075cf,93.0186,8.2954,1,4,378,71,4,360,524,1279,-1,-1,0,0,0,0
83,83,573,-116.918,93.0186,44.3349,88.5833,53919e57-482c-4bf7-ac05-1e1a911075cf,93.0186,8.2954,1,4,378,71,4,360,514,1210,-1,-1,0,0,0,0
84,84,603,-146.5464,93.483,41.6356,93.483,569166e3-3828-4db2-a8a7-4bda95c470e5,93.483,6.3238,1,3,200,64,3,360,515,1204,-1,-1,0,0,0,0
85,85,579,-125.6317,93.483,41.8626,93.4604,569166e3-3828-4db2-a8a7-4bda95c470e5,93.483,6.3238,1,3,200,64,3,360,511,1212,-1,-1,0,0,0,0
86,86,546,-121.2297,93.483,10.2435,85.0775,569166e3-3828-4db2-a8a7-4bda95c470e5,93.483,6.3238,1,3,200,64,3,360,537,1415,-1,-1,0,0,0,0
87,87,621,-131.4041,99.5435,44.2866,99.5435,c0465c6f-4cd3-4155-b7d6-c5eb825ce775,99.5435,5.9532,3,10,800,217,8,361,536,1286,-1,-1,0,0,0,0
88,88,507,-120.0398,99.5435,47.6989,88.9123,c0465c6f-4cd3-4155-b7d6-c5eb825ce775,99.5435,5.9532,3,10,800,217,8,360,512,1194,-1,-1,0,0,0,0
89,89,611,-123.0485,99.5435,47.6664,85.2459,c0465c6f-4cd3-4155-b7d6-c5eb825ce775,99.5435,5.9532,3,10,800,217,8,360,517,1202,-1,-1,0,0,0,0
90,90,569,-119.2204,99.5435,49.5054,94.964,c0465c6f-4cd3-4155-b7d6-c5eb825ce775,99.5435,5.9532,3,10,800,217,8,360,504,1154,-1,-1,0,0,0,0
91,91,525,-130.9748,99.5435,12.7774,87.2372,c0465c6f-4cd3-4155-b7d6-c5eb825ce775,99.5435,5.9532,3,10,800,217,8,361,521,1370,-1,-1,0,0,0,0
92,92,556,-122.9414,99.5435,49.6618,91.9642,c0465c6f-4cd3-4155-b7d6-c5eb825ce775,99.5435,5.9532,3,10,800,217,8,360,505,1189,-1,-1,0,0,0,0
93,93,597,-124.1152,101.2186,50.8262,101.2186,331074ce-9b02-4299-a099-baf2bec2caad,101.2186,8.8,3,9,617,207,7,360,502,1197,-1,-1,0,0,0,0
