gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,366,-191.1145,-12.2219,-112.7513,-12.2219,c3d2c1ab-e7f2-499b-ab73-28e8975c8e71,-12.2219,4.5422,1,2,129,62,2,360,360,720,-1,-1,0,0,0,0
1,1,261,-136.8443,-12.2219,-103.2641,-15.1358,c3d2c1ab-e7f2-499b-ab73-28e8975c8e71,-12.2219,4.5422,1,2,129,62,2,360,412,715,-1,-1,0,0,0,0
2,2,263,-155.7657,-2.958,-95.6613,-2.958,863fe17f-fde9-4034-957b-27e4e32744f3,-2.958,0.0451,1,3,237,108,3,360,423,739,-1,-1,0,0,0,0
3,3,356,-144.9018,-2.9131,-88.3114,-2.9131,b3d5956d-bd85-4835-ad0f-6a87b6bd2bfe,-2.9131,0.0454,1,3,237,107,3,361,448,779,-1,-1,0,0,0,0
4,4,336,-179.1697,-2.9131,-78.321,-2.9625,b3d5956d-bd85-4835-ad0f-6a87b6bd2bfe,-2.9131,0.0454,1,3,237,107,3,360,435,757,-1,-1,0,0,0,0
5,5,470,-159.269,1.4596,-67.9564,1.4596,b12f4659-990d-4407-aa62-7c112af4d47c,1.4596,2.1086,5,13,902,314,9,360,437,770,-1,-1,0,0,0,0
6,6,499,-142.4003,1.4596,-57.8783,-2.8753,b12f4659-990d-4407-aa62-7c112af4d47c,1.4596,2.1086,5,13,902,314,9,361,453,815,-1,-1,0,0,0,0
7,7,452,-129.5706,5.0635,-50.8822,5.0635,58d21dfe-1d95-4266-bebf-98785b0cc32d,5.0635,0.7487,2,4,300,151,3,361,452,834,-1,-1,0,0,0,0
8,8,555,-142.2133,5.0635,-42.0768,2.3669,58d21dfe-1d95-4266-bebf-98785b0cc32d,5.0635,0.7487,2,4,300,151,3,360,454,850,-1,-1,0,0,0,0
9,9,558,-154.5102,6.9438,-38.8881,6.9438,339b8ed1-e97c-4c8e-b3ed-f1e4994f84b1,6.9438,0.2032,2,5,230,154,4,360,471,889,-1,-1,0,0,0,0
