gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,366,-195.6771,-14.6612,-113.064,-14.6612,8b2bfca4-d174-4c2e-81b8-891281f531cd,-14.6612,5.7389,1,2,69,18,2,360,360,720,-1,-1,0,0,0,0
1,1,264,-180.4135,-14.6612,-102.2074,-17.7875,8b2bfca4-d174-4c2e-81b8-891281f531cd,-14.6612,5.7389,1,2,69,18,2,360,411,716,-1,-1,0,0,0,0
2,2,275,-157.9741,5.9409,-93.5184,5.9409,dfcaeccd-1170-475b-a319-b6fee6d65a47,5.9409,0.1933,2,6,440,229,5,361,416,728,-1,-1,0,0,0,0
3,3,382,-177.1455,5.9409,-84.1966,-2.7458,dfcaeccd-1170-475b-a319-b6fee6d65a47,5.9409,0.1933,2,6,440,229,5,360,445,786,-1,-1,0,0,0,0
4,4,381,-161.9154,5.9409,-76.4348,-4.7233,dfcaeccd-1170-475b-a319-b6fee6d65a47,5.9409,0.1933,2,6,440,229,5,360,440,805,-1,-1,0,0,0,0
5,5,521,-122.4719,5.9409,-62.8758,0.9449,dfcaeccd-1170-475b-a319-b6fee6d65a47,5.9409,0.1933,2,6,440,229,5,360,455,850,-1,-1,0,0,0,0
6,6,497,-123.3519,5.9601,-53.5556,5.9601,11f005cc-2b18-4d4d-93f1-5debed0f8dd3,5.9601,0.1902,2,6,441,229,5,360,460,880,-1,-1,0,0,0,0
7,7,521,-126.8086,5.9907,-41.16,5.9907,cc42789d-e507-419c-abe5-9fbacddc36b8,5.9907,2.1397,1,4,315,157,4,360,452,833,-1,-1,0,0,0,0
8,8,535,-122.6443,5.9907,-38.7137,5.5188,cc42789d-e507-419c-abe5-9fbacddc36b8,5.9907,2.1397,1,4,315,157,4,360,455,877,-1,-1,0,0,0,0
9,9,526,-121.5759,5.9907,-34.6055,4.0698,cc42789d-e507-419c-abe5-9fbacddc36b8,5.9907,2.1397,1,4,315,157,4,360,448,845,-1,-1,0,0,0,0
10,10,589,-135.6209,5.9907,-32.8758,5.1793,cc42789d-e507-419c-abe5-9fbacddc36b8,5.9907,2.1397,1,4,315,157,4,360,462,863,-1,-1,0,0,0,0
11,11,378,-147.6851,5.9907,-47.6961,4.6895,cc42789d-e507-419c-abe5-9fbacddc36b8,5.9907,2.1397,1,4,315,157,4,360,483,1112,-1,-1,0,0,0,0
12,12,396,-120.7421,5.9907,-29.716,5.1549,cc42789d-e507-419c-abe5-9fbacddc36b8,5.9907,2.1397,1,4,315,157,4,360,455,909,-1,-1,0,0,0,0
13,13,503,-140.6619,6.0469,-27.9179,6.0469,220d5d46-a508-4c51-b6f5-92cf21455866,6.0469,0.0391,3,7,490,43,5,360,453,865,-1,-1,0,0,0,0
14,14,523,-130.66,6.0469,-25.3176,5.412,220d5d46-a508-4c51-b6f5-92cf21455866,6.0469,0.0391,3,7,490,43,5,360,454,878,-1,-1,0,0,0,0
15,15,518,-122.543,6.0469,-25.8909,5.9075,220d5d46-a508-4c51-b6f5-92cf21455866,6.0469,0.0391,3,7,490,43,5,361,458,912,-1,-1,0,0,0,0
16,16,374,-172.5564,6.0469,-48.791,1.3688,220d5d46-a508-4c51-b6f5-92cf21455866,6.0469,0.0391,3,7,490,43,5,360,493,1186,-1,-1,0,0,0,0
17,17,405,-173.3518,7.4783,-22.634,7.4783,93b84d84-1cc1-4a76-8e41-d62c6ede0102,7.4783,0.1633,1,2,117,17,2,360,464,967,-1,-1,0,0,0,0
18,18,436,-148.2524,7.4783,-23.2655,7.2518,93b84d84-1cc1-4a76-8e41-d62c6ede0102,7.4783,0.1633,1,2,117,17,2,360,454,936,-1,-1,0,0,0,0
19,19,520,-143.3635,7.4783,-23.7003,6.1042,93b84d84-1cc1-4a76-8e41-d62c6ede0102,7.4783,0.1633,1,2,117,17,2,360,463,960,-1,-1,0,0,0,0
20,20,432,-138.4116,7.4783,-22.4081,7.4591,93b84d84-1cc1-4a76-8e41-d62c6ede0102,7.4783,0.1633,1,2,117,17,2,360,453,934,-1,-1,0,0,0,0
21,21,349,-155.4205,7.6341,-46.9792,7.6341,275ba72c-c92d-40b0-833d-53dacd940700,7.6341,1.7967,4,11,584,316,8,360,484,1182,-1,-1,0,0,0,0
22,22,399,-120.0514,7.6341,-17.3467,7.3266,275ba72c-c92d-40b0-833d-53dacd940700,7.6341,1.7967,4,11,584,316,8,360,453,946,-1,-1,0,0,0,0
23,23,436,-130.7118,7.6341,-24.0679,7.0769,275ba72c-c92d-40b0-833d-53dacd940700,7.6341,1.7967,4,11,584,316,8,360,447,916,-1,-1,0,0,0,0
24,24,477,-174.7687,7.6341,-23.823,6.3517,275ba72c-c92d-40b0-833d-53dacd940700,7.6341,1.7967,4,11,584,316,8,361,458,971,-1,-1,0,0,0,0
