gen,tpg-gen,gen-time,fit-min,fit-max,fit-avg,gen-max,champ-id,champ-mean,champ-std,champ-teams,champ-learners,champ-bid-inst,champ-act-inst,champ-real-acts,pop-roots,pop-teams,pop-learners,hh-learners-rem,hh-teams-affected,b-teams,b-learners,b-teams-new,b-learners-new
0,0,367,-190.9219,-5.2752,-114.4648,-5.2752,164eb12b-050b-4cab-adae-790d2bcb244b,-5.2752,4.2639,1,2,39,55,2,360,360,720,-1,-1,0,0,0,0
1,1,252,-161.0392,-5.2752,-105.1128,-25.3356,164eb12b-050b-4cab-adae-790d2bcb244b,-5.2752,4.2639,1,2,39,55,2,360,401,719,-1,-1,0,0,0,0
2,2,302,-160.2593,-5.2752,-99.6172,-23.9267,164eb12b-050b-4cab-adae-790d2bcb244b,-5.2752,4.2639,1,2,39,55,2,360,430,781,-1,-1,0,0,0,0
3,3,308,-140.9909,-4.3816,-92.5391,-4.3816,80227f53-d474-478e-aabd-86740cb1aad2,-4.3816,4.9647,2,6,391,257,5,361,429,797,-1,-1,0,0,0,0
4,4,387,-160.1976,-4.3816,-86.1682,-8.3,80227f53-d474-478e-aabd-86740cb1aad2,-4.3816,4.9647,2,6,391,257,5,360,450,808,-1,-1,0,0,0,0
5,5,408,-159.5317,-4.3816,-80.3748,-5.263,80227f53-d474-478e-aabd-86740cb1aad2,-4.3816,4.9647,2,6,391,257,5,360,455,862,-1,-1,0,0,0,0
6,6,443,-159.9486,-2.6239,-75.4655,-2.6239,b5ff2662-1704-4e7f-9ab7-db17aab60457,-2.6239,2.435,1,2,40,55,2,361,468,894,-1,-1,0,0,0,0
7,7,400,-163.7793,3.6891,-68.5808,3.6891,9e88ecd3-87fd-4230-8b96-4e487805522f,3.6891,2.4035,3,6,421,209,4,361,461,840,-1,-1,0,0,0,0
8,8,460,-150.551,3.6891,-65.7721,-8.2482,9e88ecd3-87fd-4230-8b96-4e487805522f,3.6891,2.4035,3,6,421,209,4,360,476,911,-1,-1,0,0,0,0
9,9,440,-141.0928,3.6891,-57.0634,-2.5397,9e88ecd3-87fd-4230-8b96-4e487805522f,3.6891,2.4035,3,6,421,209,4,360,466,914,-1,-1,0,0,0,0
10,10,503,-169.9143,3.6891,-50.5833,3.3486,9e88ecd3-87fd-4230-8b96-4e487805522f,3.6891,2.4035,3,6,421,209,4,361,464,909,-1,-1,0,0,0,0
11,11,472,-141.4702,3.6891,-63.583,1.9978,9e88ecd3-87fd-4230-8b96-4e487805522f,3.6891,2.4035,3,6,421,209,4,361,513,1250,-1,-1,0,0,0,0
12,12,423,-148.3249,3.7635,-45.2732,3.7635,8fb5a4e4-9b58-4298-b23e-df14fd227a45,3.7635,2.7139,3,6,421,209,4,361,487,1015,-1,-1,0,0,0,0
13,13,434,-165.6108,3.7635,-43.8568,2.0733,8fb5a4e4-9b58-4298-b23e-df14fd227a45,3.7635,2.7139,3,6,421,209,4,360,477,984,-1,-1,0,0,0,0
14,14,476,-143.116,5.2023,-40.9501,5.2023,e9dcc62c-1b44-4123-8439-16f445d8d1db,5.2023,0.4901,2,6,387,143,5,361,479,947,-1,-1,0,0,0,0
15,15,500,-123.268,5.2023,-35.0302,-1.9853,e9dcc62c-1b44-4123-8439-16f445d8d1db,5.2023,0.4901,2,6,387,143,5,361,469,944,-1,-1,0,0,0,0
16,16,433,-139.3015,5.2023,-54.0014,4.6488,e9dcc62c-1b44-4123-8439-16f445d8d1db,5.2023,0.4901,2,6,387,143,5,360,511,1241,-1,-1,0,0,0,0
